GENE	REF1	REF2	CORR
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Adrenal_Gland	0.7520
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Artery_Coronary	0.7868
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Artery_Coronary	0.8057
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Brain_Anterior_cingulate_cortex_BA24	0.6831
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Brain_Anterior_cingulate_cortex_BA24	0.6831
ENSG00000026950.12:BTN3A1	Artery_Coronary	Brain_Anterior_cingulate_cortex_BA24	0.6271
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Brain_Cortex	0.8861
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Brain_Cortex	0.7644
ENSG00000026950.12:BTN3A1	Artery_Coronary	Brain_Cortex	0.8142
ENSG00000026950.12:BTN3A1	Brain_Anterior_cingulate_cortex_BA24	Brain_Cortex	0.8075
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Cells_EBV-transformed_lymphocytes	0.8404
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Cells_EBV-transformed_lymphocytes	0.7121
ENSG00000026950.12:BTN3A1	Artery_Coronary	Cells_EBV-transformed_lymphocytes	0.6307
ENSG00000026950.12:BTN3A1	Brain_Anterior_cingulate_cortex_BA24	Cells_EBV-transformed_lymphocytes	0.6397
ENSG00000026950.12:BTN3A1	Brain_Cortex	Cells_EBV-transformed_lymphocytes	0.7869
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Esophagus_Gastroesophageal_Junction	0.8270
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Esophagus_Gastroesophageal_Junction	0.8866
ENSG00000026950.12:BTN3A1	Artery_Coronary	Esophagus_Gastroesophageal_Junction	0.7641
ENSG00000026950.12:BTN3A1	Brain_Anterior_cingulate_cortex_BA24	Esophagus_Gastroesophageal_Junction	0.7538
ENSG00000026950.12:BTN3A1	Brain_Cortex	Esophagus_Gastroesophageal_Junction	0.8679
ENSG00000026950.12:BTN3A1	Cells_EBV-transformed_lymphocytes	Esophagus_Gastroesophageal_Junction	0.8141
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Esophagus_Mucosa	0.8568
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Esophagus_Mucosa	0.8774
ENSG00000026950.12:BTN3A1	Artery_Coronary	Esophagus_Mucosa	0.8679
ENSG00000026950.12:BTN3A1	Brain_Anterior_cingulate_cortex_BA24	Esophagus_Mucosa	0.7991
ENSG00000026950.12:BTN3A1	Brain_Cortex	Esophagus_Mucosa	0.9009
ENSG00000026950.12:BTN3A1	Cells_EBV-transformed_lymphocytes	Esophagus_Mucosa	0.7571
ENSG00000026950.12:BTN3A1	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	0.9091
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Heart_Atrial_Appendage	0.8831
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Heart_Atrial_Appendage	0.7942
ENSG00000026950.12:BTN3A1	Artery_Coronary	Heart_Atrial_Appendage	0.8524
ENSG00000026950.12:BTN3A1	Brain_Anterior_cingulate_cortex_BA24	Heart_Atrial_Appendage	0.6366
ENSG00000026950.12:BTN3A1	Brain_Cortex	Heart_Atrial_Appendage	0.8435
ENSG00000026950.12:BTN3A1	Cells_EBV-transformed_lymphocytes	Heart_Atrial_Appendage	0.7691
ENSG00000026950.12:BTN3A1	Esophagus_Gastroesophageal_Junction	Heart_Atrial_Appendage	0.8545
ENSG00000026950.12:BTN3A1	Esophagus_Mucosa	Heart_Atrial_Appendage	0.9003
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Liver	0.7823
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Liver	0.7529
ENSG00000026950.12:BTN3A1	Artery_Coronary	Liver	0.6802
ENSG00000026950.12:BTN3A1	Brain_Anterior_cingulate_cortex_BA24	Liver	0.5455
ENSG00000026950.12:BTN3A1	Brain_Cortex	Liver	0.7254
ENSG00000026950.12:BTN3A1	Cells_EBV-transformed_lymphocytes	Liver	0.8056
ENSG00000026950.12:BTN3A1	Esophagus_Gastroesophageal_Junction	Liver	0.8789
ENSG00000026950.12:BTN3A1	Esophagus_Mucosa	Liver	0.7695
ENSG00000026950.12:BTN3A1	Heart_Atrial_Appendage	Liver	0.8859
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Minor_Salivary_Gland	0.7455
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Minor_Salivary_Gland	0.5383
ENSG00000026950.12:BTN3A1	Artery_Coronary	Minor_Salivary_Gland	0.5820
ENSG00000026950.12:BTN3A1	Brain_Anterior_cingulate_cortex_BA24	Minor_Salivary_Gland	0.4728
ENSG00000026950.12:BTN3A1	Brain_Cortex	Minor_Salivary_Gland	0.6859
ENSG00000026950.12:BTN3A1	Cells_EBV-transformed_lymphocytes	Minor_Salivary_Gland	0.7412
ENSG00000026950.12:BTN3A1	Esophagus_Gastroesophageal_Junction	Minor_Salivary_Gland	0.6558
ENSG00000026950.12:BTN3A1	Esophagus_Mucosa	Minor_Salivary_Gland	0.7253
ENSG00000026950.12:BTN3A1	Heart_Atrial_Appendage	Minor_Salivary_Gland	0.6929
ENSG00000026950.12:BTN3A1	Liver	Minor_Salivary_Gland	0.5845
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Nerve_Tibial	0.9089
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Nerve_Tibial	0.8404
ENSG00000026950.12:BTN3A1	Artery_Coronary	Nerve_Tibial	0.8242
ENSG00000026950.12:BTN3A1	Brain_Anterior_cingulate_cortex_BA24	Nerve_Tibial	0.7461
ENSG00000026950.12:BTN3A1	Brain_Cortex	Nerve_Tibial	0.9063
ENSG00000026950.12:BTN3A1	Cells_EBV-transformed_lymphocytes	Nerve_Tibial	0.8691
ENSG00000026950.12:BTN3A1	Esophagus_Gastroesophageal_Junction	Nerve_Tibial	0.8674
ENSG00000026950.12:BTN3A1	Esophagus_Mucosa	Nerve_Tibial	0.9237
ENSG00000026950.12:BTN3A1	Heart_Atrial_Appendage	Nerve_Tibial	0.8603
ENSG00000026950.12:BTN3A1	Liver	Nerve_Tibial	0.7648
ENSG00000026950.12:BTN3A1	Minor_Salivary_Gland	Nerve_Tibial	0.7792
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Ovary	0.8898
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Ovary	0.8588
ENSG00000026950.12:BTN3A1	Artery_Coronary	Ovary	0.8113
ENSG00000026950.12:BTN3A1	Brain_Anterior_cingulate_cortex_BA24	Ovary	0.7674
ENSG00000026950.12:BTN3A1	Brain_Cortex	Ovary	0.8863
ENSG00000026950.12:BTN3A1	Cells_EBV-transformed_lymphocytes	Ovary	0.8873
ENSG00000026950.12:BTN3A1	Esophagus_Gastroesophageal_Junction	Ovary	0.9112
ENSG00000026950.12:BTN3A1	Esophagus_Mucosa	Ovary	0.9389
ENSG00000026950.12:BTN3A1	Heart_Atrial_Appendage	Ovary	0.8906
ENSG00000026950.12:BTN3A1	Liver	Ovary	0.8288
ENSG00000026950.12:BTN3A1	Minor_Salivary_Gland	Ovary	0.7562
ENSG00000026950.12:BTN3A1	Nerve_Tibial	Ovary	0.9406
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Pancreas	0.6335
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Pancreas	0.6753
ENSG00000026950.12:BTN3A1	Artery_Coronary	Pancreas	0.6653
ENSG00000026950.12:BTN3A1	Brain_Anterior_cingulate_cortex_BA24	Pancreas	0.4456
ENSG00000026950.12:BTN3A1	Brain_Cortex	Pancreas	0.6409
ENSG00000026950.12:BTN3A1	Cells_EBV-transformed_lymphocytes	Pancreas	0.6971
ENSG00000026950.12:BTN3A1	Esophagus_Gastroesophageal_Junction	Pancreas	0.8153
ENSG00000026950.12:BTN3A1	Esophagus_Mucosa	Pancreas	0.7396
ENSG00000026950.12:BTN3A1	Heart_Atrial_Appendage	Pancreas	0.7012
ENSG00000026950.12:BTN3A1	Liver	Pancreas	0.7607
ENSG00000026950.12:BTN3A1	Minor_Salivary_Gland	Pancreas	0.7340
ENSG00000026950.12:BTN3A1	Nerve_Tibial	Pancreas	0.7056
ENSG00000026950.12:BTN3A1	Ovary	Pancreas	0.7462
ENSG00000026950.12:BTN3A1	Adipose_Subcutaneous	Pituitary	0.8535
ENSG00000026950.12:BTN3A1	Adrenal_Gland	Pituitary	0.7498
ENSG00000026950.12:BTN3A1	Artery_Coronary	Pituitary	0.6300
ENSG00000026950.12:BTN3A1	Brain_Anterior_cingulate_cortex_BA24	Pituitary	0.7287
ENSG00000026950.12:BTN3A1	Brain_Cortex	Pituitary	0.8403
ENSG00000026950.12:BTN3A1	Cells_EBV-transformed_lymphocytes	Pituitary	0.8403
ENSG00000026950.12:BTN3A1	Esophagus_Gastroesophageal_Junction	Pituitary	0.9120
ENSG00000026950.12:BTN3A1	Esophagus_Mucosa	Pituitary	0.8650
ENSG00000026950.12:BTN3A1	Heart_Atrial_Appendage	Pituitary	0.8217
