GENE	GENE_TYPE	CHR
MYCL	protein_coding	NA
AJ239322.1	lincRNA	NA
PLA2R1	protein_coding	NA
SLITRK3	protein_coding	NA
OSTN	protein_coding	NA
AC069213.1	pseudogene	3
MUC20	protein_coding	3
MUC4	protein_coding	3
SDHAP1	pseudogene	3
RP11-496H1.2	lincRNA	NA
TAPT1	protein_coding	NA
CCDC127	protein_coding	5
CTD-2083E4.5	pseudogene	5
AHRR	protein_coding	5
C5orf55	protein_coding	5
EXOC3	protein_coding	5
CTD-2228K2.5	protein_coding	5
CEP72	protein_coding	5
TPPP	protein_coding	5
AC026740.1	protein_coding	5
ZDHHC11	protein_coding	5
ZDHHC11B	protein_coding	5
BRD9	protein_coding	5
CDSN	protein_coding	NA
HLA-S	pseudogene	NA
CYP21A2	protein_coding	6
PRRT1	protein_coding	6
AGER	protein_coding	6
HLA-DRB9	pseudogene	6
HLA-DRB6	pseudogene	6
HLA-DRB1	protein_coding	6
HLA-DQA1	protein_coding	6
HLA-DQB1	protein_coding	6
HLA-DQA2	protein_coding	6
DSE	protein_coding	NA
HEATR2	protein_coding	NA
MET	protein_coding	NA
RP11-56A10.1	pseudogene	NA
C9orf16	protein_coding	NA
PDHX	protein_coding	11
SMTNL1	protein_coding	NA
TFCP2	protein_coding	NA
OASL	protein_coding	NA
TMEM30B	protein_coding	NA
MTFMT	protein_coding	NA
CHP2	protein_coding	16
PRKCB	protein_coding	16
RP11-491F9.8	lincRNA	NA
MYL4	protein_coding	NA
HDHD2	protein_coding	NA
TMPRSS6	protein_coding	NA
DESI1	protein_coding	NA
