GENE	AdiposeSubcutaneous	AdiposeVisceralOmentum	AdrenalGland	ArteryAorta	ArteryCoronary	ArteryTibial	BrainAmygdala	BrainAnteriorcingulatecortexBA24	BrainCaudatebasalganglia	BrainCerebellarHemisphere	BrainCerebellum	BrainCortex	BrainFrontalCortexBA9	BrainHippocampus	BrainHypothalamus	BrainNucleusaccumbensbasalganglia	BrainPutamenbasalganglia	BrainSpinalcordcervicalc-1	BrainSubstantianigra	BreastMammaryTissue	CellsEBV-transformedlymphocytes	CellsTransformedfibroblasts	ColonSigmoid	ColonTransverse	EsophagusGastroesophagealJunction	EsophagusMucosa	EsophagusMuscularis	HeartAtrialAppendage	HeartLeftVentricle	Liver	Lung	MinorSalivaryGland	MuscleSkeletal	NerveTibial	Ovary	Pancreas	Pituitary	Prostate	SkinNotSunExposedSuprapubic	SkinSunExposedLowerleg	SmallIntestineTerminalIleum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	WholeBlood	DGN-WholeBlood	LCL753	ns132
MYCL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.044123307	NA	NA	NA	0.552046074	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.059829528	NA	3.140873819	NA	2.546817569	NA	NA	NA	NA	2.567594086	NA	1.305013862	NA	NA	-0.505197911	NA	NA	NA
AJ239322.1	NA	NA	NA	NA	NA	NA	NA	1.377736019	1.972477348	NA	NA	1.113205851	1.280462044	4.794193864	NA	1.715061518	1.7958797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.294711574	NA	NA	1.432687192	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.255717469	NA	NA	NA	NA	NA	NA	NA
PLA2R1	-1.429811411	-1.909014346	-0.948628316	0.014455513	NA	-0.962184993	NA	NA	NA	NA	NA	NA	NA	NA	-0.254046409	-0.141530999	NA	NA	NA	NA	NA	-1.088758708	-1.784871469	-1.207613594	NA	-3.198373458	-0.972558881	-0.940288442	NA	NA	-0.426720653	NA	-1.417603122	-1.880295649	NA	-4.543901815	0.263232219	NA	-0.974970774	-0.694177532	NA	NA	-0.930370697	NA	-1.281221984	NA	NA	NA	NA	NA	-1.066962321
SLITRK3	NA	NA	NA	NA	NA	0.936770528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.942898976	NA	NA	NA	1.197989718	NA	NA	NA	NA	NA	NA	NA	-0.244746136	-3.766037577	NA	NA	0.738812054	NA	NA	0.081266669	NA	NA	NA	NA	NA
OSTN	NA	1.115580882	NA	NA	NA	NA	NA	NA	1.043730533	NA	NA	NA	NA	NA	0.687016165	0.722537719	NA	NA	NA	1.522974041	NA	NA	-0.617179338	NA	NA	NA	NA	NA	-0.003918701	NA	NA	NA	NA	1.351606437	NA	NA	NA	NA	3.007993997	0.570152118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC069213.1	-1.44458956	-1.392106997	-1.56615971	-1.820444241	-1.887484177	-2.613658871	-1.383413589	-2.236629917	-0.759881061	-2.203502866	-2.36939946	-2.081924782	-1.474409171	-0.909774145	-1.436569067	-1.41529799	-0.865453815	NA	0.06307128	-3.092227766	1.883045777	-3.061667611	-3.66494984	-1.985427332	-2.814490878	-0.830781253	-1.436360143	-2.466129226	-1.379613321	-3.5753911	-0.402147366	0.239864773	-1.919518217	-2.485949953	-2.244917182	-2.412888843	-1.552325166	NA	-1.621857992	-1.836031991	-0.582107603	0.075883908	-6.148041625	-0.514491235	-2.437775383	-1.916113201	-1.309400828	0.492566834	NA	2.415852018	NA
MUC20	3.201112535	2.755182243	1.55679682	2.941240308	1.648462684	2.043219743	2.258849114	1.189183115	0.606826614	2.326342315	0.9501523	0.885750211	0.795046815	2.203479381	1.128561223	1.600865155	0.876702301	4.992419799	1.998057031	1.912843856	3.923178874	3.034904473	1.926337888	1.439495435	2.829063027	-0.713968578	2.546555333	1.667889658	1.919685095	-0.739867289	1.589465558	NA	2.768112553	2.322493994	2.491940744	0.934044765	0.156004506	0.738598231	2.536411897	2.826406034	NA	4.314032391	1.667549505	1.582077999	0.684099009	0.639360835	0.69570817	3.313215475	3.983830305	1.984658321	-2.214313409
MUC4	1.394930668	1.716414949	NA	NA	NA	NA	NA	NA	0.25645555	2.297316612	1.140609881	0.378915741	NA	NA	NA	0.643840346	0.193117558	NA	NA	NA	NA	NA	1.131040552	0.729070959	1.119490988	4.191621459	2.559350264	NA	NA	-0.369673886	NA	NA	NA	0.861245597	1.623085734	0.266850393	0.50090447	NA	1.250707893	0.22690051	NA	NA	2.100581846	2.660098754	1.285669777	4.365480981	NA	NA	4.080877259	NA	0.04250301
SDHAP1	-7.053828451	-4.039700323	-1.61632237	-4.044773789	-6.963683755	-3.166222052	-2.734301092	-1.130557867	-6.283382176	-3.378854444	-2.630030996	-4.953297239	-3.835481304	-3.767226208	-5.228347874	-7.026510242	NA	NA	NA	-3.94898429	-4.170433916	-5.164261904	-5.473081198	-4.294723566	-2.037536839	-1.897079838	-5.45804677	-5.365851339	-2.984253914	-4.165898996	-4.115204523	NA	-6.327393407	-2.715634726	-2.413892254	-6.425787864	-2.704886879	-7.37685123	-6.644604931	-3.818048191	-5.241095993	-0.301848584	-4.130988884	-8.630083715	-4.125949011	-2.602866749	NA	-5.66373031	NA	-1.734113925	-2.667713911
RP11-496H1.2	-0.003188539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.409187974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.000230293	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.936496766	-0.261860314	NA	NA	NA	NA	-1.61564694	NA	NA	NA	NA	NA	-0.574639576	NA	-0.001149804	NA	NA	NA	NA
