GENE	MPP-001	MPP-003	MPP-004	MPP-006	MPP-008	MPP-009	MPP-012	MPP-013	MPP-015	MPP-016	MPP-018	MPP-020	MPP-021	MPP-024	MPP-025	MPP-027	MPP-029	MPP-030	MPP-031	MPP-033	MPP-034	MPP-036	MPP-037	MPP-038	MPP-039	MPP-040	MPP-041	MPP-042	MPP-043	MPP-047	MPP-048	MPP-049	MPP-050	MPP-051	MPP-054	MPP-055	MPP-057	MPP-058	MPP-060	MPP-061	MPP-062	MPP-064	MPP-065	MPP-067	MPP-069	MPP-071	MPP-073	MPP-075	MPP-076	MPP-079	MPP-080	MPP-082	MPP-084	MPP-085	MPP-088	MPP-090	MPP-092	MPP-093	MPP-094	MPP-095	MPP-096	MPP-097	MPP-098	MPP-099	MPP-101	MPP-102	MPP-104	MPP-105	MPP-107	MPP-108	MPP-110	MPP-112	MPP-113	MPP-114	MPP-116	MPP-119	MPP-120	MPP-121	MPP-122	MPP-123	MPP-125	MPP-126	MPP-128	MPP-129	MPP-130	MPP-131	MPP-132	MPP-134	MPP-135	MPP-136	MPP-137	MPP-138	MPP-139	MPP-141	MPP-142	MPP-143	MPP-145	MPP-146	MPP-147	MPP-148	MPP-151	MPP-153	MPP-154	MPP-155	MPP-156	MPP-157	MPP-158	MPP-159	MPP-160	MPP-162	MPP-163	MPP-165	MPP-166	MPP-169REP	MPP-170	MPP-171	MPP-172	MPP-173	MPP-174	MPP-177	MPP-178	MPP-180	MPP-182	MPP-183	MPP-184	MPP-185	MPP-188	MPP-189	MPP-190	MPP-192	MPP-193	MPP-194	MPP-196	MPP-197
HFE	300	647	145	125	205	299	209	230	583	91	161	127	592	408	537	310	579	82	214	456	177	218	325	318	363	158	158	120	147	181	631	235	121	72	198	447	177	188	252	661	332	519	139	663	274	213	168	130	141	444	490	166	148	483	393	376	206	227	68	137	536	110	455	445	140	447	126	93	364	475	125	443	116	121	299	207	130	173	737	483	191	163	459	142	486	562	172	177	513	160	538	491	442	462	206	111	151	280	473	493	677	258	535	214	210	171	525	140	482	387	598	559	107	201	481	318	257	741	798	239	162	390	277	330	715	343	450	491	327	154	575	624	447	300
HLA-A	48783	46939	64955	104665	33985	96142	44269	103482	53141	117258	61455	64201	45464	43133	31722	99660	62714	111032	90159	38739	65351	43075	68575	56897	29099	57525	71913	67834	61278	75518	44465	68505	66416	49100	75047	142383	88074	45881	23221	90522	63891	48137	72454	75602	85625	111705	60576	41481	82518	72461	65898	67333	41853	57857	87171	57855	56190	34859	50916	44073	40389	103738	47403	59051	51063	50867	65701	60445	54451	25052	30579	70905	25864	74580	59230	59200	65882	61920	52529	48760	43298	102886	66520	44702	78248	39540	35842	53803	26191	65345	73104	80470	23592	177256	53348	36461	43079	91923	51853	77643	43536	53967	55217	50276	55238	63719	64824	29444	68658	108987	45338	68578	71802	28569	34563	50647	68651	73274	92585	60286	56797	37465	51246	46849	49778	108810	40606	42334	62356	58829	65095	83690	53277	96020
HLA-B	101880	79231	97855	182096	64779	155418	59179	155724	101829	157150	130662	119383	91577	81319	59697	143208	77572	157062	126546	83438	97857	99931	105138	105459	58427	143321	125321	102957	135483	103259	73635	101775	101291	88000	123902	206360	127870	96042	33835	144872	75731	79158	121014	113792	110174	160123	116084	66640	142261	109636	92176	116942	99796	94779	170018	87219	81567	84289	98832	77853	61372	200129	105064	113354	90965	100358	111232	94090	135218	57233	58045	99062	69683	110851	90621	104383	110320	125838	92132	88554	76673	133353	107120	100151	135365	61120	71578	111643	54057	93114	152125	132550	48380	249708	99294	82640	89798	159378	84187	116736	74209	84268	86314	112844	136073	136765	153569	84137	151202	165269	61928	119305	111964	40573	76006	91555	127211	123112	126455	133915	126193	74493	76801	56109	55103	152756	69454	96328	114440	96270	139695	156363	108641	124227
HLA-C	52967	50721	54468	97627	35753	90817	53488	73319	60533	94477	72963	78761	46228	51116	38729	81008	43656	86048	63381	51103	52461	65238	43555	57372	37923	71910	51028	62091	75214	65134	41779	58276	49697	49666	71388	125231	87159	48590	27745	88707	41420	34107	74584	66496	61762	98231	81747	35364	84485	66208	56683	59294	45733	68113	87277	58468	39019	45616	47713	44059	32870	132630	76974	58492	62167	59051	61505	42177	70235	42731	32970	51265	46861	57866	58427	60478	59029	57114	51190	53141	46796	68610	44796	57955	53973	24109	48133	52471	37497	48812	83271	75041	32490	170471	59591	57167	48270	80419	44519	62474	43759	52195	44181	63072	84287	82954	90296	47521	89205	91722	37993	48766	71121	27166	51120	38725	68673	57799	64004	98801	68476	52574	40907	28956	31001	74654	46710	60467	80436	56066	82193	74176	48583	58022
HLA-DMA	1834	1915	3356	7998	1409	3080	1631	2854	2396	1456	2775	2154	2051	1947	1296	3289	1820	3162	3376	1769	2157	2045	1793	2059	1349	4136	2090	2485	2342	2743	1855	2160	1858	1417	2307	6272	4042	1680	769	4934	1249	1756	2528	2710	1599	5544	1267	1554	4111	2896	1612	3357	2550	1674	2686	2195	1715	1800	1506	2091	1137	3257	2833	2363	2066	1955	2750	2767	2150	1141	1278	2364	1834	1799	2404	2141	2262	3901	1994	2945	1373	3575	1952	1639	4459	1522	1408	3623	1256	2415	2798	2820	1054	5211	1887	1675	1868	3623	2204	2465	1325	1444	2161	2670	4422	4704	2845	1634	4864	2913	1417	2869	1316	871	1948	1378	4292	2529	3902	3374	2654	1760	2134	1831	1198	4597	1449	2583	2805	3093	3800	4332	3722	5850
HLA-DMB	1776	1507	2926	9261	1302	3077	1828	3660	1681	1358	3449	2179	1854	820	929	4467	1500	2825	4176	1368	3101	2391	1774	1663	828	3623	1741	2330	2569	2942	1445	1915	2214	865	2965	5742	4044	1588	528	4169	1130	1356	2558	2869	1715	5630	779	1100	4314	3102	1467	3577	1759	1388	2820	1666	1836	1333	1208	1966	626	3734	3678	2595	2593	1581	3095	2301	1863	814	583	2475	1862	1262	2919	1999	2523	4295	1917	1952	1722	3765	2089	1706	4732	1781	792	3747	1039	2012	3284	2202	834	5292	1522	1449	1715	3070	1943	2810	1036	1586	2947	2848	4397	4619	2646	1414	5405	2906	1414	3019	1076	735	1886	1305	4325	2241	4736	3272	3060	1783	1967	1399	789	5190	1251	2052	2672	3108	4430	5274	2882	5752
HLA-DOA	248	759	1052	3595	539	643	715	937	663	481	902	972	758	131	298	1997	548	665	1551	567	1386	845	0	674	177	1411	722	1112	966	1344	807	706	649	251	1426	1851	1365	472	120	1997	112	517	742	825	432	3657	145	235	1985	1135	360	1388	518	346	732	388	703	245	63	784	429	757	1017	859	1017	564	1021	793	517	383	46	892	723	523	659	627	1244	2239	543	169	605	1889	623	405	2594	601	71	2378	561	790	687	0	285	2264	310	457	1040	1065	625	1138	294	649	1027	1276	2003	2479	768	870	3378	1010	927	1586	431	347	509	385	2791	1038	3058	1060	1117	720	858	351	32	2173	242	674	0	1511	1568	3154	631	2855
HLA-DOB	5	12	0	348	2	64	226	263	0	23	0	12	7	9	0	217	30	32	108	18	33	148	3	0	26	72	51	14	40	394	72	50	85	44	390	188	39	9	0	115	22	44	200	12	8	217	194	11	16	81	18	279	158	0	35	56	68	150	15	19	16	84	22	400	41	12	50	27	7	64	6	191	0	26	21	14	4	86	9	13	33	13	31	20	32	0	1	90	9	13	0	41	35	92	13	53	7	68	0	24	1	37	0	157	45	338	0	5	103	0	29	72	0	10	9	3	53	0	17	27	25	0	28	3	17	146	15	13	22	12	7	75	1	148
HLA-DPA1	6580	6812	7614	30399	3796	7950	4877	8023	5044	3281	7486	6498	6946	3231	2927	9498	4016	9090	9809	4079	9354	5748	7193	4733	2107	10832	5475	5555	6251	6938	6982	6776	4581	2033	9201	13149	8092	3344	1858	14407	1534	4438	4749	5619	3711	19448	2041	2793	9477	7330	4177	8346	5358	3679	6589	2936	4661	2068	2766	5996	2233	11541	6374	5720	5834	3484	7388	6961	5669	2993	1668	7149	6138	3532	5536	5332	9052	15013	4200	3022	4823	11033	5791	5049	16594	4470	3419	14455	3671	5940	4866	5374	2682	13138	3874	3560	6628	11143	4742	8351	3510	3822	7359	8817	10852	9898	8498	7405	18658	8395	6211	10108	2174	3155	5156	3559	15312	5526	14716	6048	7791	5511	6340	3076	1281	12645	3147	7279	10537	10427	11227	17639	9952	18022
HLA-DPA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
