ClusterName	sampleSize	totalGeneCount	exprType
AdiposeSubcutaneous	385	8266	RNAseq
AdiposeVisceralOmentum	313	6588	RNAseq
AdrenalGland	175	4605	RNAseq
ArteryAorta	267	6651	RNAseq
ArteryCoronary	152	3502	RNAseq
ArteryTibial	388	8232	RNAseq
BrainAmygdala	88	2362	RNAseq
BrainAnteriorcingulatecortexBA24	109	3303	RNAseq
BrainCaudatebasalganglia	144	4182	RNAseq
BrainCerebellarHemisphere	125	4758	RNAseq
BrainCerebellum	154	6093	RNAseq
BrainCortex	136	4329	RNAseq
BrainFrontalCortexBA9	118	3604	RNAseq
BrainHippocampus	111	2816	RNAseq
BrainHypothalamus	108	2835	RNAseq
BrainNucleusaccumbensbasalganglia	130	3631	RNAseq
BrainPutamenbasalganglia	111	3176	RNAseq
BrainSpinalcordcervicalc-1	83	2518	RNAseq
BrainSubstantianigra	80	2041	RNAseq
BreastMammaryTissue	251	5307	RNAseq
CellsEBV-transformedlymphocytes	117	3039	RNAseq
CellsTransformedfibroblasts	300	7351	RNAseq
ColonSigmoid	203	5239	RNAseq
ColonTransverse	246	5612	RNAseq
EsophagusGastroesophagealJunction	213	5259	RNAseq
EsophagusMucosa	358	8175	RNAseq
EsophagusMuscularis	335	7744	RNAseq
HeartAtrialAppendage	264	5988	RNAseq
HeartLeftVentricle	272	5378	RNAseq
Liver	153	3351	RNAseq
Lung	383	7965	RNAseq
MinorSalivaryGland	85	2229	RNAseq
MuscleSkeletal	491	7520	RNAseq
NerveTibial	361	9441	RNAseq
Ovary	122	3057	RNAseq
Pancreas	220	5338	RNAseq
Pituitary	157	4770	RNAseq
Prostate	132	3262	RNAseq
SkinNotSunExposedSuprapubic	335	7640	RNAseq
SkinSunExposedLowerleg	414	9115	RNAseq
SmallIntestineTerminalIleum	122	3107	RNAseq
Spleen	146	4606	RNAseq
Stomach	237	4790	RNAseq
Testis	225	9064	RNAseq
Thyroid	399	9655	RNAseq
Uterus	101	2433	RNAseq
Vagina	106	2384	RNAseq
WholeBlood	369	6294	RNAseq
CF_NasalEpi132	132	2881	RNAseq
CF_LCL753	753	5299	Array
DGN-WholeBlood	922	11538	RNAseq
