PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000042317.12.wgt.RDat	SPATA7	14	8.89e+07	8.89e+07	0.385	rs411418	 2.21	rs3179969	 0.353164	-6.36	-0.521	465	  4	lasso	0.36854	1.24e-12	 0.5645	0.57241
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000066427.17.wgt.RDat	ATXN3	14	9.25e+07	9.26e+07	0.178	rs17783624	-3.07	rs1051340	 0.077517	 4.15	-0.972	524	  5	lasso	0.07453	2.27e-03	-0.9356	0.34949
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000092020.6.wgt.RDat	PPP2R3C	14	3.56e+07	3.56e+07	0.453	rs3138045	-2.35	rs12100841	 0.091024	-4.53	 0.401	367	  5	lasso	0.11669	1.53e-04	 0.6811	0.49580
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000092036.12.wgt.RDat	HAUS4	14	2.34e+07	2.34e+07	0.341	rs226998	-2.69	rs4536383	 0.154588	 4.76	 1.618	572	  5	lasso	0.11677	1.53e-04	 1.4939	0.13520
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000092295.7.wgt.RDat	TGM1	14	2.47e+07	2.47e+07	0.321	rs743272	-2.61	rs2748516	 0.181304	-5.45	-0.097	501	  6	lasso	0.29423	5.60e-10	-0.0564	0.95506
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000100461.13.wgt.RDat	RBM23	14	2.34e+07	2.34e+07	0.568	rs226998	-2.69	rs1043207	 0.203163	-4.80	 0.466	577	 26	enet	0.13601	4.36e-05	-0.5404	0.58893
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000100564.4.wgt.RDat	PIGH	14	6.80e+07	6.81e+07	0.382	rs1609998	-2.19	rs11158679	 0.003667	 3.43	-1.127	369	369	blup	0.11672	1.53e-04	-1.7634	0.07783
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000100577.14.wgt.RDat	GSTZ1	14	7.78e+07	7.78e+07	0.351	rs11846597	 2.88	rs2193594	 0.061747	 4.39	-0.207	549	  7	lasso	0.07757	1.87e-03	-0.1074	0.91445
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000100731.11.wgt.RDat	PCNX	14	7.14e+07	7.16e+07	0.322	rs8016108	 2.45	rs7154437	 0.282812	-5.91	-0.074	410	 16	enet	0.25410	1.19e-08	-0.0543	0.95671
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000100814.13.wgt.RDat	CCNB1IP1	14	2.08e+07	2.08e+07	0.394	rs949937	-2.87	rs1132644	 0.159327	-4.50	 0.880	614	614	blup	0.17351	3.58e-06	-1.3839	0.16640
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000119599.12.wgt.RDat	DCAF4	14	7.34e+07	7.34e+07	0.494	rs10483854	 2.57	rs11629006	 0.058762	 4.56	-0.090	466	466	blup	0.15833	9.95e-06	-0.1040	0.91721
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000119684.11.wgt.RDat	MLH3	14	7.55e+07	7.55e+07	0.229	rs4145500	 2.50	rs108621	 0.035197	 3.85	-0.279	410	 10	enet	0.06977	3.07e-03	-0.0306	0.97560
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000126775.8.wgt.RDat	ATG14	14	5.58e+07	5.59e+07	0.204	rs8003279	-3.01	rs9323283	 0.225484	 5.55	-2.202	437	  4	lasso	0.25953	7.91e-09	-2.5866	0.00969
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000126790.7.wgt.RDat	L3HYPDH	14	5.99e+07	6.00e+07	0.520	rs1271513	 2.15	rs8660	 0.368302	-6.64	 0.690	459	 22	enet	0.39532	1.16e-13	-0.4090	0.68252
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000126804.9.wgt.RDat	ZBTB1	14	6.50e+07	6.50e+07	0.269	rs1695777	 2.82	rs8006145	 0.000915	 3.49	-0.542	491	491	blup	0.03527	2.76e-02	 0.5745	0.56563
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000129493.10.wgt.RDat	HEATR5A	14	3.18e+07	3.19e+07	0.185	rs10136964	-2.07	rs34588788	 0.003321	-3.79	-0.328	302	302	blup	0.01080	1.42e-01	-0.4151	0.67807
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000139890.5.wgt.RDat	REM2	14	2.34e+07	2.34e+07	0.312	rs226998	-2.69	rs17122349	-0.007340	-3.29	 0.904	572	572	blup	0.04549	1.43e-02	 0.5446	0.58603
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000139899.6.wgt.RDat	CBLN3	14	2.49e+07	2.49e+07	0.518	rs743272	-2.61	rs2273629	 0.303485	-6.16	 1.634	558	  6	lasso	0.33392	2.32e-11	-1.6933	0.09039
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000140022.5.wgt.RDat	STON2	14	8.17e+07	8.19e+07	0.251	rs2024425	-2.26	rs7149672	 0.072445	 4.48	 0.611	456	  2	lasso	0.08000	1.60e-03	 0.5665	0.57105
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000140025.11.wgt.RDat	EFCAB11	14	9.03e+07	9.04e+07	0.403	rs17799268	-3.23	rs7146047	 0.067996	 4.55	-0.707	436	 36	enet	0.17705	2.81e-06	-0.2521	0.80094
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000140043.7.wgt.RDat	PTGR2	14	7.43e+07	7.44e+07	0.604	rs10483854	 3.00	rs8020267	 0.297437	 5.86	 0.530	390	  9	lasso	0.35343	4.54e-12	 0.5480	0.58366
Brain_Hippocampus	./GTEx_v7/Brain_Hippocampus/Brain_Hippocampus.ENSG00000140104.9.wgt.RDat	C14orf79	14	1.05e+08	1.05e+08	0.203	rs28656783	-3.65	rs2582574	 0.164977	 5.11	 0.685	317	  4	lasso	0.13875	3.64e-05	 0.6712	0.50208
