PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000028528.10.wgt.RDat	SNX1	15	6.44e+07	6.44e+07	0.0900	rs41380646	 3.21	rs12102207	 0.052023	  4.28	 1.869	292	  3	lasso	 0.047683	5.95e-05	 1.45214	0.14646
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000033800.9.wgt.RDat	PIAS1	15	6.83e+07	6.85e+07	0.1724	rs16952095	-2.86	rs16951524	 0.052793	  5.24	 0.576	452	  5	lasso	 0.123303	1.05e-10	 0.53577	0.59212
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000041357.11.wgt.RDat	PSMA4	15	7.88e+07	7.88e+07	0.1045	rs2011323	-2.65	rs2292117	 0.049638	 -4.94	-0.268	426	  4	lasso	 0.051542	3.07e-05	 0.11822	0.90589
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000058335.11.wgt.RDat	RASGRF1	15	7.93e+07	7.94e+07	0.1369	rs1829673	-2.44	rs8027411	 0.060373	  4.71	 1.059	493	  9	enet	 0.054272	1.92e-05	 0.87969	0.37903
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000062524.11.wgt.RDat	LTK	15	4.18e+07	4.18e+07	0.2040	rs12439488	 2.77	rs9944249	 0.050785	  4.81	-1.259	342	  2	lasso	 0.032890	7.55e-04	-1.23458	0.21699
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000064726.5.wgt.RDat	BTBD1	15	8.37e+07	8.37e+07	0.0832	rs12148084	-2.84	rs12907032	 0.036921	 -4.69	-0.091	339	339	blup	 0.036222	4.26e-04	 0.19561	0.84491
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000066933.11.wgt.RDat	MYO9A	15	7.21e+07	7.24e+07	0.0469	rs7163924	 2.45	rs12442886	 0.005758	 -3.58	 0.626	374	  4	lasso	 0.015926	1.46e-02	-1.11267	0.26585
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000067221.9.wgt.RDat	STOML1	15	7.43e+07	7.43e+07	0.2260	rs5015024	 2.67	rs10162627	 0.087648	  5.99	 1.047	404	  4	lasso	 0.084552	1.02e-07	 1.11105	0.26655
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000067369.9.wgt.RDat	TP53BP1	15	4.37e+07	4.38e+07	0.0979	rs35302555	 2.54	rs527921	 0.062739	 -5.16	-0.693	266	  3	lasso	 0.065636	2.71e-06	 0.06117	0.95123
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000068793.13.wgt.RDat	CYFIP1	15	2.29e+07	2.30e+07	0.1554	rs8034562	 2.16	rs11634023	 0.070916	  5.26	 0.875	177	  3	lasso	 0.053327	2.26e-05	 0.82345	0.41025
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000069869.11.wgt.RDat	NEDD4	15	5.61e+07	5.63e+07	0.3268	rs11858505	 3.68	rs9652429	 0.114880	  6.93	 0.426	374	  6	lasso	 0.165683	4.22e-14	 0.14074	0.88808
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000069943.5.wgt.RDat	PIGB	15	5.56e+07	5.56e+07	0.3842	rs11858505	 3.68	rs8040540	 0.282126	  9.58	 0.375	446	 25	enet	 0.293322	2.14e-25	 0.48954	0.62446
Adipose_Visceral_Omentum	./GTEx_v7/Adipose_Visceral_Omentum/Adipose_Visceral_Omentum.ENSG00000069966.14.wgt.RDat	GNB5	15	5.24e+07	5.25e+07	0.2663	rs3794564	 2.92	rs4776010	 0.081124	 -5.80	-0.465	389	  4	lasso	 0.101040	5.61e-09	 0.63098	0.52806
