PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000012779.6.wgt.RDat	ALOX5	10	4.59e+07	4.59e+07	0.1078	rs12256114	-2.77	rs3824617	 0.047162	 -4.69	-0.95865	348	  3	lasso	0.04651	2.33e-04	 1.18722	0.235139
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000023041.7.wgt.RDat	ZDHHC6	10	1.14e+08	1.14e+08	0.1542	rs7078407	-3.63	rs2306158	 0.006247	  4.47	-1.14900	444	  4	lasso	0.02826	3.46e-03	-0.88605	0.375589
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000023839.6.wgt.RDat	ABCC2	10	1.02e+08	1.02e+08	0.1164	rs12253861	 2.56	rs4148397	 0.045288	 -4.54	-0.91400	452	452	blup	0.03314	1.68e-03	 1.41119	0.158189
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000026025.9.wgt.RDat	VIM	10	1.73e+07	1.73e+07	0.1793	rs17141568	 3.17	rs7095324	-0.003734	  3.56	 1.91100	659	659	blup	0.01205	4.06e-02	 1.41353	0.157499
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000035403.12.wgt.RDat	VCL	10	7.58e+07	7.59e+07	0.1068	rs12784355	-2.31	rs7902395	 0.043834	 -4.54	-1.26800	242	242	blup	0.05509	6.58e-05	 1.32936	0.183729
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000047056.10.wgt.RDat	WDR37	10	1.10e+06	1.18e+06	0.1488	rs12775292	-2.72	rs7070991	 0.019473	  4.33	-1.18700	517	  7	lasso	0.01247	3.80e-02	-1.16717	0.243143
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000052749.9.wgt.RDat	RRP12	10	9.91e+07	9.92e+07	0.1662	rs7894232	 3.37	rs9888026	 0.073372	  5.75	 0.94900	487	  6	lasso	0.06837	9.26e-06	 1.30764	0.190997
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000055950.12.wgt.RDat	MRPL43	10	1.03e+08	1.03e+08	0.1448	rs11190888	-2.49	rs10786611	 0.075292	  5.82	 1.51400	420	  6	lasso	0.08559	7.15e-07	 1.34241	0.179463
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000057608.12.wgt.RDat	GDI2	10	5.81e+06	5.88e+06	0.2491	rs871747	 2.88	rs2275774	 0.162369	 -6.71	-0.85500	701	  5	lasso	0.13828	2.28e-10	 1.08615	0.277413
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000059573.4.wgt.RDat	ALDH18A1	10	9.74e+07	9.74e+07	0.1365	rs1536555	 2.81	rs10882684	 0.028624	 -4.26	 1.96200	511	 21	enet	0.07996	1.66e-06	-2.67112	0.007560
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000065621.10.wgt.RDat	GSTO2	10	1.06e+08	1.06e+08	0.1844	rs966645	-3.29	rs2282326	 0.059106	 -5.61	-1.79300	426	426	blup	0.07325	4.49e-06	 0.76579	0.443799
Artery_Aorta	./GTEx_v7/Artery_Aorta/Artery_Aorta.ENSG00000065665.16.wgt.RDat	SEC61A2	10	1.22e+07	1.22e+07	0.2156	rs7911448	-2.79	rs12267387	 0.190706	 -7.21	 1.72600	529	  3	lasso	0.18318	1.71e-13	-1.67365	0.094200
