PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000141956.9.wgt.RDat	PRDM15	21	43218385	43299591	0.504	rs6586304	 3.92	rs13049896	 0.07148	 4.74	-0.562	783	  7	lasso	0.2646	9.55e-10	 0.8379	0.4021
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000142188.12.wgt.RDat	TMEM50B	21	34804792	34852318	0.490	rs915562	 2.91	rs2834229	 0.36889	-7.16	-0.637	459	 21	enet	0.4077	2.00e-15	 0.7548	0.4504
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000154736.5.wgt.RDat	ADAMTS5	21	28290231	28338832	0.379	rs458076	 3.75	rs464400	 0.05126	 4.33	-1.513	680	  6	lasso	0.0771	1.20e-03	-1.4311	0.1524
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000156253.2.wgt.RDat	RWDD2B	21	30376705	30391699	0.215	rs8134891	 2.17	rs7280043	 0.21855	 5.28	-0.979	430	  2	lasso	0.2008	1.53e-07	-0.9956	0.3195
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000156261.8.wgt.RDat	CCT8	21	30428126	30446118	0.580	rs8134891	 2.17	rs2070610	 0.45447	 7.55	-0.723	428	  5	lasso	0.4647	4.57e-18	-0.4402	0.6598
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000156265.11.wgt.RDat	MAP3K7CL	21	30449792	30548210	0.143	rs8134891	 2.17	rs2832160	-0.00163	 3.98	-1.011	428	428	blup	0.0193	6.95e-02	-1.2123	0.2254
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000157578.9.wgt.RDat	LCA5L	21	40777770	40817729	0.694	rs41455449	-3.62	rs9983435	 0.32673	 6.83	-0.481	685	 23	lasso	0.4595	8.11e-18	 0.0664	0.9471
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000157601.9.wgt.RDat	MX1	21	42792231	42831141	0.427	rs1054761	-3.64	rs459498	 0.03735	-4.03	-0.591	639	  8	lasso	0.0668	2.44e-03	-0.2025	0.8395
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000160194.13.wgt.RDat	NDUFV3	21	44299754	44333414	0.258	rs2245730	 3.30	rs8131547	 0.04596	 4.53	 0.765	608	 27	enet	0.0624	3.32e-03	-1.3744	0.1693
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000160213.5.wgt.RDat	CSTB	21	45192393	45196326	0.370	rs2070562	-2.86	rs1573336	 0.18751	-5.59	 0.012	451	 16	enet	0.2123	6.30e-08	 0.0668	0.9467
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000160282.9.wgt.RDat	FTCD	21	47556176	47575481	0.667	rs2839371	 3.09	rs4818826	 0.28303	-6.19	 1.164	498	 14	lasso	0.3221	6.84e-12	-1.7446	0.0811
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000160284.10.wgt.RDat	SPATC1L	21	47581062	47604390	0.797	rs2839377	 4.10	rs4818826	 0.40765	-7.12	 1.164	494	 29	enet	0.5593	3.96e-23	-2.4311	0.0151
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000182093.10.wgt.RDat	WRB	21	40752170	40800454	0.561	rs41455449	-3.62	rs2837008	 0.41954	 7.18	 0.143	648	  3	lasso	0.4129	1.18e-15	 0.1183	0.9058
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000182362.9.wgt.RDat	YBEY	21	47706251	47717665	0.880	rs2839377	 4.10	rs12626184	 0.25467	 6.80	-1.102	464	 26	lasso	0.4500	2.31e-17	-1.1234	0.2613
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000182670.9.wgt.RDat	TTC3	21	38445526	38575413	0.165	rs2835406	 2.80	rs2298682	-0.00601	 3.36	-2.235	435	435	blup	0.0391	1.68e-02	-1.4157	0.1569
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000183255.7.wgt.RDat	PTTG1IP	21	46269500	46293752	0.253	rs582152	 4.33	rs235305	 0.18590	 4.80	 0.527	568	  3	lasso	0.1466	8.68e-06	 0.5490	0.5830
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000183570.12.wgt.RDat	PCBP3	21	47063608	47362368	0.326	rs12627745	-2.33	rs12482750	 0.28214	 6.08	 0.353	489	  4	lasso	0.2874	1.41e-10	-0.0744	0.9407
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000184441.4.wgt.RDat	AP001062.7	21	45751117	45755734	0.513	rs582152	 4.33	rs2070573	 0.10805	-4.89	 1.028	484	  6	lasso	0.2624	1.14e-09	 0.1319	0.8951
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000185808.9.wgt.RDat	PIGP	21	38431470	38445470	0.662	rs2835406	 2.80	rs2835604	 0.40361	 7.15	 1.945	435	  8	lasso	0.4275	2.58e-16	 2.1379	0.0325
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000186842.4.wgt.RDat	LINC00846	21	33944548	33948191	0.237	rs11701698	-2.89	rs2005576	 0.06319	-3.93	 0.290	476	  5	lasso	0.0471	9.60e-03	-0.5277	0.5977
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000188660.3.wgt.RDat	LINC00319	21	44866481	44873773	0.360	rs2124459	-2.54	rs762395	-0.00525	-3.80	 0.155	456	 46	enet	0.0204	6.39e-02	-0.5115	0.6090
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000198862.9.wgt.RDat	LTN1	21	30300466	30365270	0.339	rs8134891	 2.17	rs2065257	-0.00839	 3.75	-0.161	428	428	blup	0.0687	2.14e-03	-0.3820	0.7025
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000213885.3.wgt.RDat	RPL13AP7	21	26734135	26734745	0.259	rs2829531	-3.43	rs2829547	-0.00825	 3.28	-1.616	339	339	blup	0.0202	6.50e-02	-0.4532	0.6504
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000224905.2.wgt.RDat	AP001347.6	21	15399742	15516789	0.186	rs2822524	 2.65	rs13048221	-0.00246	-3.56	 0.584	331	331	blup	0.0755	1.34e-03	-1.0817	0.2794
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000226496.1.wgt.RDat	LINC00323	21	42513427	42520060	0.751	rs2837864	-2.39	rs2007397	 0.28819	-5.94	-0.632	585	 23	enet	0.2490	3.41e-09	 0.3144	0.7532
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000229425.1.wgt.RDat	AJ006998.2	21	16742841	16774624	0.257	rs2823161	 3.90	rs2823264	 0.03292	-3.54	-0.801	423	423	blup	0.0506	7.52e-03	 0.1527	0.8786
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000231106.2.wgt.RDat	AP000688.8	21	37377636	37380136	0.222	rs7275194	 2.29	rs11701590	 0.02772	 4.45	 0.696	513	513	blup	0.0618	3.45e-03	-0.6030	0.5465
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000232855.2.wgt.RDat	AF131217.1	21	29811667	30047170	0.226	rs1236419	 2.67	rs2705688	 0.03687	 4.03	-0.542	497	 30	enet	0.0795	1.01e-03	-0.9325	0.3511
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000233393.1.wgt.RDat	AP000688.29	21	37477179	37481988	0.369	rs7275194	 2.29	rs1005696	 0.06640	 4.38	-1.807	505	  3	lasso	0.0590	4.18e-03	-2.3852	0.0171
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000235772.1.wgt.RDat	AP001625.6	21	43980484	43982044	0.416	rs6586304	 3.92	rs12482752	 0.18940	-4.85	-0.505	728	728	blup	0.1565	4.22e-06	 2.6520	0.0080
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000235878.4.wgt.RDat	AP001468.1	21	47612391	47613673	0.284	rs2839377	 4.10	rs2254524	 0.01081	 4.13	 0.424	492	 21	enet	0.0451	1.10e-02	 0.7928	0.4279
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000243646.4.wgt.RDat	IL10RB	21	34638663	34669539	0.282	rs915562	 2.99	rs3171425	 0.05174	 3.81	 0.511	448	  4	lasso	0.0616	3.49e-03	 0.8704	0.3841
Ovary	./GTEx_v7/Ovary/Ovary.ENSG00000256073.2.wgt.RDat	C21orf119	21	33765439	33766254	0.463	rs41441847	-2.44	rs2026251	-0.00745	 3.81	-1.366	487	487	blup	0.0944	3.58e-04	-0.9178	0.3587
