PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000141956.9.wgt.RDat	PRDM15	21	43218385	43299591	0.448	rs6586304	 3.92	rs9637288	 0.012674	-3.58	-0.580	783	 57	enet	0.0453	1.53e-02	 0.57505	0.5653
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000142156.10.wgt.RDat	COL6A1	21	47401651	47424964	0.497	rs2839108	 2.33	rs1053312	 0.066241	 5.42	-0.670	471	471	blup	0.1883	1.62e-06	-1.28208	0.1998
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000142166.8.wgt.RDat	IFNAR1	21	34696734	34732168	0.226	rs11701698	-2.89	rs9808685	 0.131313	 4.35	-0.442	436	436	blup	0.1047	3.73e-04	-1.26075	0.2074
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000142188.12.wgt.RDat	TMEM50B	21	34804792	34852318	0.247	rs11701698	-2.89	rs2834216	 0.054642	 4.32	-0.031	457	  2	lasso	0.0749	2.42e-03	-0.02417	0.9807
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000156239.7.wgt.RDat	N6AMT1	21	30244513	30257693	0.287	rs8134891	 2.17	rs4817258	 0.135229	-5.22	-1.500	472	 40	enet	0.2088	3.99e-07	 1.12066	0.2624
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000156253.2.wgt.RDat	RWDD2B	21	30376705	30391699	0.491	rs8134891	 2.17	rs2247809	 0.395531	 7.04	-0.880	431	 24	enet	0.4432	2.31e-15	-1.30977	0.1903
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000156261.8.wgt.RDat	CCT8	21	30428126	30446118	0.284	rs8134891	 2.17	rs2832096	 0.005107	 3.54	-1.328	429	 14	enet	0.0525	9.76e-03	-0.27754	0.7814
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000157578.9.wgt.RDat	LCA5L	21	40777770	40817729	0.802	rs41455449	-3.62	rs9983435	 0.377772	 6.83	-0.481	684	 31	lasso	0.3614	3.62e-12	-0.27271	0.7851
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000159055.3.wgt.RDat	MIS18A	21	33640530	33651380	0.710	rs2211783	-2.46	rs715231	 0.019316	 3.62	 0.735	494	494	blup	0.0637	4.84e-03	 1.30922	0.1905
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000159228.8.wgt.RDat	CBR1	21	37443248	37445464	0.337	rs7275194	 2.29	rs2276228	 0.277730	 5.92	-0.943	512	  5	lasso	0.2807	2.24e-09	-0.96886	0.3326
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000160194.13.wgt.RDat	NDUFV3	21	44299754	44333414	0.281	rs2245730	 3.30	rs9637299	 0.121824	-4.20	-0.890	608	608	blup	0.0781	1.98e-03	 0.09050	0.9279
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000160207.4.wgt.RDat	HSF2BP	21	44949072	45079374	0.303	rs2838416	 2.18	rs162378	 0.019770	-3.61	-0.099	407	  5	lasso	0.0574	7.18e-03	 0.31449	0.7532
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000160214.8.wgt.RDat	RRP1	21	45209394	45225174	0.327	rs2070562	-2.86	rs880987	-0.005654	-3.44	-0.129	458	458	blup	0.0173	9.23e-02	 0.31374	0.7537
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000160282.9.wgt.RDat	FTCD	21	47556176	47575481	0.479	rs2839371	 3.09	rs4818826	 0.047221	-4.51	 1.164	498	498	blup	0.2088	3.98e-07	-2.52315	0.0116
Brain_Anterior_cingulate_cortex_BA24	./GTEx_v7/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.ENSG00000160284.10.wgt.RDat	SPATC1L	21	47581062	47604390	0.376	rs2839377	 4.10	rs11908812	 0.131057	-4.39	 2.218	494	 23	enet	0.1729	4.54e-06	-1.36981	0.1707
