PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000003393.10.wgt.RDat	ALS2	2	2.03e+08	2.03e+08	0.0647	rs16838661	-3.54	rs11674814	 0.002055	  3.76	 1.059	425	 14	enet	2.09e-02	 7.86e-04	-0.068825	0.94513
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000003436.10.wgt.RDat	TFPI	2	1.88e+08	1.88e+08	0.4015	rs9646747	-2.66	rs10153820	 0.214123	-10.78	-1.177	268	268	blup	2.55e-01	 3.11e-33	 1.544658	0.12243
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000005436.9.wgt.RDat	GCFC2	2	7.59e+07	7.59e+07	0.3438	rs7588536	 2.38	rs3088181	 0.260733	 11.78	-1.659	529	 17	enet	3.70e-01	 3.70e-51	-1.389695	0.16462
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000006607.9.wgt.RDat	FARP2	2	2.42e+08	2.42e+08	0.1983	rs7593101	-2.63	rs17387035	 0.064040	  6.95	-1.199	373	373	blup	1.09e-01	 4.34e-14	-1.258884	0.20807
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000011523.9.wgt.RDat	CEP68	2	6.53e+07	6.53e+07	0.1550	rs17029539	 2.86	rs1009358	 0.212258	-10.24	-0.954	428	  4	lasso	2.07e-01	 1.39e-26	 0.878749	0.37954
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000014641.13.wgt.RDat	MDH1	2	6.38e+07	6.38e+07	0.0537	rs10496104	 3.62	rs262491	 0.018531	  4.06	 0.555	272	272	blup	2.71e-02	 1.49e-04	 0.911660	0.36195
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000018510.8.wgt.RDat	AGPS	2	1.78e+08	1.78e+08	0.0457	rs10497466	 3.04	rs1901826	 0.021929	  4.58	-0.908	460	  7	lasso	1.33e-02	 6.01e-03	-0.435432	0.66325
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000018699.7.wgt.RDat	TTC27	2	3.29e+07	3.30e+07	0.3223	rs1454312	 2.95	rs7594173	 0.121926	 -8.40	-0.319	426	 19	enet	1.93e-01	 8.27e-25	 0.341317	0.73286
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000019169.9.wgt.RDat	MARCO	2	1.20e+08	1.20e+08	0.1664	rs729735	 3.42	rs4491733	 0.088554	 -6.69	 1.637	530	 13	enet	8.06e-02	 9.17e-11	-1.202962	0.22899
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000021826.10.wgt.RDat	CPS1	2	2.11e+08	2.12e+08	0.1889	rs6713085	-3.10	rs3856348	 0.115854	  7.70	 1.187	346	  4	lasso	9.40e-02	 2.43e-12	 0.981772	0.32621
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000023228.9.wgt.RDat	NDUFS1	2	2.07e+08	2.07e+08	0.2830	rs11901486	 3.42	rs4147713	 0.212856	-10.26	 1.020	420	 28	enet	1.91e-01	 1.53e-24	-0.756988	0.44906
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000028116.12.wgt.RDat	VRK2	2	5.81e+07	5.84e+07	0.0672	rs17049105	 3.73	rs2110664	 0.019718	 -4.82	 1.988	382	 21	enet	3.42e-02	 2.27e-05	-1.663460	0.09622
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000035115.17.wgt.RDat	SH3YL1	2	2.18e+05	2.66e+05	0.3368	rs11901199	 3.25	rs2290911	 0.160918	  9.26	 0.295	374	 67	enet	2.06e-01	 1.74e-26	-0.211654	0.83238
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000036257.8.wgt.RDat	CUL3	2	2.25e+08	2.25e+08	0.0842	rs41443452	 3.07	rs3738952	 0.048755	 -5.08	 0.296	431	  3	lasso	4.51e-02	 1.26e-06	-0.438995	0.66067
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000040933.11.wgt.RDat	INPP4A	2	9.91e+07	9.92e+07	0.0329	rs3754876	 3.65	rs2278214	 0.016977	 -4.48	 2.165	316	  4	lasso	1.85e-02	 1.49e-03	-2.532622	0.01132
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000042493.11.wgt.RDat	CAPG	2	8.56e+07	8.56e+07	0.2017	rs3770099	-3.42	rs11696093	 0.117389	  7.95	 1.463	459	 21	enet	1.43e-01	 2.66e-18	 0.956998	0.33857
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000054219.9.wgt.RDat	LY75	2	1.61e+08	1.61e+08	0.1958	rs4665145	-4.10	rs7601374	 0.175612	 -9.45	-2.505	445	445	blup	1.60e-01	 1.70e-20	 2.039722	0.04138
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000055332.12.wgt.RDat	EIF2AK2	2	3.73e+07	3.74e+07	0.1195	rs17019886	-2.88	rs6732075	 0.001986	 -4.01	-1.301	516	516	blup	4.06e-02	 4.12e-06	-0.143031	0.88627
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000059728.6.wgt.RDat	MXD1	2	7.01e+07	7.02e+07	0.0567	rs2312548	-2.23	rs3771544	-0.001367	 -3.09	 0.113	328	328	blup	2.26e-02	 4.91e-04	-0.405257	0.68529
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000061676.10.wgt.RDat	NCKAP1	2	1.84e+08	1.84e+08	0.0937	rs17706149	-4.38	rs9333280	 0.047851	 -5.51	 0.402	387	 10	enet	3.24e-02	 3.67e-05	-0.232095	0.81646
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000064012.17.wgt.RDat	CASP8	2	2.02e+08	2.02e+08	0.1905	rs6711866	 1.99	rs1035142	 0.166781	 -9.54	 0.068	355	 11	enet	1.75e-01	 2.28e-22	-0.161406	0.87177
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000064933.12.wgt.RDat	PMS1	2	1.91e+08	1.91e+08	0.1097	rs2115553	 2.16	rs16831873	 0.070257	  6.01	-0.364	315	  4	lasso	8.15e-02	 7.20e-11	 0.074571	0.94056
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000065413.12.wgt.RDat	ANKRD44	2	1.98e+08	1.98e+08	0.1124	rs6434893	 3.39	rs2376211	 0.021378	  4.57	-0.523	341	341	blup	4.50e-02	 1.29e-06	 0.219879	0.82597
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000065548.13.wgt.RDat	ZC3H15	2	1.87e+08	1.87e+08	0.0387	rs16827624	-2.81	rs2044684	 0.008855	  4.03	 1.505	293	293	blup	1.34e-02	 5.86e-03	 1.359631	0.17395
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000065802.7.wgt.RDat	ASB1	2	2.39e+08	2.39e+08	0.1119	rs10198215	-2.77	rs4663889	 0.020464	  4.62	 0.444	431	431	blup	2.72e-02	 1.45e-04	-0.268445	0.78836
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000067066.12.wgt.RDat	SP100	2	2.31e+08	2.31e+08	0.0885	rs10169182	-2.84	rs10205096	 0.040474	  5.54	 0.436	505	 14	enet	6.57e-02	 5.10e-09	-0.139812	0.88881
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000068654.11.wgt.RDat	POLR1A	2	8.62e+07	8.63e+07	0.1642	rs308904	 1.94	rs1991106	 0.091208	 -7.81	 1.150	459	459	blup	9.78e-02	 8.54e-13	-0.826990	0.40824
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000068784.8.wgt.RDat	SRBD1	2	4.56e+07	4.58e+07	0.0920	rs17321024	 3.14	rs7576649	 0.005346	  4.01	 0.088	677	 24	enet	1.68e-02	 2.35e-03	 0.841116	0.40028
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000068912.9.wgt.RDat	ERLEC1	2	5.40e+07	5.40e+07	0.0617	rs7569370	-3.03	rs10865278	 0.011621	  4.15	 1.923	476	476	blup	1.81e-02	 1.67e-03	 1.914993	0.05549
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000071051.9.wgt.RDat	NCK2	2	1.06e+08	1.07e+08	0.0653	rs1549769	 2.62	rs4851848	 0.047061	 -5.31	 0.038	633	  3	lasso	3.61e-02	 1.37e-05	-0.037976	0.96971
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000071054.11.wgt.RDat	MAP4K4	2	1.02e+08	1.03e+08	0.1458	rs3218848	 3.03	rs11123901	 0.075090	 -6.14	-0.323	425	  3	lasso	6.66e-02	 4.09e-09	 0.391715	0.69527
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000071575.7.wgt.RDat	TRIB2	2	1.29e+07	1.29e+07	0.0565	rs1176	-2.75	rs7569039	 0.003327	  4.14	-1.230	464	464	blup	1.35e-02	 5.84e-03	-1.457197	0.14506
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000071967.7.wgt.RDat	CYBRD1	2	1.72e+08	1.72e+08	0.5184	rs12474993	-2.88	rs3821083	 0.257800	-11.29	 0.813	357	  8	lasso	3.29e-01	 2.01e-44	-0.899329	0.36848
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000072163.14.wgt.RDat	LIMS2	2	1.28e+08	1.28e+08	0.1861	rs800859	-2.94	rs6754610	 0.025421	  5.36	-0.032	369	  7	lasso	5.72e-02	 5.02e-08	 0.146468	0.88355
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000072182.8.wgt.RDat	ASIC4	2	2.20e+08	2.20e+08	0.0738	rs12469789	 2.96	rs17574571	 0.044821	  5.73	-0.340	489	  2	lasso	5.07e-02	 2.86e-07	-0.348553	0.72743
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000072195.10.wgt.RDat	SPEG	2	2.20e+08	2.20e+08	0.1106	rs12469789	 2.96	rs907683	 0.073538	 -6.44	 2.224	461	  6	lasso	8.25e-02	 5.58e-11	-1.864081	0.06231
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000075292.14.wgt.RDat	ZNF638	2	7.15e+07	7.17e+07	0.0738	rs3755342	-3.50	rs4852252	 0.024089	  4.64	 1.167	485	  4	lasso	3.98e-02	 5.16e-06	 2.568449	0.01022
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000075884.8.wgt.RDat	ARHGAP15	2	1.44e+08	1.45e+08	0.1100	rs827226	 3.65	rs10928177	 0.030530	 -5.06	 0.740	377	 22	enet	5.66e-02	 5.83e-08	-0.592074	0.55380
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000076003.4.wgt.RDat	MCM6	2	1.37e+08	1.37e+08	0.0672	rs7561565	-2.72	rs4988243	-0.001655	  3.75	-0.225	276	276	blup	9.16e-04	 2.29e-01	 0.673987	0.50032
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000077044.5.wgt.RDat	DGKD	2	2.34e+08	2.34e+08	0.1505	rs7584458	 2.82	rs7572257	 0.060082	 -7.38	-0.566	634	  4	lasso	8.60e-02	 2.12e-11	 0.749305	0.45367
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000077232.12.wgt.RDat	DNAJC10	2	1.84e+08	1.84e+08	0.0425	rs17706149	-4.38	rs192618	 0.026361	 -4.19	 1.615	420	  1	lasso	1.23e-02	 8.11e-03	-1.615000	0.10631
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000077380.11.wgt.RDat	DYNC1I2	2	1.73e+08	1.73e+08	0.1496	rs12474993	-2.88	rs12692974	 0.193895	-10.19	 0.517	380	  4	lasso	1.99e-01	 1.37e-25	-0.524095	0.60021
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000078098.9.wgt.RDat	FAP	2	1.63e+08	1.63e+08	0.0430	rs4667811	 2.60	rs6717263	 0.022880	  4.60	 1.471	290	  3	lasso	3.06e-02	 5.87e-05	 1.525557	0.12712
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000079150.13.wgt.RDat	FKBP7	2	1.79e+08	1.79e+08	0.1543	rs16866442	-2.94	rs2288320	 0.064985	  6.09	-0.625	464	 35	enet	7.80e-02	 1.87e-10	-1.017534	0.30890
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000079246.11.wgt.RDat	XRCC5	2	2.17e+08	2.17e+08	0.1199	rs207876	 3.20	rs1805382	 0.029838	 -5.62	-0.633	510	  4	lasso	8.80e-02	 1.26e-11	-1.612517	0.10685
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000080293.5.wgt.RDat	SCTR	2	1.20e+08	1.20e+08	0.1111	rs729735	 3.42	rs10165398	 0.048569	  6.08	-0.013	410	  4	lasso	6.22e-02	 1.30e-08	-0.369759	0.71156
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000080345.13.wgt.RDat	RIF1	2	1.52e+08	1.52e+08	0.0578	rs16829718	 2.55	rs2278089	 0.000744	  3.81	 1.590	402	402	blup	1.61e-02	 2.85e-03	 0.332553	0.73947
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000081320.6.wgt.RDat	STK17B	2	1.97e+08	1.97e+08	0.2394	rs1534537	-3.03	rs2305568	 0.120335	  9.08	 1.900	371	 11	enet	1.44e-01	 2.08e-18	 1.627561	0.10362
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000082258.8.wgt.RDat	CCNT2	2	1.36e+08	1.36e+08	0.0801	rs16830706	 3.27	rs1984559	 0.053023	  5.59	-0.644	372	  6	lasso	4.48e-02	 1.37e-06	-1.304813	0.19196
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000082438.11.wgt.RDat	COBLL1	2	1.66e+08	1.66e+08	0.0641	rs6717338	-4.64	rs4667772	 0.020043	 -4.49	 1.043	379	  5	lasso	4.59e-02	 1.01e-06	-0.875170	0.38148
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000084674.9.wgt.RDat	APOB	2	2.12e+07	2.13e+07	0.0843	rs1713223	 2.61	rs505813	 0.001176	 -3.90	-0.986	425	425	blup	3.58e-02	 1.47e-05	 1.116798	0.26408
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000084676.11.wgt.RDat	NCOA1	2	2.47e+07	2.50e+07	0.0697	rs12105106	 2.34	rs2241759	 0.001172	 -3.48	-0.299	319	319	blup	1.26e-02	 7.44e-03	 0.115492	0.90806
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000084754.6.wgt.RDat	HADHA	2	2.64e+07	2.65e+07	0.0329	rs6547079	 2.22	rs4665319	 0.005298	 -3.68	-0.419	348	348	blup	3.06e-03	 1.14e-01	 0.219082	0.82659
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000084764.6.wgt.RDat	MAPRE3	2	2.72e+07	2.73e+07	0.0634	rs6547079	 2.22	rs893790	 0.058042	  5.98	 0.603	361	  3	lasso	6.30e-02	 1.07e-08	 0.577956	0.56329
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000084774.9.wgt.RDat	CAD	2	2.74e+07	2.75e+07	0.0606	rs2384629	-1.94	rs6547496	 0.012649	  4.25	 0.304	313	  4	lasso	2.72e-02	 1.43e-04	-0.196471	0.84424
Muscle_Skeletal	./GTEx_v7/Muscle_Skeletal/Muscle_Skeletal.ENSG00000085760.10.wgt.RDat	MTIF2	2	5.55e+07	5.55e+07	0.0602	rs17345285	-2.57	rs2589082	 0.020724	 -4.42	-1.853	492	  6	lasso	2.08e-02	 8.08e-04	 1.643990	0.10018
