PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Esophagus_Mucosa	./GTEx_v7/Esophagus_Mucosa/Esophagus_Mucosa.ENSG00000003249.9.wgt.RDat	DBNDD1	16	90071273	90086451	0.1164	rs101151	-2.39	rs11642823	 0.024039	 -4.01	-0.1340	278	  4	lasso	 0.032778	3.44e-04	 0.67560	0.49930
Esophagus_Mucosa	./GTEx_v7/Esophagus_Mucosa/Esophagus_Mucosa.ENSG00000005187.7.wgt.RDat	ACSM3	16	20621565	20807446	0.3258	rs9935655	-2.36	rs5715	 0.302564	-10.48	-0.2170	397	 26	enet	 0.347309	5.58e-35	 0.19390	0.84625
Esophagus_Mucosa	./GTEx_v7/Esophagus_Mucosa/Esophagus_Mucosa.ENSG00000005194.10.wgt.RDat	CIAPIN1	16	57462081	57481348	0.2021	rs13332223	 3.45	rs667380	 0.108584	 -6.57	 0.5160	582	  7	enet	 0.118149	1.47e-11	 0.10188	0.91885
Esophagus_Mucosa	./GTEx_v7/Esophagus_Mucosa/Esophagus_Mucosa.ENSG00000006007.7.wgt.RDat	GDE1	16	19513212	19533467	0.1729	rs11644013	-3.64	rs1475962	 0.072408	 -5.87	 0.4820	458	458	blup	 0.090312	4.15e-09	-0.21396	0.83058
Esophagus_Mucosa	./GTEx_v7/Esophagus_Mucosa/Esophagus_Mucosa.ENSG00000006194.6.wgt.RDat	ZNF263	16	 3313743	 3341460	0.1820	rs2285675	 2.68	rs757108	 0.108723	  7.06	 2.0460	395	  6	lasso	 0.118918	1.26e-11	 1.86823	0.06173
Esophagus_Mucosa	./GTEx_v7/Esophagus_Mucosa/Esophagus_Mucosa.ENSG00000007516.9.wgt.RDat	BAIAP3	16	 1383602	 1399240	0.4329	rs753357	 3.17	rs8055112	 0.068096	  5.52	-0.0270	463	  9	lasso	 0.049891	1.21e-05	 0.15656	0.87559
Esophagus_Mucosa	./GTEx_v7/Esophagus_Mucosa/Esophagus_Mucosa.ENSG00000007541.10.wgt.RDat	PIGQ	16	  616995	  634136	0.1423	rs611862	-2.40	rs4984890	 0.054522	 -4.70	-0.2710	478	478	blup	 0.043267	4.43e-05	-0.01851	0.98523
Esophagus_Mucosa	./GTEx_v7/Esophagus_Mucosa/Esophagus_Mucosa.ENSG00000007545.11.wgt.RDat	CRAMP1L	16	 1662326	 1727909	0.0745	rs753357	 3.17	rs11865609	 0.011856	  4.14	-0.1150	481	  6	enet	 0.015985	9.59e-03	 0.32404	0.74591
Esophagus_Mucosa	./GTEx_v7/Esophagus_Mucosa/Esophagus_Mucosa.ENSG00000008516.12.wgt.RDat	MMP25	16	 3096682	 3110727	0.1835	rs2285675	 2.59	rs1064875	 0.117784	  6.61	-0.6450	371	  4	lasso	 0.098526	7.97e-10	-0.62225	0.53378
Esophagus_Mucosa	./GTEx_v7/Esophagus_Mucosa/Esophagus_Mucosa.ENSG00000008517.12.wgt.RDat	IL32	16	 3115298	 3131908	0.1201	NA	   NA	NA	       NA	    NA	     NA	374	  0	lasso	 0.067570	3.79e-07	      NA	     NA
