PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Spinal_cord_cervical_c-1	./GTEx_v7/Brain_Spinal_cord_cervical_c-1/Brain_Spinal_cord_cervical_c-1.ENSG00000007516.9.wgt.RDat	BAIAP3	16	 1383602	 1399240	0.740	rs753357	 3.17	rs7185635	 0.15888	 4.14	-1.795	462	 17	lasso	0.0875	4.04e-03	-0.67749	0.4981
Brain_Spinal_cord_cervical_c-1	./GTEx_v7/Brain_Spinal_cord_cervical_c-1/Brain_Spinal_cord_cervical_c-1.ENSG00000040199.14.wgt.RDat	PHLPP2	16	71678654	71758604	0.279	rs16971009	-3.19	rs4788559	 0.00382	 3.92	 0.190	439	439	blup	0.1333	4.39e-04	 1.60152	0.1093
Brain_Spinal_cord_cervical_c-1	./GTEx_v7/Brain_Spinal_cord_cervical_c-1/Brain_Spinal_cord_cervical_c-1.ENSG00000059122.12.wgt.RDat	FLYWCH1	16	 2961938	 3001209	0.864	rs2285675	 2.49	rs9928222	 0.59719	 7.05	-0.474	338	 15	enet	0.5650	2.46e-16	-0.51755	0.6048
Brain_Spinal_cord_cervical_c-1	./GTEx_v7/Brain_Spinal_cord_cervical_c-1/Brain_Spinal_cord_cervical_c-1.ENSG00000063854.8.wgt.RDat	HAGH	16	 1845621	 1876967	0.607	rs17808854	-2.47	rs9806826	 0.51479	 6.52	-0.931	473	  9	lasso	0.4731	5.69e-13	-1.16502	0.2440
Brain_Spinal_cord_cervical_c-1	./GTEx_v7/Brain_Spinal_cord_cervical_c-1/Brain_Spinal_cord_cervical_c-1.ENSG00000070761.3.wgt.RDat	C16orf80	16	58147496	58163354	0.609	rs1058132	-3.51	rs16959786	 0.08680	-4.03	-0.590	528	 11	lasso	0.0669	1.08e-02	-0.11726	0.9067
Brain_Spinal_cord_cervical_c-1	./GTEx_v7/Brain_Spinal_cord_cervical_c-1/Brain_Spinal_cord_cervical_c-1.ENSG00000086506.2.wgt.RDat	HBQ1	16	  230452	  231180	0.346	rs216590	-2.39	rs214250	 0.02188	-4.17	 0.135	299	299	blup	0.0780	6.36e-03	-0.04379	0.9651
Brain_Spinal_cord_cervical_c-1	./GTEx_v7/Brain_Spinal_cord_cervical_c-1/Brain_Spinal_cord_cervical_c-1.ENSG00000090238.7.wgt.RDat	YPEL3	16	30103635	30107565	0.618	rs7204270	 2.67	rs9928448	 0.25199	 4.77	 1.042	224	 11	lasso	0.2962	7.57e-08	 1.30699	0.1912
Brain_Spinal_cord_cervical_c-1	./GTEx_v7/Brain_Spinal_cord_cervical_c-1/Brain_Spinal_cord_cervical_c-1.ENSG00000090861.11.wgt.RDat	AARS	16	70286198	70323446	0.204	rs16970442	-1.82	rs936994	 0.02057	-3.51	 0.723	202	202	blup	0.0207	1.04e-01	-1.70933	0.0874
Brain_Spinal_cord_cervical_c-1	./GTEx_v7/Brain_Spinal_cord_cervical_c-1/Brain_Spinal_cord_cervical_c-1.ENSG00000090905.13.wgt.RDat	TNRC6A	16	24741016	24838953	0.446	rs1000014	-3.82	rs6497755	 0.06069	 4.21	 0.671	438	  4	lasso	0.0879	3.96e-03	 0.68884	0.4909
Brain_Spinal_cord_cervical_c-1	./GTEx_v7/Brain_Spinal_cord_cervical_c-1/Brain_Spinal_cord_cervical_c-1.ENSG00000095906.12.wgt.RDat	NUBP2	16	 1832902	 1839192	0.295	rs17808854	-2.47	rs3751893	 0.12264	-4.14	 0.368	480	  3	lasso	0.1767	5.00e-05	-0.10689	0.9149
