PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000002016.12.wgt.RDat	RAD52	12	1.02e+06	1.10e+06	0.3273	rs7315904	 2.52	rs765250	 1.02e-01	 5.03	 0.3830	405	  7	lasso	0.19311	5.81e-08	 0.77646	4.37e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000008394.8.wgt.RDat	MGST1	12	1.65e+07	1.68e+07	0.1897	rs1545980	-2.94	rs12310044	 9.59e-02	 3.90	-0.3090	401	  3	lasso	0.02614	3.39e-02	 0.14786	8.82e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000010219.9.wgt.RDat	DYRK4	12	4.67e+06	4.72e+06	0.2837	rs4765785	 3.32	rs10492055	 1.54e-02	-3.46	 1.9980	656	656	blup	0.00969	1.31e-01	-0.18516	8.53e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000047617.10.wgt.RDat	ANO2	12	5.64e+06	6.06e+06	0.3122	rs12354	 2.52	rs11063789	 1.03e-01	 4.35	-0.4460	580	 26	enet	0.05925	2.58e-03	 0.46387	6.43e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000060140.4.wgt.RDat	STYK1	12	1.08e+07	1.08e+07	0.3349	rs7970821	 2.46	rs2682480	-7.30e-03	 3.10	 0.7860	423	423	blup	0.09726	1.36e-04	-0.34060	7.33e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000064115.6.wgt.RDat	TM7SF3	12	2.71e+07	2.72e+07	0.2397	rs4964060	-3.19	rs15556	 3.18e-02	-3.99	-0.5400	527	 19	enet	0.08744	2.93e-04	 0.82369	4.10e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000067715.9.wgt.RDat	SYT1	12	7.93e+07	7.98e+07	0.3203	rs1521372	-2.25	rs17005513	-2.37e-03	 3.05	-0.0432	344	 20	enet	0.01619	7.57e-02	-0.02353	9.81e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000072609.13.wgt.RDat	CHFR	12	1.33e+08	1.33e+08	0.2409	rs11147249	-2.98	rs2279313	 1.43e-01	 5.02	-0.4530	234	  9	enet	0.11490	3.43e-05	-1.01526	3.10e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000072657.4.wgt.RDat	TRHDE	12	7.25e+07	7.31e+07	0.2170	rs7974791	 4.32	rs17110690	 7.53e-02	-3.90	-0.1920	386	386	blup	0.07464	7.87e-04	-0.38575	7.00e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000075035.5.wgt.RDat	WSCD2	12	1.09e+08	1.09e+08	0.2908	rs4567519	-3.20	rs10778611	 2.75e-03	 3.61	-0.8710	513	513	blup	0.01084	1.19e-01	-1.69958	8.92e-02
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000078246.11.wgt.RDat	TULP3	12	3.00e+06	3.05e+06	0.2708	rs4766019	-2.81	rs10848733	 1.21e-01	-5.26	 0.7820	592	  3	lasso	0.15372	1.53e-06	-0.76011	4.47e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000079337.11.wgt.RDat	RAPGEF3	12	4.81e+07	4.82e+07	0.3897	rs10875660	-2.40	rs7977613	 9.21e-02	-4.71	-1.2450	539	 35	enet	0.18934	7.99e-08	 0.93957	3.47e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000082805.15.wgt.RDat	ERC1	12	1.10e+06	1.61e+06	0.2656	rs7315904	 2.52	rs7974686	-6.59e-04	-3.58	-1.7840	405	405	blup	0.02857	2.79e-02	 0.75675	4.49e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000084444.9.wgt.RDat	KIAA1467	12	1.32e+07	1.33e+07	0.3730	rs11611201	 3.42	rs1872627	 2.23e-01	-5.88	-0.5420	611	  4	enet	0.21838	6.63e-09	 0.41397	6.79e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000086598.6.wgt.RDat	TMED2	12	1.24e+08	1.24e+08	0.1461	rs825464	-2.88	rs4930714	 1.04e-01	 4.35	-0.2120	380	  1	lasso	0.05632	3.23e-03	-0.21200	8.32e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000088992.13.wgt.RDat	TESC	12	1.17e+08	1.18e+08	0.1859	rs2293050	 3.41	rs7973925	 1.74e-01	-5.15	-1.2240	535	  4	lasso	0.10983	5.10e-05	 1.21518	2.24e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000089220.4.wgt.RDat	PEBP1	12	1.19e+08	1.19e+08	0.2662	rs17619337	-3.06	rs353897	 1.08e-01	 4.99	-0.6400	507	 14	enet	0.13852	5.23e-06	-0.48330	6.29e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000090382.2.wgt.RDat	LYZ	12	6.97e+07	6.97e+07	0.1829	rs12310098	 3.63	rs2231700	 2.21e-02	 4.14	 0.7910	534	534	blup	0.03120	2.27e-02	 0.23329	8.16e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000090612.16.wgt.RDat	ZNF268	12	1.34e+08	1.34e+08	0.2188	rs11147249	-2.98	rs7972415	 1.69e-01	-5.22	-0.7040	129	 11	enet	0.15671	1.20e-06	 0.54910	5.83e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000094914.8.wgt.RDat	AAAS	12	5.37e+07	5.37e+07	0.2736	rs12821902	-2.64	rs1318648	 4.83e-02	-4.00	-0.2540	394	  5	lasso	0.02698	3.17e-02	 0.31350	7.54e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000110871.10.wgt.RDat	COQ5	12	1.21e+08	1.21e+08	0.3350	rs1169286	 3.84	rs10849753	 2.26e-01	 5.79	-0.8630	409	 31	enet	0.23089	2.21e-09	-0.96869	3.33e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000110900.10.wgt.RDat	TSPAN11	12	3.11e+07	3.11e+07	0.5643	rs256722	-3.63	rs11051145	 3.82e-01	 7.25	-0.4420	487	 30	enet	0.41857	1.40e-17	-0.64310	5.20e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111077.13.wgt.RDat	TENC1	12	5.34e+07	5.35e+07	0.5111	rs12821902	-2.64	rs10876395	 3.03e-01	-6.74	 0.0840	564	 27	enet	0.33288	1.45e-13	-0.23379	8.15e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111215.7.wgt.RDat	PRR4	12	1.10e+07	1.13e+07	0.1770	rs1016322	 2.83	rs2599420	 2.91e-02	 3.97	 0.2590	358	358	blup	0.05980	2.47e-03	 1.01481	3.10e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111237.14.wgt.RDat	VPS29	12	1.11e+08	1.11e+08	0.2060	rs16940912	 3.20	rs16940933	 4.72e-02	 4.15	-0.9370	238	238	blup	0.09163	2.11e-04	-0.39960	6.89e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111254.3.wgt.RDat	AKAP3	12	4.72e+06	4.76e+06	0.4026	rs4765785	 3.32	rs979877	 2.01e-01	-6.32	 0.7260	695	 35	enet	0.19176	6.52e-08	-0.07877	9.37e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111275.8.wgt.RDat	ALDH2	12	1.12e+08	1.12e+08	0.1851	rs10744774	-2.41	rs3809276	 1.08e-01	-4.84	 1.4170	221	221	blup	0.14657	2.73e-06	-1.14945	2.50e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111321.6.wgt.RDat	LTBR	12	6.48e+06	6.50e+06	0.5728	rs2091781	 2.60	rs2364480	 2.65e-01	 6.30	 2.2170	464	  9	lasso	0.23571	1.44e-09	 2.18212	2.91e-02
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111348.4.wgt.RDat	ARHGDIB	12	1.51e+07	1.51e+07	0.1467	rs1362602	 2.49	rs11610243	 2.58e-02	-3.62	-0.7820	387	387	blup	0.06061	2.32e-03	 0.50435	6.14e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111364.11.wgt.RDat	DDX55	12	1.24e+08	1.24e+08	0.3205	rs825464	-2.88	rs786439	 1.77e-01	-5.30	 0.0620	379	  4	lasso	0.18758	9.27e-08	-0.04371	9.65e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111581.5.wgt.RDat	NUP107	12	6.91e+07	6.91e+07	0.3644	rs2160891	-3.06	rs751045	 1.26e-01	-5.77	 0.8080	530	  3	lasso	0.17148	3.56e-07	-0.74340	4.57e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111615.8.wgt.RDat	KRR1	12	7.59e+07	7.59e+07	0.3196	rs11180463	 2.12	rs11611609	 2.07e-01	 5.75	 1.4780	522	  3	lasso	0.18861	8.50e-08	 1.54963	1.21e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111666.6.wgt.RDat	CHPT1	12	1.02e+08	1.02e+08	0.4234	rs10860699	 2.60	rs10778139	 7.21e-02	-5.22	-1.1860	485	 10	lasso	0.20989	1.38e-08	 0.19961	8.42e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111696.7.wgt.RDat	NT5DC3	12	1.04e+08	1.04e+08	0.2915	rs6419385	-2.62	rs751448	 2.61e-02	-3.86	-0.1140	614	614	blup	0.05360	3.98e-03	 0.19874	8.42e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000111775.2.wgt.RDat	COX6A1	12	1.21e+08	1.21e+08	0.1553	rs10849789	 3.11	rs1151845	 1.17e-01	-4.22	-0.0080	391	  6	lasso	0.11683	2.94e-05	 0.00728	9.94e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000120647.5.wgt.RDat	CCDC77	12	4.99e+05	5.52e+05	0.1759	rs4980848	 2.74	rs1541464	 8.02e-02	-4.66	 0.9590	390	  2	lasso	0.05970	2.49e-03	-1.00077	3.17e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000121335.10.wgt.RDat	PRB2	12	1.15e+07	1.17e+07	0.3465	rs12367273	 3.55	rs2965706	-5.08e-03	 4.27	-0.1680	442	442	blup	0.07954	5.39e-04	 0.56589	5.71e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000121350.11.wgt.RDat	PYROXD1	12	2.16e+07	2.16e+07	0.3106	rs3741841	-3.43	rs2159948	 1.99e-01	-5.71	-0.6480	553	  8	lasso	0.20795	1.64e-08	 0.52709	5.98e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000122965.6.wgt.RDat	RBM19	12	1.14e+08	1.14e+08	0.7082	rs336264	-3.36	rs11066776	 1.60e-01	-5.35	-0.4570	649	100	enet	0.30678	1.94e-12	-0.24404	8.07e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000122971.4.wgt.RDat	ACADS	12	1.21e+08	1.21e+08	0.5198	rs1169286	 3.84	rs2239760	 4.51e-01	 7.85	-1.6220	450	  6	lasso	0.43648	1.71e-18	-1.46707	1.42e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000123297.12.wgt.RDat	TSFM	12	5.82e+07	5.82e+07	0.1173	rs538548	-3.59	rs2072052	 7.14e-02	-4.01	-1.0520	353	353	blup	0.05680	3.11e-03	 1.47557	1.40e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000123427.11.wgt.RDat	METTL21B	12	5.82e+07	5.82e+07	0.4228	rs538548	-3.59	rs11172344	 3.83e-01	 7.38	-1.3140	353	353	blup	0.38218	8.25e-16	-1.57780	1.15e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000127337.2.wgt.RDat	YEATS4	12	6.98e+07	6.98e+07	0.3089	rs12310098	 3.63	rs6581889	 2.64e-01	-6.07	-0.7500	526	  3	lasso	0.29985	3.79e-12	 0.76575	4.44e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000133704.5.wgt.RDat	IPO8	12	3.08e+07	3.08e+07	0.3624	rs256722	-3.63	rs11051005	 1.95e-01	-5.77	-0.9900	573	  6	lasso	0.20347	2.40e-08	 1.04244	2.97e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000134285.6.wgt.RDat	FKBP11	12	4.93e+07	4.93e+07	0.2400	rs7980731	-2.62	rs3104163	 1.41e-01	 5.19	 0.2160	334	  4	lasso	0.15295	1.63e-06	-0.38288	7.02e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000134291.7.wgt.RDat	TMEM106C	12	4.84e+07	4.84e+07	0.2093	rs11503876	 2.76	rs4344559	 8.74e-03	-4.08	 0.2870	509	 12	enet	0.01317	9.73e-02	 0.03867	9.69e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000134545.9.wgt.RDat	KLRC1	12	1.06e+07	1.06e+07	0.4837	rs12829123	 2.93	rs6488297	 2.09e-01	 6.20	 1.1650	492	  6	lasso	0.21519	8.75e-09	 1.11447	2.65e-01
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000134548.5.wgt.RDat	C12orf39	12	2.17e+07	2.17e+07	0.1997	rs3741841	-3.43	rs11612017	 1.39e-02	-4.04	 0.6660	542	  8	lasso	0.03086	2.33e-02	-2.35100	1.87e-02
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000135100.13.wgt.RDat	HNF1A	12	1.21e+08	1.21e+08	0.3358	rs1169286	 3.84	rs2258287	 7.39e-02	 5.18	 1.7300	469	  4	lasso	0.10997	5.05e-05	 2.05679	3.97e-02
Brain_Cortex	./GTEx_v7/Brain_Cortex/Brain_Cortex.ENSG00000135390.13.wgt.RDat	ATP5G2	12	5.40e+07	5.41e+07	0.6930	rs17103077	 2.23	rs1800633	 5.53e-01	 8.68	 0.8310	420	  6	lasso	0.56034	1.03e-25	 0.74388	4.57e-01
