PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000010704.14.wgt.RDat	ENSG00000010704.14:HFE	6	26087509	26098571	0.1523	rs6934448	3.38	rs2071303	0.112220	-6.67	0.348	696	3	lasso	0.104807	4.85e-11	-0.4522	6.51e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000026950.12.wgt.RDat	ENSG00000026950.12:BTN3A1	6	26402465	26415444	0.2667	rs6934448	3.76	rs4712990	0.187909	8.63	-0.548	531	531	blup	0.195548	4.92e-20	-0.6184	5.36e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000030110.8.wgt.RDat	ENSG00000030110.8:BAK1	6	33540329	33548019	0.3432	rs2296329	-3.33	rs210134	0.289058	10.60	0.092	500	4	lasso	0.283596	9.96e-30	0.0515	9.59e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000066379.10.wgt.RDat	ENSG00000066379.10:ZNRD1	6	30029418	30032686	0.2811	rs9257940	1.50	rs3129063	0.039361	-4.24	0.064	42	20	enet	0.082524	5.93e-09	1.6755	9.38e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000096433.6.wgt.RDat	ENSG00000096433.6:ITPR3	6	33588142	33664351	0.1323	rs2296329	-3.33	rs7769838	0.093271	6.16	0.987	523	4	lasso	0.081043	8.14e-09	0.9867	3.24e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000111801.11.wgt.RDat	ENSG00000111801.11:BTN3A3	6	26440700	26453643	0.4127	rs6934448	3.77	rs6929846	0.024814	-5.17	-0.598	507	45	enet	0.132367	1.11e-13	-0.7285	4.66e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000112763.11.wgt.RDat	ENSG00000112763.11:BTN2A1	6	26458150	26476849	0.2733	rs6934448	3.84	rs4712998	0.151445	7.73	-0.779	501	7	lasso	0.158807	2.75e-16	-0.7587	4.48e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000112812.11.wgt.RDat	ENSG00000112812.11:PRSS16	6	27215480	27224250	0.1041	rs9295740	2.34	rs911186	0.005311	4.10	0.455	342	342	blup	0.013960	1.17e-02	0.6749	5.00e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000124508.12.wgt.RDat	ENSG00000124508.12:BTN2A2	6	26383324	26395102	0.2889	rs6934448	3.72	rs3757145	0.103202	-6.87	0.580	544	15	lasso	0.176570	4.44e-18	-0.7058	4.80e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000124549.10.wgt.RDat	ENSG00000124549.10:BTN2A3P	6	26421619	26432611	0.2457	rs6934448	3.77	rs1624440	0.159315	7.99	0.659	514	11	lasso	0.169272	2.44e-17	0.8323	4.05e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000124613.4.wgt.RDat	ENSG00000124613.4:ZNF391	6	27342394	27371683	0.2372	rs2021835	2.43	rs6915934	0.270705	-10.48	-0.498	399	39	enet	0.272940	1.70e-28	0.5437	5.87e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000137185.7.wgt.RDat	ENSG00000137185.7:ZSCAN9	6	28192664	28201260	0.2077	rs2021835	2.43	rs10456357	0.044885	4.39	-1.739	444	7	lasso	0.033496	1.83e-04	-1.2889	1.97e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000137288.5.wgt.RDat	ENSG00000137288.5:UQCC2	6	33663126	33679504	0.0775	rs2296329	-3.33	rs2296330	0.027469	-4.20	1.429	514	7	enet	0.035943	1.10e-04	-1.7584	7.87e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000137310.7.wgt.RDat	ENSG00000137310.7:TCF19	6	31126319	31131992	0.1496	rs3130980	4.07	rs1265094	0.073984	-6.36	0.245	176	5	enet	0.090212	1.14e-09	-0.3056	7.60e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000137338.4.wgt.RDat	ENSG00000137338.4:PGBD1	6	28249314	28270326	0.0786	rs2021835	2.43	rs1339899	-0.001407	3.61	0.498	419	13	enet	-0.002052	6.43e-01	0.7011	4.83e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000137411.12.wgt.RDat	ENSG00000137411.12:VARS2	6	30881982	30894236	0.2981	rs3130980	4.07	rs1265048	0.049509	4.61	0.843	95	37	enet	0.102834	7.45e-11	0.9878	3.23e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000146109.3.wgt.RDat	ENSG00000146109.3:ABT1	6	26597180	26600278	0.2081	rs6934448	3.75	rs10946844	0.029782	-5.10	-0.016	481	33	enet	0.059743	7.44e-07	1.4749	1.40e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000161896.6.wgt.RDat	ENSG00000161896.6:IP6K3	6	33689444	33714762	0.1756	rs2296329	-3.33	rs6942022	0.079704	-5.76	1.320	522	3	lasso	0.082957	5.41e-09	-1.1474	2.51e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000161904.7.wgt.RDat	ENSG00000161904.7:LEMD2	6	33738979	33756913	0.2427	rs2296329	-3.33	rs2395402	0.093599	6.38	-0.260	539	539	blup	0.083792	4.53e-09	-0.9642	3.35e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000166278.10.wgt.RDat	ENSG00000166278.10:C2	6	31865562	31913426	0.0897	rs1048709	-3.92	rs3130286	-0.001673	-4.27	-2.380	227	227	blup	0.028811	4.91e-04	3.1810	1.47e-03
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000168394.9.wgt.RDat	ENSG00000168394.9:TAP1	6	32812986	32821755	0.0990	rs28366298	4.96	rs2071534	-0.001155	3.99	1.625	266	19	enet	0.022272	1.96e-03	-0.3232	7.47e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000168631.7.wgt.RDat	ENSG00000168631.7:DPCR1	6	30908749	30921998	0.0993	rs3130980	4.07	rs9501057	0.001120	3.54	-0.250	95	5	lasso	0.009514	3.12e-02	-0.0139	9.89e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000176933.4.wgt.RDat	ENSG00000176933.4:TOB2P1	6	28185421	28186655	0.1216	rs2021835	2.43	rs1233666	0.076756	-5.61	-0.781	449	449	blup	0.068541	1.16e-07	1.4554	1.46e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000176998.3.wgt.RDat	ENSG00000176998.3:HCG4	6	29758816	29760213	0.3508	rs9257940	1.50	rs1362126	0.117139	6.91	-0.802	43	4	lasso	0.177025	3.99e-18	-0.7261	4.68e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000179344.12.wgt.RDat	ENSG00000179344.12:HLA-DQB1	6	32627244	32636160	0.7741	rs28366298	4.96	rs1063355	0.560642	14.69	-3.587	221	9	lasso	0.579478	4.52e-74	-3.4688	5.23e-04
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000181126.9.wgt.RDat	ENSG00000181126.9:HLA-V	6	29758731	29765588	0.5886	rs9257940	1.50	rs3129054	0.004205	4.27	0.095	43	26	enet	0.247727	1.20e-25	2.2343	2.55e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000181315.6.wgt.RDat	ENSG00000181315.6:ZNF322	6	26636518	26659980	0.1023	rs6934448	3.41	rs2504600	0.078904	-6.22	-0.001	441	6	lasso	0.087564	2.02e-09	-0.1054	9.16e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000182952.4.wgt.RDat	ENSG00000182952.4:HMGN4	6	26538633	26546482	0.0585	rs6934448	3.87	rs9348738	0.021505	-4.42	0.169	487	13	enet	0.010644	2.42e-02	0.0820	9.35e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000186470.9.wgt.RDat	ENSG00000186470.9:BTN3A2	6	26365387	26378546	0.6826	rs6934448	3.68	rs9366653	0.486569	-13.80	1.300	557	45	enet	0.517100	1.42e-62	-1.5212	1.28e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000187987.5.wgt.RDat	ENSG00000187987.5:ZSCAN23	6	28399707	28411279	0.4557	rs967005	2.21	rs2531803	0.324371	11.22	-0.022	342	9	lasso	0.322381	2.26e-34	-0.1540	8.78e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000189134.3.wgt.RDat	ENSG00000189134.3:NKAPL	6	28227098	28228736	0.1225	rs2021835	2.43	rs9380031	0.023490	-4.49	0.824	429	4	lasso	0.042397	2.84e-05	-1.2496	2.11e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000189298.9.wgt.RDat	ENSG00000189298.9:ZKSCAN3	6	28317691	28336947	0.1047	rs200956	2.25	rs11966042	0.036267	-4.76	0.091	385	4	lasso	0.074958	2.98e-08	-0.8637	3.88e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000196126.6.wgt.RDat	ENSG00000196126.6:HLA-DRB1	6	32546546	32557625	0.3990	rs28366298	4.96	rs9271170	0.222860	9.40	-2.471	233	8	lasso	0.265341	1.26e-27	-3.2732	1.06e-03
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000196301.3.wgt.RDat	ENSG00000196301.3:HLA-DRB9	6	32427598	32441277	0.4838	rs28366298	4.96	rs9271170	0.215208	-9.17	-2.471	208	6	lasso	0.267763	6.66e-28	2.7912	5.25e-03
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000196735.7.wgt.RDat	ENSG00000196735.7:HLA-DQA1	6	32595956	32611429	0.2205	rs28366298	4.96	rs1063355	0.138326	7.61	-3.587	214	7	lasso	0.154528	7.35e-16	-4.2001	2.67e-05
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000197062.7.wgt.RDat	ENSG00000197062.7:RP5-874C20.3	6	28234788	28245974	0.1934	rs2021835	2.43	rs10456362	0.107052	-6.98	1.688	426	10	lasso	0.139943	2.02e-14	-1.2899	1.97e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000197279.3.wgt.RDat	ENSG00000197279.3:ZNF165	6	28048909	28057341	0.1037	rs2021835	2.43	rs149974	0.077094	-5.79	0.421	485	4	lasso	0.054457	2.26e-06	-0.5710	5.68e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000197903.6.wgt.RDat	ENSG00000197903.6:HIST1H2BK	6	27106073	27114619	0.1141	rs9368516	2.18	rs6940638	0.047813	5.25	0.682	332	332	blup	0.065959	2.00e-07	0.2805	7.79e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000198315.6.wgt.RDat	ENSG00000198315.6:ZKSCAN8	6	28109688	28127250	0.0520	rs2021835	2.43	rs2179174	0.013330	3.99	0.212	472	472	blup	0.014683	9.97e-03	-0.5000	6.17e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000198502.5.wgt.RDat	ENSG00000198502.5:HLA-DRB5	6	32485120	32498064	0.9283	rs28366298	4.96	rs9271055	0.533481	14.30	-2.334	256	23	lasso	0.616178	1.17e-81	-0.9343	3.50e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000198563.9.wgt.RDat	ENSG00000198563.9:DDX39B	6	31498010	31510225	0.0983	rs3130980	4.07	rs2844509	0.029462	4.34	1.202	280	3	lasso	0.030008	3.82e-04	1.2723	2.03e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000199332.1.wgt.RDat	ENSG00000199332.1:Y_RNA	6	31369929	31370027	0.2746	rs3130980	4.07	rs2263316	0.038726	5.07	-1.315	243	243	blup	0.088646	1.60e-09	-0.8109	4.17e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204209.6.wgt.RDat	ENSG00000204209.6:DAXX	6	33286335	33297046	0.0611	rs2296329	-3.33	rs2282851	0.032580	-4.13	0.773	472	5	lasso	0.022702	1.79e-03	-0.8889	3.74e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204228.3.wgt.RDat	ENSG00000204228.3:HSD17B8	6	33172419	33174608	0.1645	rs2296329	-3.33	rs2855442	0.107773	6.90	0.413	405	23	enet	0.113362	7.47e-12	1.0925	2.75e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204248.6.wgt.RDat	ENSG00000204248.6:COL11A2	6	33130458	33160276	0.0925	rs2296329	-3.33	rs2076312	0.003003	-3.92	-0.419	386	386	blup	0.014395	1.06e-02	-0.2647	7.91e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204252.8.wgt.RDat	ENSG00000204252.8:HLA-DOA	6	32971955	32977389	0.0906	rs28366298	4.96	rs396090	0.019502	4.47	-0.817	287	287	blup	0.022929	1.70e-03	-1.7313	8.34e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204257.10.wgt.RDat	ENSG00000204257.10:HLA-DMA	6	32916390	32936871	0.1124	rs28366298	4.96	rs1050391	0.049684	4.63	-2.015	280	7	enet	0.032934	2.06e-04	-1.8020	7.15e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204267.9.wgt.RDat	ENSG00000204267.9:TAP2	6	32789610	32806557	0.2887	rs28366298	4.96	rs4148876	0.234414	-9.58	0.702	266	4	lasso	0.255104	1.80e-26	-1.1083	2.68e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204287.9.wgt.RDat	ENSG00000204287.9:HLA-DRA	6	32407619	32412823	0.1423	rs28366298	4.96	rs28366298	0.037341	5.22	4.961	217	4	lasso	0.080779	8.62e-09	4.2661	1.99e-05
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204301.5.wgt.RDat	ENSG00000204301.5:NOTCH4	6	32162620	32191844	0.3606	rs28366298	4.96	rs652888	0.106759	-6.86	1.586	164	29	enet	0.196138	4.27e-20	-2.0484	4.05e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204305.9.wgt.RDat	ENSG00000204305.9:AGER	6	32148745	32152101	0.1605	rs28366298	4.96	rs1269854	0.003446	4.02	-0.327	164	17	enet	0.036514	9.73e-05	2.2400	2.51e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204314.6.wgt.RDat	ENSG00000204314.6:PRRT1	6	32116136	32121621	0.1420	rs28366298	4.96	rs589428	0.003254	-4.11	-1.502	160	160	blup	0.066658	1.73e-07	1.9773	4.80e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204338.4.wgt.RDat	ENSG00000204338.4:CYP21A1P	6	31973466	31976176	0.4095	rs1048709	-3.92	rs2071295	0.165899	9.08	0.931	198	23	enet	0.333213	1.02e-35	2.0499	4.04e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204344.10.wgt.RDat	ENSG00000204344.10:STK19	6	31938943	31949228	0.2321	rs1048709	-3.92	rs17201431	0.080905	-5.93	0.666	223	5	lasso	0.076390	2.20e-08	-0.8727	3.83e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204348.5.wgt.RDat	ENSG00000204348.5:DXO	6	31937587	31940069	0.0964	rs1048709	-3.92	rs4151671	0.006964	-3.82	-0.491	223	17	enet	0.020824	2.66e-03	-1.3654	1.72e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204351.7.wgt.RDat	ENSG00000204351.7:SKIV2L	6	31926888	31937532	0.4759	rs1048709	-3.92	rs391165	0.304199	11.34	-1.087	223	34	enet	0.358360	6.40e-39	-0.4798	6.31e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204356.7.wgt.RDat	ENSG00000204356.7:NELFE	6	31919864	31926856	0.1482	rs1048709	-3.92	rs541862	0.098600	-6.72	-0.209	223	20	enet	0.097095	2.59e-10	0.6198	5.35e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204387.8.wgt.RDat	ENSG00000204387.8:C6orf48	6	31802385	31807541	0.1122	rs1048709	-3.92	rs3749953	0.031363	-5.16	-1.625	242	242	blup	0.040281	4.42e-05	1.0765	2.82e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204410.10.wgt.RDat	ENSG00000204410.10:MSH5	6	31707725	31730575	0.0780	rs1048709	-3.92	rs2269426	0.024513	4.22	2.410	245	245	blup	0.049034	7.06e-06	2.1705	3.00e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204428.8.wgt.RDat	ENSG00000204428.8:LY6G5C	6	31644461	31651817	0.2054	rs1048709	-3.92	rs1144709	0.074091	-6.42	2.291	245	14	enet	0.110340	1.45e-11	-1.3483	1.78e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000204438.6.wgt.RDat	ENSG00000204438.6:GPANK1	6	31629006	31634060	0.1648	rs1048709	-3.92	rs3130484	-0.002290	-4.11	0.129	245	245	blup	0.028995	4.72e-04	2.3796	1.73e-02
