ENSG_ID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit [Source:HGNC Symbol;Acc:3005]	protein_coding	20	49551404	49575092
ENSG00000000457	SCYL3	SCY1-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:19285]	protein_coding	1	169818772	169863408
ENSG00000000460	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:25565]	protein_coding	1	169631245	169823221
ENSG00000000938	FGR	feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697]	protein_coding	1	27938575	27961788
ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:4883]	protein_coding	1	196621008	196716634
ENSG00000001036	FUCA2	fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:4008]	protein_coding	6	143815948	143832827
ENSG00000001084	GCLC	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]	protein_coding	6	53362139	53409927
ENSG00000001167	NFYA	nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:7804]	protein_coding	6	41040684	41067715
ENSG00000001460	STPG1	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]	protein_coding	1	24683489	24743424
ENSG00000001461	NIPAL3	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]	protein_coding	1	24745781	24799466
ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:3359]	protein_coding	6	46097730	46114436
ENSG00000001617	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]	protein_coding	3	50192478	50226508
ENSG00000001626	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]	protein_coding	7	117105838	117356025
ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:22215]	protein_coding	7	91875548	92030698
ENSG00000001630	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2649]	protein_coding	7	91741465	91772266
