PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000021776.6.wgt.RDat	AQR	15	3.51e+07	3.53e+07	0.1249	rs7163190	 3.50	rs7182356	 7.00e-02	 -5.86	-0.286	400	400	blup	 0.057288	1.25e-06	-0.33206	0.73984
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000028528.10.wgt.RDat	SNX1	15	6.44e+07	6.44e+07	0.1419	rs41380646	 3.21	rs12102207	 7.56e-02	  5.68	 1.869	292	 15	enet	 0.054708	2.14e-06	 1.46637	0.14255
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000031544.10.wgt.RDat	NR2E3	15	7.21e+07	7.21e+07	0.0681	rs7163924	 2.45	rs7177242	 4.66e-02	 -4.95	 0.211	504	  4	lasso	 0.050000	5.76e-06	-0.11655	0.90722
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000033800.9.wgt.RDat	PIAS1	15	6.83e+07	6.85e+07	0.3366	rs16952095	-2.86	rs16951524	 1.10e-01	  6.70	 0.576	452	 10	lasso	 0.161569	1.46e-16	-0.48283	0.62922
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000035664.7.wgt.RDat	DAPK2	15	6.42e+07	6.44e+07	0.0642	rs41380646	 3.20	rs34758599	-2.60e-03	 -2.98	 1.285	295	295	blup	 0.018790	4.11e-03	-2.02389	0.04298
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000041357.11.wgt.RDat	PSMA4	15	7.88e+07	7.88e+07	0.0853	rs2011323	-2.65	rs3743075	 1.16e-02	 -4.84	-0.672	427	427	blup	 0.038798	6.03e-05	-0.40923	0.68237
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000064726.5.wgt.RDat	BTBD1	15	8.37e+07	8.37e+07	0.1068	rs12148084	-2.84	rs2381030	 7.68e-02	 -5.57	-0.133	339	  6	enet	 0.066501	1.79e-07	-0.00255	0.99796
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000066933.11.wgt.RDat	MYO9A	15	7.21e+07	7.24e+07	0.0978	rs7163924	 2.45	rs7183196	 1.48e-02	 -4.49	 0.261	374	 21	enet	 0.038092	6.99e-05	-0.65272	0.51394
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000067141.12.wgt.RDat	NEO1	15	7.33e+07	7.36e+07	0.0740	rs8030574	 2.86	rs3850987	 1.18e-02	  3.45	 0.468	279	 14	enet	 0.013328	1.34e-02	-0.29547	0.76764
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000067221.9.wgt.RDat	STOML1	15	7.43e+07	7.43e+07	0.1954	rs5015024	 2.67	rs11072464	 1.35e-01	  7.46	 1.005	404	  3	lasso	 0.129749	1.99e-13	 0.98206	0.32607
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000067369.9.wgt.RDat	TP53BP1	15	4.37e+07	4.38e+07	0.1138	rs35302555	 2.54	rs527921	 5.32e-02	 -5.33	-0.693	266	  3	lasso	 0.065137	2.38e-07	 0.40197	0.68771
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000068305.13.wgt.RDat	MEF2A	15	1.00e+08	1.00e+08	0.1338	rs4965250	 3.22	rs7180712	 1.59e-02	  4.24	 0.238	513	513	blup	 0.045165	1.59e-05	-0.70617	0.48008
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000068793.13.wgt.RDat	CYFIP1	15	2.29e+07	2.30e+07	0.2776	rs8034562	 2.16	rs7171787	 9.81e-02	  6.37	 0.800	176	176	blup	 0.106205	3.58e-11	 1.54419	0.12254
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000069869.11.wgt.RDat	NEDD4	15	5.61e+07	5.63e+07	0.1496	rs11858505	 3.68	rs7182436	 2.02e-02	  4.48	-1.407	374	374	blup	 0.021582	2.27e-03	-0.17925	0.85774
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000069943.5.wgt.RDat	PIGB	15	5.56e+07	5.56e+07	0.4138	rs11858505	 3.68	rs8040540	 3.05e-01	 10.99	 0.375	446	 26	enet	 0.383085	3.41e-42	 0.48027	0.63103
