PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Prostate	./GTEx_v7/Prostate/Prostate.ENSG00000018699.7.wgt.RDat	TTC27	2	3.29e+07	3.30e+07	0.2239	rs1454312	 2.954	rs4952252	 0.095559	 3.78	 1.009	425	425	blup	0.05232	4.95e-03	 0.4593	0.64604
Prostate	./GTEx_v7/Prostate/Prostate.ENSG00000042493.11.wgt.RDat	CAPG	2	8.56e+07	8.56e+07	0.2385	rs3770099	-3.416	rs3770102	 0.031404	 4.34	 0.808	459	  6	lasso	0.02816	3.08e-02	 0.4420	0.65851
Prostate	./GTEx_v7/Prostate/Prostate.ENSG00000049319.2.wgt.RDat	SRD5A2	2	3.17e+07	3.18e+07	0.1724	rs12996218	 2.907	rs13006751	 0.109587	-4.34	-1.302	418	  7	enet	0.08060	5.95e-04	 0.7038	0.48156
Prostate	./GTEx_v7/Prostate/Prostate.ENSG00000054219.9.wgt.RDat	LY75	2	1.61e+08	1.61e+08	0.4095	rs4665145	-4.101	rs6735923	 0.354709	-6.91	-2.565	445	 13	enet	0.31938	1.23e-12	 2.5514	0.01073
Prostate	./GTEx_v7/Prostate/Prostate.ENSG00000063660.4.wgt.RDat	GPC1	2	2.41e+08	2.41e+08	0.2635	rs7576849	 2.723	rs7607996	-0.004718	 3.47	 0.958	541	541	blup	0.05709	3.46e-03	 0.7743	0.43875
Prostate	./GTEx_v7/Prostate/Prostate.ENSG00000068654.11.wgt.RDat	POLR1A	2	8.62e+07	8.63e+07	0.3314	rs308904	 1.938	rs311565	 0.261024	-6.33	 0.938	459	  7	lasso	0.23711	2.22e-09	-1.0269	0.30446
Prostate	./GTEx_v7/Prostate/Prostate.ENSG00000068781.16.wgt.RDat	STON1-GTF2A1L	2	4.88e+07	4.90e+07	0.6620	rs876968	-2.593	rs2140551	 0.437884	-7.58	 0.481	505	 36	enet	0.46309	2.34e-19	-1.1154	0.26467
Prostate	./GTEx_v7/Prostate/Prostate.ENSG00000082146.8.wgt.RDat	STRADB	2	2.02e+08	2.02e+08	0.1303	rs16838316	-3.169	rs6726823	 0.006214	 3.82	-0.900	353	353	blup	0.03729	1.53e-02	-0.2063	0.83652
Prostate	./GTEx_v7/Prostate/Prostate.ENSG00000082258.8.wgt.RDat	CCNT2	2	1.36e+08	1.36e+08	0.2444	rs16830706	 3.271	rs11888766	 0.035309	 3.69	-2.018	372	372	blup	0.03607	1.68e-02	-2.3319	0.01971
Prostate	./GTEx_v7/Prostate/Prostate.ENSG00000095002.8.wgt.RDat	MSH2	2	4.76e+07	4.78e+07	0.2981	rs11125107	-3.024	rs10495944	 0.205236	 5.30	 0.791	479	  2	lasso	0.18026	2.59e-07	 0.7582	0.44831
