PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000000457.9.wgt.RDat	SCYL3	1	1.70e+08	1.70e+08	0.1266	rs3917419	-2.604	rs16862682	 0.115006	 -6.57	-2.1411	561	  5	lasso	0.121850	5.64e-12	 2.05425	0.03995
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000000460.12.wgt.RDat	C1orf112	1	1.70e+08	1.70e+08	0.1178	rs3917419	-2.604	rs1062976	 0.027917	 -5.49	-0.9940	535	535	blup	0.059702	1.62e-06	 1.65223	0.09849
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000000971.11.wgt.RDat	CFH	1	1.97e+08	1.97e+08	0.2404	rs10801551	-3.228	rs4388642	 0.132454	 -7.80	 0.1160	259	  8	lasso	0.197563	4.39e-19	-1.69685	0.08972
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000001460.13.wgt.RDat	STPG1	1	2.47e+07	2.47e+07	0.4614	rs196426	-2.531	rs576096	 0.315141	-10.82	-0.5060	420	 16	lasso	0.327411	6.51e-33	 0.40484	0.68559
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000001461.12.wgt.RDat	NIPAL3	1	2.47e+07	2.48e+07	0.4038	rs196426	-2.531	rs10903087	 0.151166	 -9.19	-1.5380	421	 11	lasso	0.300898	6.88e-30	 0.72744	0.46696
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000007341.14.wgt.RDat	ST7L	1	1.13e+08	1.13e+08	0.3173	rs11102479	-2.272	rs10745330	 0.282634	 10.18	-1.5410	331	 20	enet	0.272628	8.71e-27	-1.48047	0.13875
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000007933.8.wgt.RDat	FMO3	1	1.71e+08	1.71e+08	0.1886	rs2038111	-2.570	rs10797894	 0.096122	 -6.31	-0.1580	531	  8	lasso	0.084370	1.19e-08	 0.26830	0.78847
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000007968.6.wgt.RDat	E2F2	1	2.38e+07	2.39e+07	0.1247	rs2811982	 2.904	rs7523811	 0.025318	 -4.59	 0.0530	292	  6	lasso	0.051548	8.08e-06	-0.10850	0.91360
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000008118.5.wgt.RDat	CAMK1G	1	2.10e+08	2.10e+08	0.1087	rs6660522	-2.467	rs12408760	 0.014655	  3.95	 0.3410	499	499	blup	0.035156	2.04e-04	 0.49898	0.61779
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000008128.18.wgt.RDat	CDK11A	1	1.63e+06	1.66e+06	0.1020	NA	    NA	NA	       NA	    NA	     NA	297	  0	enet	0.086295	8.06e-09	      NA	     NA
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000008130.11.wgt.RDat	NADK	1	1.68e+06	1.71e+06	0.2051	rs13303016	 2.529	rs1014988	 0.026840	 -4.81	-1.0083	289	  6	enet	0.031451	4.24e-04	 0.89448	0.37107
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000009307.11.wgt.RDat	CSDE1	1	1.15e+08	1.15e+08	0.0468	rs12118670	-2.510	rs17478965	 0.011075	  4.16	 0.8820	421	  4	lasso	0.020603	3.67e-03	 0.45017	0.65258
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000009724.12.wgt.RDat	MASP2	1	1.11e+07	1.11e+07	0.1176	rs284262	 3.165	rs1782455	 0.061498	  5.60	-1.4440	376	 10	enet	0.078575	3.79e-08	-1.44294	0.14904
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000009790.10.wgt.RDat	TRAF3IP3	1	2.10e+08	2.10e+08	0.1390	rs11119445	 2.873	rs7548781	 0.021978	 -4.56	 1.6400	513	513	blup	0.041087	6.35e-05	-1.25691	0.20879
Nerve_Tibial	./GTEx_v7/Nerve_Tibial/Nerve_Tibial.ENSG00000010165.15.wgt.RDat	METTL13	1	1.72e+08	1.72e+08	0.0619	rs235913	 2.348	rs2232809	 0.020670	 -4.57	 0.3150	480	480	blup	0.014706	1.21e-02	-1.22019	0.22239
