PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Testis	./GTEx_v7/Testis/Testis.ENSG00000002834.13.wgt.RDat	LASP1	17	37026112	37078023	0.2498	rs1859262	 2.41	rs1239185	 0.180431	  6.52	-1.189	369	  3	lasso	0.14129	3.78e-09	-0.89419	0.37122
Testis	./GTEx_v7/Testis/Testis.ENSG00000002919.10.wgt.RDat	SNX11	17	46180719	46200436	0.2214	rs17616799	-2.82	rs1468270	 0.149149	 -6.00	-1.852	446	  2	lasso	0.12663	2.60e-08	 1.89210	0.05848
Testis	./GTEx_v7/Testis/Testis.ENSG00000004142.7.wgt.RDat	POLDIP2	17	26674036	26684545	0.1686	rs6505524	 3.04	rs2239910	 0.116750	 -5.64	 0.313	271	  2	lasso	0.09435	1.66e-06	-0.31647	0.75164
Testis	./GTEx_v7/Testis/Testis.ENSG00000004897.7.wgt.RDat	CDC27	17	45195069	45266788	0.2962	rs3851791	 3.13	rs8071243	 0.110629	 -5.39	-1.446	333	 35	enet	0.13288	1.15e-08	-1.36559	0.17207
Testis	./GTEx_v7/Testis/Testis.ENSG00000005156.7.wgt.RDat	LIG3	17	33307513	33332083	0.1176	rs12150241	 3.39	rs12948362	 0.090423	 -5.16	-2.151	491	  3	lasso	0.06360	8.03e-05	 2.28092	0.02255
Testis	./GTEx_v7/Testis/Testis.ENSG00000005243.5.wgt.RDat	COPZ2	17	46103533	46115392	0.5786	rs17616799	-2.82	rs8067470	 0.206806	 -7.81	-0.845	414	414	blup	0.38706	1.31e-25	 0.95563	0.33926
Testis	./GTEx_v7/Testis/Testis.ENSG00000005379.11.wgt.RDat	BZRAP1	17	56378592	56406152	0.0884	rs8178281	 2.57	rs2526374	 0.081237	 -5.25	-0.660	348	  3	enet	0.10103	7.11e-07	 0.74463	0.45649
Testis	./GTEx_v7/Testis/Testis.ENSG00000005882.7.wgt.RDat	PDK2	17	48172101	48187403	0.2358	rs11651418	-2.66	rs847695	 0.132587	  5.86	-0.451	437	 10	enet	0.15882	3.62e-10	-0.60229	0.54698
Testis	./GTEx_v7/Testis/Testis.ENSG00000005955.8.wgt.RDat	GGNBP2	17	34900737	34946278	0.1674	rs7217637	 2.87	rs12150665	 0.170644	  6.49	-2.708	321	  9	enet	0.17463	4.22e-11	-2.60447	0.00920
Testis	./GTEx_v7/Testis/Testis.ENSG00000006042.7.wgt.RDat	TMEM98	17	31254928	31272124	0.5337	rs319774	-3.39	rs4795725	 0.331792	 -8.68	-0.634	530	  6	lasso	0.38863	9.81e-26	 0.86178	0.38881
