PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Hypothalamus	./GTEx_v7/Brain_Hypothalamus/Brain_Hypothalamus.ENSG00000004534.10.wgt.RDat	RBM6	3	5.00e+07	5.01e+07	0.194	rs17606778	 1.635	rs13060128	 0.126274	 4.75	-0.1880	340	 18	enet	0.14395	3.30e-05	-0.07460	0.94053
Brain_Hypothalamus	./GTEx_v7/Brain_Hypothalamus/Brain_Hypothalamus.ENSG00000010282.10.wgt.RDat	HHATL	3	4.27e+07	4.27e+07	0.381	rs7628932	-2.470	rs339683	 0.082262	 4.59	 0.2960	466	  8	lasso	0.20719	5.02e-07	 1.13719	0.25546
Brain_Hypothalamus	./GTEx_v7/Brain_Hypothalamus/Brain_Hypothalamus.ENSG00000011376.5.wgt.RDat	LARS2	3	4.54e+07	4.56e+07	0.536	rs952621	 3.003	rs12638088	 0.301808	-5.89	 0.7350	512	512	blup	0.37448	1.52e-12	-0.77581	0.43786
Brain_Hypothalamus	./GTEx_v7/Brain_Hypothalamus/Brain_Hypothalamus.ENSG00000012223.8.wgt.RDat	LTF	3	4.65e+07	4.65e+07	0.290	rs1138518	 2.132	rs883739	 0.216873	 5.26	-0.3340	395	  4	lasso	0.21103	3.86e-07	-0.49823	0.61832
Brain_Hypothalamus	./GTEx_v7/Brain_Hypothalamus/Brain_Hypothalamus.ENSG00000041802.6.wgt.RDat	LSG1	3	1.94e+08	1.94e+08	0.543	rs7612496	-2.864	rs3821402	 0.169629	 4.58	-0.6825	536	 12	lasso	0.03907	2.32e-02	-0.06202	0.95054
Brain_Hypothalamus	./GTEx_v7/Brain_Hypothalamus/Brain_Hypothalamus.ENSG00000055955.11.wgt.RDat	ITIH4	3	5.28e+07	5.29e+07	0.502	rs2255107	 2.178	rs9876403	 0.295636	 5.97	 1.2740	389	 16	enet	0.25406	1.87e-08	 1.35696	0.17479
Brain_Hypothalamus	./GTEx_v7/Brain_Hypothalamus/Brain_Hypothalamus.ENSG00000068745.10.wgt.RDat	IP6K2	3	4.87e+07	4.88e+07	0.459	rs11706153	 2.228	rs12496747	 0.088141	 3.75	 1.2959	276	 15	enet	0.18947	1.67e-06	 1.06077	0.28880
Brain_Hypothalamus	./GTEx_v7/Brain_Hypothalamus/Brain_Hypothalamus.ENSG00000068885.10.wgt.RDat	IFT80	3	1.60e+08	1.60e+08	0.228	rs4680592	-3.818	rs6809313	 0.067883	-4.27	 1.7570	373	  3	lasso	0.09774	6.12e-04	-1.84800	0.06460
Brain_Hypothalamus	./GTEx_v7/Brain_Hypothalamus/Brain_Hypothalamus.ENSG00000070476.10.wgt.RDat	ZXDC	3	1.26e+08	1.26e+08	0.496	rs2305228	 3.010	rs813556	 0.300779	-6.33	 0.7750	534	533	blup	0.33197	5.06e-11	-1.41201	0.15795
Brain_Hypothalamus	./GTEx_v7/Brain_Hypothalamus/Brain_Hypothalamus.ENSG00000072756.12.wgt.RDat	TRNT1	3	3.17e+06	3.19e+06	0.401	rs12494869	-3.016	rs3804783	 0.022471	-3.58	-1.0810	817	817	blup	0.06330	5.16e-03	 1.42015	0.15557
