gene	genename	gene_type	alpha	n_snps_in_window	n.snps.in.model	lambda_min_mse	test_R2_avg	test_R2_sd	cv_R2_avg	cv_R2_sd	in_sample_R2	nested_cv_fisher_pval	rho_avg	rho_se	rho_zscore	pred.perf.R2	pred.perf.pval	cv_rho_avg	cv_rho_se	cv_rho_avg_squared	cv_zscore_est	cv_zscore_pval	cv_pval_est
ENSG00000186092.5	OR4F5	protein_coding	0.5	5	3	0.0242543012411348	-0.377394714135997	0.584677150635289	-0.370763830840008	0.641486012266001	0.112220674909576	0.143459824320524	0.175533112880875	0.196409277010732	1.98066228370219	0.0308118737176499	0.0476291591018946	0.210176533537763	0.334438513258415	0.0441741752499505	2.38500614853308	0.0170788359060067	0.0492860909724089
ENSG00000269981.1	AL627309.8	processed_pseudogene	0.5	115	1	0.226592680463732	-0.00603470706672888	0.0509793949864811	-0.00566961247627508	0.0925853791315623	0.0412885493674061	0.237014270437509	0.190088491292356	0.153043854571601	2.12871496642982	0.0361336345218039	0.0332778498274343	0.224482166413206	0.292082745771164	0.0503922430375665	2.53924716375757	0.0111091309759493	0.0884678432708269
ENSG00000240409.1	MTATP8P1	unprocessed_pseudogene	0.5	244	39	0.0372077331517792	-0.0318534471403183	0.0966688214550513	-0.0174555347270338	0.272448071114907	0.375070669296493	0.0924245374498624	0.246276987627056	0.112446374584687	2.74110934265154	0.060652354634657	0.00612321267691659	0.279319885333959	0.186327666025248	0.0780195983429762	3.01598763951399	0.00256143701294193	0.189661890641194
ENSG00000284662.1	OR4F16	protein_coding	0.5	244	1	0.360351099612665	-0.0575485922653528	0.089435552547502	0.00273832020260721	0.0206431384691218	0.0260555235134399	0.0573433051645518	0.210020697992335	0.210018181313343	2.38734109785106	0.0441086935851878	0.0169707374006428	0.206229732529059	0.163209252959079	0.0425307025790073	2.18090265653534	0.0291906171941929	0.63360672035294
ENSG00000187961.13	KLHL17	protein_coding	0.5	456	22	0.223044150456378	0.046875724076274	0.0594155899410951	0.0512622874374127	0.0828878765769778	0.146088507054745	0.0613982068928277	0.259399089256975	0.112848059103252	2.91060303848931	0.0672878875073482	0.00360732002093583	0.247345335118732	0.182904226474531	0.0611797148049978	2.65431849167651	0.00794687802648982	0.337892094774374
ENSG00000272512.1	AL645608.8	lincRNA	0.5	477	13	0.27277275817686	0.0357856218348488	0.0368113265648666	0.013966504466874	0.289110472313569	0.159205272752579	0.00219275833953373	0.331898517379899	0.17577202567537	3.84714181125121	0.110156625838975	0.00011950380521024	0.280645545293223	0.260927354926127	0.0787619220929305	3.06463807638643	0.00217933550051564	0.0494743886047399
ENSG00000131591.17	C1orf159	protein_coding	0.5	629	58	0.0646070764147403	-0.0011429345235179	0.0845302291541405	0.0193705095752662	0.228536552266986	0.426555545094439	0.107222862903229	0.221847015953606	0.159403905831801	2.49687784735311	0.0492160984875194	0.0125292108033459	0.207458894555975	0.294790020500337	0.043039192930387	2.33508273522489	0.0195390990538512	0.126613763243103
ENSG00000186891.13	TNFRSF18	protein_coding	0.5	758	12	0.274109235455596	-0.0124735078913944	0.075017966281188	0.0374807653934135	0.13011588383718	0.189345646868829	0.38024271518354	0.182092398771993	0.0915618793373194	2.00530986324791	0.0331576416905386	0.0449299310355038	0.264526315650064	0.279957277761923	0.0699741716713975	3.0291408323883	0.00245250327085869	0.059284230504687
ENSG00000176022.4	B3GALT6	protein_coding	0.5	793	12	0.328779969487136	0.209242165741154	0.123459134200291	0.206770164245736	0.222165222099048	0.286986243996821	7.61539054617013e-08	0.513756800250221	0.121956808004425	6.2504024444481	0.263946049803346	4.09396388595704e-10	0.526402719095944	0.235726396454468	0.277099822671604	6.34604130482773	2.20925942036542e-10	5.26542376457964e-07
ENSG00000169962.4	TAS1R3	protein_coding	0.5	953	27	0.20054376344072	-0.00887718414040073	0.0543061741785088	0.0322731735382073	0.195918678423445	0.294561607310259	0.395296181934931	0.179770349997177	0.0910426654628162	1.9824426509177	0.0323173787381076	0.0474297200139	0.291536495609259	0.272159545118775	0.0849935282721275	3.28017285927772	0.00103743501921232	0.0357225351757132
