PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000141956.9.wgt.RDat	PRDM15	21	43218385	43299591	0.3283	rs6586304	 3.92	rs9983923	 0.066166	  5.62	 1.351	783	  6	lasso	0.13670	2.44e-11	 1.3522	0.17631
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000142166.8.wgt.RDat	IFNAR1	21	34696734	34732168	0.5067	rs11701698	-2.89	rs12483293	 0.153558	  7.57	-0.381	439	439	blup	0.28257	2.00e-23	-1.9853	0.04711
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000142188.12.wgt.RDat	TMEM50B	21	34804792	34852318	0.1798	rs11701698	-2.89	rs6517173	 0.078513	 -5.58	-0.717	460	 22	enet	0.08527	1.63e-07	 0.0350	0.97207
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000142192.16.wgt.RDat	APP	21	27252861	27543446	0.1486	rs458076	 3.75	rs455850	-0.003366	  3.33	-1.184	513	513	blup	0.02384	4.31e-03	 0.2157	0.82920
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000142197.8.wgt.RDat	DOPEY2	21	37529080	37666572	0.2951	rs2835406	 2.80	rs10483032	 0.012993	 -5.70	 1.928	508	 19	enet	0.15347	1.25e-12	-0.5966	0.55079
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000142207.5.wgt.RDat	URB1	21	33683329	33765335	0.4460	rs41441847	-2.44	rs2251336	 0.195696	  8.04	 0.324	487	 35	enet	0.30870	7.74e-26	 0.8050	0.42081
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000154719.9.wgt.RDat	MRPL39	21	26957968	26979829	0.1645	rs12483240	 2.23	rs2829806	 0.175968	 -7.74	 1.237	378	  2	lasso	0.16488	1.62e-13	-1.2660	0.20551
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000154721.10.wgt.RDat	JAM2	21	27011584	27089874	0.0711	rs12483240	 2.23	rs17407272	 0.007438	 -4.02	 0.174	386	 10	enet	0.00919	5.33e-02	-0.2685	0.78832
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000154736.5.wgt.RDat	ADAMTS5	21	28290231	28338832	0.1561	rs458076	 3.75	rs979144	 0.036787	  4.53	 1.119	680	680	blup	0.05898	1.29e-05	 1.1198	0.26281
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000155313.11.wgt.RDat	USP25	21	17102344	17252377	0.1669	rs2242842	 2.99	rs2823491	 0.058959	 -5.96	-0.165	363	 10	enet	0.08193	2.86e-07	-0.0541	0.95682
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000156239.7.wgt.RDat	N6AMT1	21	30244513	30257693	0.1623	rs8134891	 2.17	rs2776227	 0.034086	 -5.23	-1.401	473	473	blup	0.06285	6.82e-06	 0.9491	0.34259
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000156253.2.wgt.RDat	RWDD2B	21	30376705	30391699	0.0982	rs8134891	 2.17	rs2247809	 0.045569	  5.33	-0.880	431	  5	lasso	0.05484	2.56e-05	-1.1146	0.26503
Cells_Transformed_fibroblasts	./GTEx_v7/Cells_Transformed_fibroblasts/Cells_Transformed_fibroblasts.ENSG00000156261.8.wgt.RDat	CCT8	21	30428126	30446118	0.3996	rs8134891	 2.17	rs2070610	 0.285299	  9.85	-0.723	429	  3	lasso	0.29663	1.03e-24	-0.5433	0.58691
