PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Spleen	./GTEx_v7/Spleen/Spleen.ENSG00000002016.12.wgt.RDat	RAD52	12	1.02e+06	1.10e+06	0.268	rs7315904	 2.52	rs10774464	 0.056718	 4.32	 1.235	406	 10	lasso	 0.11110	2.49e-05	 0.93726	0.34862
Spleen	./GTEx_v7/Spleen/Spleen.ENSG00000010292.8.wgt.RDat	NCAPD2	12	6.60e+06	6.64e+06	0.324	rs11064155	 2.75	rs917634	 0.095458	-4.85	 1.339	382	 63	enet	 0.14305	1.63e-06	 0.71498	0.47462
Spleen	./GTEx_v7/Spleen/Spleen.ENSG00000010626.10.wgt.RDat	LRRC23	12	7.01e+06	7.02e+06	0.574	rs2091781	 2.60	rs5446	 0.277254	 6.43	-1.036	199	  5	lasso	 0.26915	1.39e-11	-0.76702	0.44307
Spleen	./GTEx_v7/Spleen/Spleen.ENSG00000011105.7.wgt.RDat	TSPAN9	12	3.19e+06	3.40e+06	0.545	rs4766019	-2.81	rs10848799	 0.118145	-5.29	 1.029	564	 49	enet	 0.20313	7.69e-09	-0.91270	0.36140
Spleen	./GTEx_v7/Spleen/Spleen.ENSG00000047617.10.wgt.RDat	ANO2	12	5.64e+06	6.06e+06	0.353	rs12354	 2.52	rs6489695	 0.088319	 4.34	 0.513	580	580	blup	 0.09398	1.04e-04	 0.22107	0.82504
Spleen	./GTEx_v7/Spleen/Spleen.ENSG00000051825.10.wgt.RDat	MPHOSPH9	12	1.24e+08	1.24e+08	0.125	rs13303200	-2.64	rs12316131	 0.075315	 4.41	 0.660	350	 13	enet	 0.10382	4.58e-05	 0.54513	0.58567
Spleen	./GTEx_v7/Spleen/Spleen.ENSG00000063046.13.wgt.RDat	EIF4B	12	5.34e+07	5.34e+07	0.277	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	 0.00532	1.85e-01	      NA	     NA
Spleen	./GTEx_v7/Spleen/Spleen.ENSG00000064115.6.wgt.RDat	TM7SF3	12	2.71e+07	2.72e+07	0.457	rs4964060	-3.19	rs11048888	 0.115895	 5.04	-0.302	527	  8	lasso	 0.21381	2.86e-09	-0.11870	0.90551
Spleen	./GTEx_v7/Spleen/Spleen.ENSG00000070018.4.wgt.RDat	LRP6	12	1.23e+07	1.24e+07	0.427	rs11054848	 3.17	rs2302685	 0.078865	 4.53	-0.803	550	 31	enet	 0.11821	1.36e-05	-0.89703	0.36970
Spleen	./GTEx_v7/Spleen/Spleen.ENSG00000073060.11.wgt.RDat	SCARB1	12	1.25e+08	1.25e+08	0.333	rs870163	 3.20	rs837957	 0.012751	-3.89	-1.564	527	  6	lasso	 0.04664	5.23e-03	 2.22365	0.02617
