PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000006625.13.wgt.RDat	GGCT	7	3.05e+07	3.05e+07	0.514	rs1107353	 3.18	rs38451	-0.001979	 3.46	 1.457	454	453	blup	 0.113304	1.41e-03	 3.2561	1.13e-03
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000008277.10.wgt.RDat	ADAM22	7	8.76e+07	8.78e+07	0.407	rs2041009	 2.65	rs4148737	-0.009344	 3.37	 0.929	370	370	blup	 0.102096	2.39e-03	 0.8507	3.95e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000066923.13.wgt.RDat	STAG3	7	9.98e+07	9.98e+07	0.548	rs11768465	 2.31	rs941288	 0.177228	-4.47	-0.639	266	 15	lasso	 0.316100	4.19e-08	 0.7214	4.71e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000078319.7.wgt.RDat	PMS2P1	7	9.99e+07	9.99e+07	0.250	rs11768465	 2.31	rs2527900	 0.001434	 3.44	 0.628	296	296	blup	 0.108497	1.77e-03	 0.2892	7.72e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000078487.13.wgt.RDat	ZCWPW1	7	1.00e+08	1.00e+08	0.409	rs11768465	 2.31	rs6965458	 0.251414	 4.93	-0.342	307	307	blup	 0.212598	1.13e-05	-0.3104	7.56e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000085514.11.wgt.RDat	PILRA	7	1.00e+08	1.00e+08	0.382	rs11768465	 2.31	rs11761253	 0.298020	 5.53	-0.230	297	 39	enet	 0.372800	1.39e-09	-0.2551	7.99e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000086288.7.wgt.RDat	NME8	7	3.79e+07	3.79e+07	0.485	rs1882075	 3.60	rs2598053	 0.040026	-4.12	 1.507	590	  5	lasso	 0.111527	1.54e-03	-1.4214	1.55e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000091140.8.wgt.RDat	DLD	7	1.08e+08	1.08e+08	0.527	rs6957510	 2.39	rs7797759	-0.011692	-4.04	 0.378	499	499	blup	 0.144616	3.22e-04	-0.4080	6.83e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000105849.5.wgt.RDat	TWISTNB	7	1.97e+07	1.97e+07	0.566	rs10235691	 3.04	rs10270703	-0.003603	-3.88	 0.837	543	543	blup	 0.167471	1.07e-04	-0.1609	8.72e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000105928.9.wgt.RDat	DFNA5	7	2.47e+07	2.48e+07	0.733	rs17296878	-3.08	rs1476520	 0.354926	 5.58	-1.171	630	 17	lasso	 0.314534	4.58e-08	-0.9138	3.61e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000105976.10.wgt.RDat	MET	7	1.16e+08	1.16e+08	0.411	rs2402118	-5.00	rs38855	 0.141143	-4.78	-4.246	343	 37	enet	 0.231763	4.22e-06	 4.3800	1.19e-05
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000106153.12.wgt.RDat	CHCHD2	7	5.62e+07	5.62e+07	0.485	rs5023487	-2.64	rs6593298	 0.231526	 4.36	-2.117	267	 42	enet	 0.162645	1.35e-04	-0.9313	3.52e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000106290.10.wgt.RDat	TAF6	7	9.97e+07	9.97e+07	0.207	rs11768465	 2.31	rs4729567	 0.088063	 3.37	 0.056	273	273	blup	 0.054011	2.21e-02	-0.5112	6.09e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000106392.6.wgt.RDat	C1GALT1	7	7.20e+06	7.29e+06	0.647	rs1016028	-2.73	rs10251505	 0.189936	 4.55	-0.889	469	469	blup	 0.314864	4.50e-08	 0.2205	8.25e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000106610.10.wgt.RDat	STAG3L4	7	6.68e+07	6.68e+07	0.556	rs4718559	 2.33	rs13230948	 0.183937	-5.47	 1.063	368	  5	lasso	 0.285267	2.39e-07	-0.4758	6.34e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000121716.14.wgt.RDat	PILRB	7	9.99e+07	1.00e+08	0.700	rs11768465	 2.31	rs6965458	 0.454674	 6.53	-0.342	289	289	blup	 0.512219	7.51e-14	-0.4897	6.24e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000122574.6.wgt.RDat	WIPF3	7	2.98e+07	3.00e+07	0.536	rs17157921	-2.45	rs11975522	 0.029498	 3.52	 2.010	544	544	blup	 0.100287	2.60e-03	 1.8041	7.12e-02
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000127364.2.wgt.RDat	TAS2R4	7	1.41e+08	1.41e+08	0.410	rs10280774	-2.76	rs1285933	 0.048499	 4.69	-0.362	483	483	blup	 0.196839	2.51e-05	-0.0587	9.53e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000127399.10.wgt.RDat	LRRC61	7	1.50e+08	1.50e+08	0.470	rs7795944	 3.79	rs17837498	 0.260191	 5.33	-1.295	348	  3	lasso	 0.311810	5.36e-08	-1.4510	1.47e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000132436.7.wgt.RDat	FIGNL1	7	5.05e+07	5.05e+07	0.362	rs990358	 3.05	rs11768267	 0.168821	-4.84	-0.641	498	 12	enet	 0.250342	1.59e-06	 0.5971	5.50e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000133597.5.wgt.RDat	ADCK2	7	1.40e+08	1.40e+08	0.415	rs17161914	-3.70	rs2429208	-0.010655	 3.09	 0.814	362	362	blup	 0.147992	2.74e-04	-2.0637	3.90e-02
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000136243.12.wgt.RDat	NUPL2	7	2.32e+07	2.32e+07	0.406	rs2069849	-3.95	rs2268747	 0.293427	-5.52	-0.381	429	  4	lasso	 0.285381	2.38e-07	 0.3573	7.21e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000136270.9.wgt.RDat	TBRG4	7	4.51e+07	4.52e+07	0.406	rs2189844	-4.12	rs6967748	 0.297016	 4.92	 1.123	439	  6	lasso	 0.257809	1.07e-06	 1.1719	2.41e-01
Brain_Substantia_nigra	./GTEx_v7/Brain_Substantia_nigra/Brain_Substantia_nigra.ENSG00000146540.10.wgt.RDat	C7orf50	7	1.04e+06	1.18e+06	0.469	rs35365624	 4.09	rs12701220	 0.040098	-3.61	-0.745	406	  8	lasso	 0.018254	1.22e-01	 1.7402	8.18e-02
