PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000000457.9.wgt.RDat	SCYL3	1	1.70e+08	1.70e+08	0.2613	rs3917419	-2.604	rs12760399	 9.76e-02	-4.85	-1.0150	560	  9	lasso	 0.10313	3.07e-05	 1.49982	0.133662
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000000460.12.wgt.RDat	C1orf112	1	1.70e+08	1.70e+08	0.6320	rs3917419	-2.604	rs12760399	 4.42e-01	-8.26	-1.0150	534	 12	lasso	 0.47599	3.65e-23	 1.30531	0.191786
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000007341.14.wgt.RDat	ST7L	1	1.13e+08	1.13e+08	0.2705	rs12137578	-3.034	rs7415820	 1.13e-01	 5.06	-1.3180	332	  7	lasso	 0.06759	6.86e-04	-1.35194	0.176395
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000008130.11.wgt.RDat	NADK	1	1.68e+06	1.71e+06	0.4648	NA	    NA	NA	       NA	   NA	     NA	289	  0	enet	 0.14250	8.99e-07	      NA	      NA
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000010165.15.wgt.RDat	METTL13	1	1.72e+08	1.72e+08	0.2928	rs235913	 2.348	rs6681322	 1.47e-01	-5.49	-0.6720	480	  4	lasso	 0.14052	1.08e-06	 0.38902	0.697260
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000011021.17.wgt.RDat	CLCN6	1	1.19e+07	1.19e+07	0.3585	rs2639453	 3.386	rs17037397	 9.66e-02	 4.70	-1.9270	482	  8	lasso	 0.14995	4.55e-07	-0.62023	0.535110
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000023902.9.wgt.RDat	PLEKHO1	1	1.50e+08	1.50e+08	0.3113	rs7543465	 3.256	rs973374	 1.96e-01	 5.55	 0.5510	201	  8	lasso	 0.21292	1.16e-09	 1.02935	0.303317
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000037637.6.wgt.RDat	FBXO42	1	1.66e+07	1.67e+07	0.2611	rs11801060	-2.474	rs964042	 1.45e-01	-5.23	 0.6960	272	 15	enet	 0.14173	9.66e-07	-0.95660	0.338767
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000040487.8.wgt.RDat	PQLC2	1	1.96e+07	1.97e+07	0.2996	rs12407355	-2.947	rs214327	 1.12e-02	-4.25	-2.5210	487	  7	lasso	 0.10909	1.81e-05	 2.24978	0.024463
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000043514.11.wgt.RDat	TRIT1	1	4.03e+07	4.03e+07	0.4224	rs12745951	-3.211	rs2050172	 1.46e-01	 5.29	-3.0890	394	 17	enet	 0.20033	3.97e-09	-3.24064	0.001193
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000049239.8.wgt.RDat	H6PD	1	9.29e+06	9.33e+06	0.7456	rs2027222	 3.310	rs9435151	 3.95e-01	-8.02	 1.3860	433	 33	enet	 0.47333	5.36e-23	-1.00392	0.315419
Brain_Cerebellum	./GTEx_v7/Brain_Cerebellum/Brain_Cerebellum.ENSG00000049247.9.wgt.RDat	UTS2	1	7.91e+06	7.91e+06	0.2572	rs11120954	-3.260	rs10462018	 1.49e-01	 5.20	-0.9850	445	  4	lasso	 0.14727	5.82e-07	-0.95411	0.340029
