PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000005801.12.wgt.RDat	ZNF195	11	3.36e+06	3.40e+06	0.4010	rs11026080	 2.93	rs6578341	 2.01e-01	 -5.65	 0.612	412	  9	lasso	0.149488	3.69e-07	-0.8646	3.87e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000006534.11.wgt.RDat	ALDH3B1	11	6.78e+07	6.78e+07	0.5354	rs12296049	 2.96	rs581105	 3.01e-01	 -7.41	-0.637	276	 17	enet	0.255617	1.01e-11	 0.7305	4.65e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000006611.11.wgt.RDat	USH1C	11	1.75e+07	1.76e+07	0.3019	rs11024342	 2.75	rs878545	 2.03e-01	  5.90	 0.658	503	  1	lasso	0.186088	1.13e-08	 0.6580	5.11e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000020922.8.wgt.RDat	MRE11A	11	9.42e+07	9.42e+07	0.3518	rs13447749	 3.07	rs535801	 2.83e-01	  7.43	 0.381	439	  3	lasso	0.298771	9.44e-14	 0.2881	7.73e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000021300.9.wgt.RDat	PLEKHB1	11	7.34e+07	7.34e+07	0.1716	rs1791926	 3.00	rs11235907	 4.24e-02	  4.24	 2.245	345	  4	lasso	0.040485	6.75e-03	 2.0596	3.94e-02
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000023445.9.wgt.RDat	BIRC3	11	1.02e+08	1.02e+08	0.2954	rs2245897	 3.27	rs7938790	 1.34e-01	  5.03	-0.115	496	  2	lasso	0.083870	1.45e-04	-0.0882	9.30e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000036672.11.wgt.RDat	USP2	11	1.19e+08	1.19e+08	0.1475	rs4938717	 3.12	rs576945	 2.76e-03	  3.62	-0.939	423	 30	enet	0.056079	1.70e-03	-0.3057	7.60e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000075239.9.wgt.RDat	ACAT1	11	1.08e+08	1.08e+08	0.3493	rs920679	 2.21	rs12577790	 1.25e-02	 -4.50	-2.080	366	366	blup	0.149558	3.67e-07	 1.2627	2.07e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000077616.6.wgt.RDat	NAALAD2	11	8.99e+07	8.99e+07	0.4062	rs562085	-2.75	rs10741322	 2.86e-01	  6.87	-0.646	260	  3	lasso	0.262024	5.13e-12	-0.6277	5.30e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000080854.10.wgt.RDat	IGSF9B	11	1.34e+08	1.34e+08	0.4166	rs7928003	-2.61	rs502834	 1.14e-01	  5.40	-0.543	538	  7	lasso	0.155195	2.16e-07	-0.5018	6.16e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000084207.11.wgt.RDat	GSTP1	11	6.74e+07	6.74e+07	0.1841	rs11227871	 2.19	rs7941395	 1.56e-01	 -5.12	-1.159	259	  6	lasso	0.131493	1.96e-06	 1.2659	2.06e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000085741.8.wgt.RDat	WNT11	11	7.59e+07	7.59e+07	0.3907	rs10160346	 3.29	rs7938584	-3.78e-03	  3.39	-2.120	450	450	blup	0.060998	1.10e-03	-2.2483	2.46e-02
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000087053.14.wgt.RDat	MTMR2	11	9.56e+07	9.57e+07	0.2494	rs483884	-3.62	rs1727149	-6.23e-03	 -3.45	-1.136	604	604	blup	0.042862	5.47e-03	 0.3879	6.98e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000087365.10.wgt.RDat	SF3B2	11	6.58e+07	6.58e+07	0.6014	rs531784	-2.83	rs2452680	 3.25e-01	 -7.41	 1.098	358	  5	lasso	0.358618	9.00e-17	-1.2739	2.03e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000087884.10.wgt.RDat	AAMDC	11	7.75e+07	7.76e+07	0.1162	rs621456	 2.94	rs11512969	 8.78e-03	  3.42	-1.682	353	  6	lasso	0.019797	4.38e-02	-0.7315	4.64e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000109851.5.wgt.RDat	DBX1	11	2.02e+07	2.02e+07	0.3123	rs10833202	-4.59	rs4757040	 5.55e-02	  4.35	-1.561	700	  7	lasso	0.069868	5.01e-04	-1.4810	1.39e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000110002.11.wgt.RDat	VWA5A	11	1.24e+08	1.24e+08	0.3232	rs677501	-3.04	rs621567	 2.55e-01	  7.23	 0.264	600	 17	enet	0.295577	1.35e-13	 0.4008	6.89e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000110011.9.wgt.RDat	DNAJC4	11	6.40e+07	6.40e+07	0.1537	rs562661	 2.61	rs641430	 4.25e-02	 -3.95	-0.996	342	  5	lasso	0.061176	1.08e-03	 0.5769	5.64e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000110042.3.wgt.RDat	DTX4	11	5.89e+07	5.90e+07	0.2058	rs12791616	-2.44	rs656163	 8.34e-02	  4.60	 0.503	335	 36	enet	0.141307	7.91e-07	-0.7869	4.31e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000110063.4.wgt.RDat	DCPS	11	1.26e+08	1.26e+08	0.2385	rs12574844	-3.02	rs624259	 2.53e-03	  3.64	-0.455	664	 12	enet	0.058711	1.34e-03	-0.2733	7.85e-01
Pituitary	./GTEx_v7/Pituitary/Pituitary.ENSG00000110074.6.wgt.RDat	FOXRED1	11	1.26e+08	1.26e+08	0.3720	rs12574844	-3.02	rs625413	 1.99e-01	 -6.62	-1.051	651	 21	enet	0.177231	2.66e-08	 0.9551	3.40e-01
