PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Liver	./GTEx_v7/Liver/Liver.ENSG00000000460.12.wgt.RDat	C1orf112	1	1.70e+08	1.70e+08	0.3251	rs3917419	-2.604	rs1800016	 0.242452	  6.26	-0.262	535	 34	enet	 0.237427	1.17e-10	-0.5087	0.6110
Liver	./GTEx_v7/Liver/Liver.ENSG00000001461.12.wgt.RDat	NIPAL3	1	2.47e+07	2.48e+07	0.1937	rs196426	-2.531	rs2294524	 0.042937	 -4.44	 1.481	421	 10	enet	 0.026912	2.43e-02	-1.2515	0.2108
Liver	./GTEx_v7/Liver/Liver.ENSG00000007341.14.wgt.RDat	ST7L	1	1.13e+08	1.13e+08	0.2364	rs11102479	-2.272	rs10745330	 0.121933	  5.16	-1.541	331	331	blup	 0.095716	6.22e-05	-1.4581	0.1448
Liver	./GTEx_v7/Liver/Liver.ENSG00000007908.11.wgt.RDat	SELE	1	1.70e+08	1.70e+08	0.3547	rs3917419	-2.604	rs1800016	 0.230155	  6.72	-0.262	549	549	blup	 0.284411	9.10e-13	 0.1886	0.8504
Liver	./GTEx_v7/Liver/Liver.ENSG00000009724.12.wgt.RDat	MASP2	1	1.11e+07	1.11e+07	0.2644	rs284262	 3.165	rs2273344	 0.208229	 -5.82	-1.285	376	  2	lasso	 0.187336	1.54e-08	 1.2861	0.1984
Liver	./GTEx_v7/Liver/Liver.ENSG00000010932.11.wgt.RDat	FMO1	1	1.71e+08	1.71e+08	0.2442	rs2038111	-2.570	rs1963273	 0.183268	  5.64	 0.842	559	  3	lasso	 0.169086	8.51e-08	 0.7779	0.4366
Liver	./GTEx_v7/Liver/Liver.ENSG00000011021.17.wgt.RDat	CLCN6	1	1.19e+07	1.19e+07	0.1754	rs2639453	 3.386	rs17037425	 0.007313	  3.75	-1.470	482	481	blup	 0.021515	3.94e-02	-0.0487	0.9611
Liver	./GTEx_v7/Liver/Liver.ENSG00000033122.14.wgt.RDat	LRRC7	1	7.00e+07	7.06e+07	0.1829	rs17395412	-2.472	rs1926258	 0.003444	 -3.17	-1.757	369	369	blup	 0.025559	2.74e-02	 1.0191	0.3082
Liver	./GTEx_v7/Liver/Liver.ENSG00000040487.8.wgt.RDat	PQLC2	1	1.96e+07	1.97e+07	0.1863	rs12407355	-2.947	rs12118471	 0.092340	  4.97	 0.793	487	 12	enet	 0.111112	1.61e-05	 0.8033	0.4218
Liver	./GTEx_v7/Liver/Liver.ENSG00000041988.11.wgt.RDat	THAP3	1	6.68e+06	6.69e+06	0.2657	rs12065191	-2.732	rs14057	 0.027523	 -4.04	 0.108	439	439	blup	 0.069356	6.12e-04	-1.3219	0.1862
Liver	./GTEx_v7/Liver/Liver.ENSG00000043514.11.wgt.RDat	TRIT1	1	4.03e+07	4.03e+07	0.2680	rs12745951	-3.211	rs12123609	 0.052194	 -4.74	-0.686	394	 35	enet	 0.103664	3.10e-05	 0.4413	0.6590
Liver	./GTEx_v7/Liver/Liver.ENSG00000044012.3.wgt.RDat	GUCA2B	1	4.26e+07	4.26e+07	0.1618	rs3754283	 2.332	rs583077	 0.055745	  4.04	 0.722	355	 17	enet	 0.084476	1.65e-04	 1.0246	0.3055
Liver	./GTEx_v7/Liver/Liver.ENSG00000049089.9.wgt.RDat	COL9A2	1	4.08e+07	4.08e+07	0.1845	rs3117088	-3.161	rs7512061	-0.000716	  3.66	 0.387	421	 18	enet	 0.046683	4.33e-03	 0.0982	0.9218
Liver	./GTEx_v7/Liver/Liver.ENSG00000054523.12.wgt.RDat	KIF1B	1	1.03e+07	1.04e+07	0.1351	rs284262	 3.165	rs4348727	 0.020890	  3.95	 0.755	352	352	blup	 0.051045	2.97e-03	 0.8730	0.3826
Liver	./GTEx_v7/Liver/Liver.ENSG00000058453.12.wgt.RDat	CROCC	1	1.71e+07	1.73e+07	0.1947	rs12043435	-2.358	rs6691985	 0.203288	  5.74	 0.290	279	  3	lasso	 0.135069	1.91e-06	 0.3451	0.7300
Liver	./GTEx_v7/Liver/Liver.ENSG00000067208.10.wgt.RDat	EVI5	1	9.30e+07	9.33e+07	0.1222	rs12757307	-1.712	rs7540564	 0.044083	  4.32	-0.199	273	273	blup	 0.045730	4.70e-03	-0.5395	0.5895
Liver	./GTEx_v7/Liver/Liver.ENSG00000076258.5.wgt.RDat	FMO4	1	1.71e+08	1.71e+08	0.6546	rs2038111	-2.570	rs12737633	 0.394153	  7.91	 0.887	599	  7	lasso	 0.396595	2.17e-18	 0.7611	0.4466
Liver	./GTEx_v7/Liver/Liver.ENSG00000077549.13.wgt.RDat	CAPZB	1	1.97e+07	1.98e+07	0.3196	rs12407355	-2.947	rs214346	 0.053435	 -4.43	 0.177	531	531	blup	 0.109829	1.80e-05	-0.6519	0.5145
Liver	./GTEx_v7/Liver/Liver.ENSG00000078618.15.wgt.RDat	NRD1	1	5.23e+07	5.23e+07	0.3233	rs7533508	-3.419	rs12067434	 0.154996	  4.95	-1.004	207	  4	lasso	 0.150117	4.88e-07	 0.0801	0.9361
Liver	./GTEx_v7/Liver/Liver.ENSG00000079277.15.wgt.RDat	MKNK1	1	4.70e+07	4.71e+07	0.3017	rs2486445	-2.993	rs3766231	 0.109221	  4.54	-1.157	357	  6	lasso	 0.091153	9.26e-05	-0.7500	0.4533
