ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	meanTwasZscore
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit [Source:HGNC Symbol;Acc:3005]	protein_coding	20	49551404	49575092	-0.627593333333333
ENSG00000000457	SCYL3	SCY1-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:19285]	protein_coding	1	169818772	169863408	-1.60230926086957
ENSG00000000460	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:25565]	protein_coding	1	169631245	169823221	-0.695012571428571
ENSG00000000938	FGR	feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697]	protein_coding	1	27938575	27961788	-1.32485333333333
ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:4883]	protein_coding	1	196621008	196716634	2.31403591666667
ENSG00000001036	FUCA2	fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:4008]	protein_coding	6	143815948	143832827	-0.336414
ENSG00000001084	GCLC	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]	protein_coding	6	53362139	53409927	0.065804
ENSG00000001167	NFYA	nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:7804]	protein_coding	6	41040684	41067715	-0.543414206896552
ENSG00000001460	STPG1	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]	protein_coding	1	24683489	24743424	-0.185709666666667
ENSG00000001461	NIPAL3	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]	protein_coding	1	24745781	24799466	0.0735167333333333
ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:3359]	protein_coding	6	46097730	46114436	-0.3475915
ENSG00000001617	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]	protein_coding	3	50192478	50226508	-0.213354833333333
ENSG00000001626	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]	protein_coding	7	117105838	117356025	0.600757333333333
ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:22215]	protein_coding	7	91875548	92030698	0.057133
ENSG00000001630	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2649]	protein_coding	7	91741465	91772266	0.4145075
ENSG00000001631	KRIT1	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:1573]	protein_coding	7	91828283	91875480	-0.8588815
ENSG00000002016	RAD52	RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9824]	protein_coding	12	1021243	1099219	-0.393614432432432
ENSG00000002330	BAD	BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:936]	protein_coding	11	64037302	64052141	0.796852333333333
ENSG00000002549	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]	protein_coding	4	17578815	17609595	-0.821501111111111
ENSG00000002587	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	protein_coding	4	11394774	11431389	-0.146374285714286
ENSG00000002726	AOC1	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:80]	protein_coding	7	150521715	150558592	0.0549758888888889
ENSG00000002745	WNT16	wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:16267]	protein_coding	7	120965421	120981158	0.527118666666667
ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:22195]	protein_coding	7	43152198	43605600	-0.089315
ENSG00000002822	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:6762]	protein_coding	7	1855429	2272878	0.0786614285714285
ENSG00000002834	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:6513]	protein_coding	17	37026112	37078023	0.7143
ENSG00000002919	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:14975]	protein_coding	17	46180719	46200436	-1.953876125
ENSG00000002933	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]	protein_coding	7	150497622	150502208	-0.5802045
ENSG00000003137	CYP26B1	cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:20581]	protein_coding	2	72356367	72375167	-0.2054255
ENSG00000003147	ICA1	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]	protein_coding	7	8152814	8302209	0.214937
ENSG00000003249	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]	protein_coding	16	90071273	90086451	-0.99404525
ENSG00000003393	ALS2	amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:443]	protein_coding	2	202565277	202645912	-0.0366158
ENSG00000003400	CASP10	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	protein_coding	2	202047604	202094129	-0.23199375
ENSG00000003402	CFLAR	CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:1876]	protein_coding	2	201980827	202041410	0.106751333333333
ENSG00000003436	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]	protein_coding	2	188328957	188430487	0.1915204
ENSG00000003509	NDUFAF7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:28816]	protein_coding	2	37458857	37480546	-0.862697625
ENSG00000003756	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]	protein_coding	3	50126341	50156454	0.181377
ENSG00000003987	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:7454]	protein_coding	8	17155539	17270836	-1.0115848
ENSG00000003989	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]	protein_coding	8	17354597	17428082	0.024250625
ENSG00000004059	ARF5	ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658]	protein_coding	7	127228399	127231462	-0.3788272
ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]	protein_coding	17	26692138	26728065	0.299832857142857
ENSG00000004142	POLDIP2	polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:23781]	protein_coding	17	26674036	26684545	0.0714773333333333
ENSG00000004399	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:9107]	protein_coding	3	129274018	129325661	1.663910125
ENSG00000004455	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:362]	protein_coding	1	33473585	33546597	0.122042625
ENSG00000004468	CD38	CD38 molecule [Source:HGNC Symbol;Acc:1667]	protein_coding	4	15779898	15854853	-1.17502538888889
ENSG00000004487	KDM1A	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]	protein_coding	1	23345941	23410182	0.235133333333333
ENSG00000004534	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]	protein_coding	3	49977440	50114683	0.193704520833333
ENSG00000004660	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]	protein_coding	17	3763609	3796338	0.05100575
ENSG00000004700	RECQL	RecQ protein-like (DNA helicase Q1-like) [Source:HGNC Symbol;Acc:9948]	protein_coding	12	21623903	21654603	-0.908526266666667
ENSG00000004766	CCDC132	coiled-coil domain containing 132 [Source:HGNC Symbol;Acc:25956]	protein_coding	7	92861653	92988338	0.340024333333333
ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:23085]	protein_coding	19	36265434	36279724	0.925090684210526
