PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000000457.9.wgt.RDat	SCYL3	1	1.70e+08	1.70e+08	0.326	rs3917419	-2.604	rs6683782	 2.49e-01	-5.80	-1.992	560	  6	lasso	0.222025	2.00e-08	 2.023654	4.30e-02
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000000460.12.wgt.RDat	C1orf112	1	1.70e+08	1.70e+08	0.441	rs3917419	-2.604	rs12760399	 2.50e-01	-5.67	-1.015	534	  9	lasso	0.290140	6.60e-11	 0.457499	6.47e-01
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000007341.14.wgt.RDat	ST7L	1	1.13e+08	1.13e+08	0.134	rs12137578	-3.034	rs7544663	 5.97e-02	 3.86	-1.382	332	  8	enet	0.067931	2.01e-03	-1.908870	5.63e-02
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000007933.8.wgt.RDat	FMO3	1	1.71e+08	1.71e+08	0.202	rs2038111	-2.570	rs2421707	 5.23e-02	-4.14	-1.689	531	  4	lasso	0.138900	1.20e-05	 2.010776	4.43e-02
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000008130.11.wgt.RDat	NADK	1	1.68e+06	1.71e+06	0.220	rs13303016	 2.529	rs1014988	 2.19e-01	-5.45	-1.008	289	  1	lasso	0.197835	1.36e-07	 1.008339	3.13e-01
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000009790.10.wgt.RDat	TRAF3IP3	1	2.10e+08	2.10e+08	0.317	rs11119445	 2.873	rs7548781	 1.58e-01	-4.83	 1.640	513	 11	lasso	0.096587	2.61e-04	-1.751595	7.98e-02
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000010165.15.wgt.RDat	METTL13	1	1.72e+08	1.72e+08	0.298	rs235913	 2.348	rs17596081	 1.13e-01	-4.73	-0.740	480	480	blup	0.086346	5.42e-04	-0.561003	5.75e-01
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000011021.17.wgt.RDat	CLCN6	1	1.19e+07	1.19e+07	0.276	rs2639453	 3.386	rs198405	 1.91e-02	-4.10	-1.061	482	 11	lasso	0.019295	6.68e-02	 1.018635	3.08e-01
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000037637.6.wgt.RDat	FBXO42	1	1.66e+07	1.67e+07	0.227	NA	    NA	NA	       NA	   NA	    NA	272	  0	lasso	0.163398	1.92e-06	       NA	      NA
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000040487.8.wgt.RDat	PQLC2	1	1.96e+07	1.97e+07	0.217	rs12407355	-2.947	rs12091047	 1.73e-02	-3.77	-1.878	487	487	blup	0.079706	8.71e-04	 2.142066	3.22e-02
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000043514.11.wgt.RDat	TRIT1	1	4.03e+07	4.03e+07	0.338	rs12745951	-3.211	rs2050172	 1.79e-01	 5.08	-3.089	394	 46	enet	0.185772	3.48e-07	-3.921725	8.79e-05
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000049239.8.wgt.RDat	H6PD	1	9.29e+06	9.33e+06	0.624	rs2027222	 3.310	rs2268175	 3.18e-01	-6.38	 1.601	433	  9	lasso	0.233333	7.99e-09	-1.402499	1.61e-01
Brain_Cerebellar_Hemisphere	./GTEx_v7/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.ENSG00000049247.9.wgt.RDat	UTS2	1	7.91e+06	7.91e+06	0.381	rs11120954	-3.260	rs4908694	 9.40e-02	 5.17	-1.027	445	  7	lasso	0.138797	1.21e-05	-0.417152	6.77e-01
