PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Nucleus_accumbens_basal_ganglia	./GTEx_v7/Brain_Nucleus_accumbens_basal_ganglia/Brain_Nucleus_accumbens_basal_ganglia.ENSG00000041357.11.wgt.RDat	PSMA4	15	7.88e+07	7.88e+07	0.204	rs2011323	-2.65	rs8053	 0.169264	-5.06	-0.398	426	  4	lasso	0.16380	1.17e-06	 0.25216	0.8009
Brain_Nucleus_accumbens_basal_ganglia	./GTEx_v7/Brain_Nucleus_accumbens_basal_ganglia/Brain_Nucleus_accumbens_basal_ganglia.ENSG00000069974.11.wgt.RDat	RAB27A	15	5.55e+07	5.56e+07	0.432	rs11858505	 3.68	rs8024695	 0.258098	 6.20	 0.978	447	 12	enet	0.28217	5.66e-11	 0.62989	0.5288
Brain_Nucleus_accumbens_basal_ganglia	./GTEx_v7/Brain_Nucleus_accumbens_basal_ganglia/Brain_Nucleus_accumbens_basal_ganglia.ENSG00000074603.14.wgt.RDat	DPP8	15	6.57e+07	6.58e+07	0.154	rs4776661	 3.25	rs17810074	 0.003659	 3.65	-1.181	318	318	blup	0.06202	2.57e-03	 0.06110	0.9513
Brain_Nucleus_accumbens_basal_ganglia	./GTEx_v7/Brain_Nucleus_accumbens_basal_ganglia/Brain_Nucleus_accumbens_basal_ganglia.ENSG00000075131.5.wgt.RDat	TIPIN	15	6.66e+07	6.67e+07	0.556	rs2439430	-3.03	rs12914520	 0.382281	 7.07	 0.592	520	 54	enet	0.42209	4.91e-17	 1.29677	0.1947
Brain_Nucleus_accumbens_basal_ganglia	./GTEx_v7/Brain_Nucleus_accumbens_basal_ganglia/Brain_Nucleus_accumbens_basal_ganglia.ENSG00000080644.11.wgt.RDat	CHRNA3	15	7.89e+07	7.89e+07	0.356	rs9920103	-2.55	rs660652	 0.338651	 7.10	-0.679	424	  6	lasso	0.36613	1.86e-14	-0.97434	0.3299
Brain_Nucleus_accumbens_basal_ganglia	./GTEx_v7/Brain_Nucleus_accumbens_basal_ganglia/Brain_Nucleus_accumbens_basal_ganglia.ENSG00000090487.6.wgt.RDat	SPG21	15	6.53e+07	6.53e+07	0.462	rs4776661	 3.25	rs4128936	 0.134087	-5.70	-2.667	304	 13	enet	0.14786	4.06e-06	 2.96816	0.0030
Brain_Nucleus_accumbens_basal_ganglia	./GTEx_v7/Brain_Nucleus_accumbens_basal_ganglia/Brain_Nucleus_accumbens_basal_ganglia.ENSG00000103671.5.wgt.RDat	TRIP4	15	6.47e+07	6.47e+07	0.264	rs17208301	 2.64	rs673931	 0.124637	 4.29	 0.879	289	  2	lasso	0.10239	1.29e-04	 0.88550	0.3759
Brain_Nucleus_accumbens_basal_ganglia	./GTEx_v7/Brain_Nucleus_accumbens_basal_ganglia/Brain_Nucleus_accumbens_basal_ganglia.ENSG00000103710.6.wgt.RDat	RASL12	15	6.53e+07	6.54e+07	0.190	rs4776661	 3.25	rs11633431	 0.011867	-3.27	-2.049	309	309	blup	0.02743	3.37e-02	-0.60521	0.5450
Brain_Nucleus_accumbens_basal_ganglia	./GTEx_v7/Brain_Nucleus_accumbens_basal_ganglia/Brain_Nucleus_accumbens_basal_ganglia.ENSG00000103852.8.wgt.RDat	TTC23	15	9.97e+07	9.98e+07	0.185	rs4965250	 3.22	rs8026991	 0.075833	-4.69	 0.302	545	  3	lasso	0.06400	2.22e-03	-0.32546	0.7448
Brain_Nucleus_accumbens_basal_ganglia	./GTEx_v7/Brain_Nucleus_accumbens_basal_ganglia/Brain_Nucleus_accumbens_basal_ganglia.ENSG00000103932.7.wgt.RDat	RPAP1	15	4.18e+07	4.18e+07	0.467	rs12439488	 2.77	rs1200345	 0.224953	 5.71	 1.225	364	  4	lasso	0.16546	1.03e-06	 1.15022	0.2501
