PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000002016.12.wgt.RDat	RAD52	12	1.02e+06	1.10e+06	0.2717	rs7315904	 2.52	rs12816367	 0.20164	 -6.45	-0.619	406	  4	lasso	 0.193124	3.62e-11	 0.49341	0.621724
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000010219.9.wgt.RDat	DYRK4	12	4.67e+06	4.72e+06	0.2268	rs4765785	 3.32	rs7316317	 0.03144	 -5.04	 2.316	656	  1	lasso	 0.052033	6.40e-04	-2.31600	0.020558
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000010626.10.wgt.RDat	LRRC23	12	7.01e+06	7.02e+06	0.5326	rs2091781	 2.60	rs5446	 0.18046	  6.27	-1.036	200	  4	lasso	 0.162925	1.55e-09	-0.94859	0.342831
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000013573.12.wgt.RDat	DDX11	12	3.12e+07	3.13e+07	0.8985	rs256722	-3.63	rs6487966	 0.74782	-12.27	-0.696	457	 19	enet	 0.756048	2.11e-63	 0.67904	0.497114
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000013583.4.wgt.RDat	HEBP1	12	1.31e+07	1.32e+07	0.3919	rs11611201	 3.42	rs3782567	 0.23352	  6.94	 1.003	608	  8	lasso	 0.192390	3.98e-11	 1.10152	0.270670
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000047617.10.wgt.RDat	ANO2	12	5.64e+06	6.06e+06	0.1848	rs12354	 2.52	rs933407	 0.09463	 -4.76	 1.440	581	  2	lasso	 0.065130	1.45e-04	-1.14097	0.253882
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000051825.10.wgt.RDat	MPHOSPH9	12	1.24e+08	1.24e+08	0.0754	rs34351395	-2.64	rs7309225	 0.01822	 -3.84	 0.232	351	351	blup	 0.020267	2.42e-02	 0.31305	0.754244
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000057704.6.wgt.RDat	TMCC3	12	9.50e+07	9.50e+07	0.2677	rs12316136	-3.61	rs10507046	 0.03697	  4.83	-0.677	629	629	blup	 0.102030	2.14e-06	-0.68173	0.495408
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000060138.8.wgt.RDat	YBX3	12	1.09e+07	1.09e+07	0.2603	rs7970821	 2.46	rs33018	 0.03366	  4.36	-0.113	405	  6	lasso	 0.031484	6.61e-03	-0.63123	0.527887
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000063046.13.wgt.RDat	EIF4B	12	5.34e+07	5.34e+07	0.3077	rs12821902	-2.64	rs7306523	 0.09297	  5.21	 1.649	596	 38	enet	 0.109827	8.66e-07	 1.14866	0.250694
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000064115.6.wgt.RDat	TM7SF3	12	2.71e+07	2.72e+07	0.4360	rs4964060	-3.19	rs11048888	 0.07849	  5.95	-0.302	527	 21	enet	 0.271443	1.14e-15	 0.50503	0.613541
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000067715.9.wgt.RDat	SYT1	12	7.93e+07	7.98e+07	0.3073	rs1521372	-2.25	rs10778256	 0.09102	 -4.86	 0.027	344	  7	lasso	 0.089074	9.51e-06	-0.29531	0.767756
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000075035.5.wgt.RDat	WSCD2	12	1.09e+08	1.09e+08	0.1600	rs4567519	-3.20	rs1426354	 0.01094	  4.42	-0.260	514	514	blup	 0.045522	1.34e-03	-0.69434	0.487470
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000079337.11.wgt.RDat	RAPGEF3	12	4.81e+07	4.82e+07	0.1655	rs10875660	-2.40	rs12422983	 0.17109	  5.98	-0.599	540	  2	lasso	 0.158139	2.77e-09	-0.59249	0.553522
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000089693.6.wgt.RDat	MLF2	12	6.86e+06	6.88e+06	0.1970	rs2091781	 2.60	rs3741917	-0.00285	 -3.16	 0.696	258	  5	lasso	-0.004369	7.23e-01	 0.01369	0.989080
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000090382.2.wgt.RDat	LYZ	12	6.97e+07	6.97e+07	0.2518	rs12310098	 3.63	rs6581889	 0.12275	 -5.78	-0.750	536	536	blup	 0.150414	7.07e-09	 0.00834	0.993342
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000110871.10.wgt.RDat	COQ5	12	1.21e+08	1.21e+08	0.6290	rs1169286	 3.84	rs2235218	 0.43970	  9.61	-1.022	408	 23	enet	 0.448392	7.37e-28	-0.87937	0.379201
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000110888.13.wgt.RDat	CAPRIN2	12	3.09e+07	3.09e+07	0.2077	rs256722	-3.63	rs11613738	 0.03355	 -4.91	-0.559	560	 24	enet	 0.152114	5.76e-09	-0.52809	0.597437
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000110906.8.wgt.RDat	KCTD10	12	1.10e+08	1.10e+08	0.4473	rs12823540	 4.12	rs754179	 0.12254	 -6.26	 0.940	428	 44	enet	 0.194540	3.03e-11	-1.06554	0.286633
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000110925.2.wgt.RDat	CSRNP2	12	5.15e+07	5.15e+07	0.0912	rs11169578	-3.44	rs10099	 0.09866	  4.68	-1.504	392	  4	lasso	 0.080576	2.51e-05	-1.62873	0.103369
Colon_Sigmoid	./GTEx_v7/Colon_Sigmoid/Colon_Sigmoid.ENSG00000111058.3.wgt.RDat	ACSS3	12	8.14e+07	8.17e+07	0.1166	rs7959600	 2.82	rs11114787	 0.02945	 -3.87	 0.279	402	402	blup	 0.040930	2.25e-03	-1.24046	0.214805
