ENSGID	GENE	CHR	STRAND	START	END	DESCRIPTION	GENE_BIOTYPE	MPP-001	MPP-003	MPP-004	MPP-006	MPP-008	MPP-009	MPP-012	MPP-013	MPP-015	MPP-016	MPP-018	MPP-020	MPP-021	MPP-024	MPP-025	MPP-027	MPP-029	MPP-030	MPP-031	MPP-033	MPP-034	MPP-036	MPP-037	MPP-038	MPP-039	MPP-040	MPP-041	MPP-042	MPP-043	MPP-047	MPP-048	MPP-049	MPP-050	MPP-051	MPP-054	MPP-055	MPP-057	MPP-058	MPP-060	MPP-061	MPP-062	MPP-064	MPP-065	MPP-067	MPP-069	MPP-071	MPP-073	MPP-075	MPP-076	MPP-079	MPP-080	MPP-082	MPP-084	MPP-085	MPP-088	MPP-090	MPP-092	MPP-093	MPP-094	MPP-095	MPP-096	MPP-097	MPP-098	MPP-099	MPP-101	MPP-102	MPP-104	MPP-105	MPP-107	MPP-108	MPP-110	MPP-112	MPP-113	MPP-114	MPP-116	MPP-119	MPP-120	MPP-121	MPP-122	MPP-123	MPP-125	MPP-126	MPP-128	MPP-129	MPP-130	MPP-131	MPP-132	MPP-134	MPP-135	MPP-136	MPP-137	MPP-138	MPP-139	MPP-141	MPP-142	MPP-143	MPP-145	MPP-146	MPP-147	MPP-148	MPP-151	MPP-153	MPP-154	MPP-155	MPP-156	MPP-157	MPP-158	MPP-159	MPP-160	MPP-162	MPP-163	MPP-165	MPP-166	MPP-169REP	MPP-170	MPP-171	MPP-172	MPP-173	MPP-174	MPP-177	MPP-178	MPP-180	MPP-182	MPP-183	MPP-184	MPP-185	MPP-188	MPP-189	MPP-190	MPP-192	MPP-193	MPP-194	MPP-196	MPP-197
ENSG00000010704.18	HFE	6	+	26087281	26098343	hemochromatosis [Source:HGNC Symbol;Acc:HGNC:4886]	protein_coding	1.822954	2.900597	2.545123	1.181856	2.397281	1.747493	3.295076	2.576242	2.912741	1.146396	2.203933	1.982723	3.425646	3.216222	2.978957	2.062413	3.066111	0.579264	2.095571	2.119981	2.262353	1.891251	2.088469	2.598542	2.540944	2.121022	1.928133	2.147845	1.897095	2.567044	3.500867	2.745014	1.938736	1.298618	2.827413	2.294696	2.881440	3.334608	2.498010	3.422173	2.773478	3.144415	2.456693	3.324608	2.135683	2.758849	1.874472	2.269019	2.020526	3.218057	2.642938	2.790542	2.370681	2.457817	2.688373	2.932123	1.893803	3.265130	1.370025	2.831228	2.752459	2.113316	2.833462	3.331569	2.181847	3.296570	2.308607	1.300660	2.486927	3.038433	1.008595	2.717027	1.842115	1.436076	2.383531	2.181752	1.156689	2.909526	2.942824	3.359519	3.439863	2.836665	2.166252	1.789473	3.115208	3.513047	2.058715	2.738133	3.487304	2.709481	2.663858	1.942611	3.896301	1.842197	3.483222	2.677089	2.417110	2.102208	4.266596	3.322884	3.367535	1.757880	3.409717	1.546447	2.860773	1.306971	2.669125	1.494586	3.081154	2.590848	3.811465	3.709857	1.257692	2.444044	2.327297	3.673538	2.852268	3.606855	3.447849	2.290418	2.521891	2.327512	3.080147	2.761717	3.473076	2.487061	2.953441	1.784899	1.418602	1.754534	2.264906	3.703900	2.048238	3.045709
ENSG00000206503.12	HLA-A	6	+	29941260	29945884	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	protein_coding	574.70571	570.664511	1072.44546	1509.876317	525.452787	1611.988321	501.000032	1418.955118	579.733931	1330.069107	726.189843	899.544315	507.112076	592.319561	393.36582	1429.769458	887.344442	1511.399196	1135.044216	446.778399	764.547156	471.098541	992.32838	848.472367	451.038561	547.110116	811.347237	1029.050556	633.564199	1046.612233	701.204891	1061.423015	1011.429061	782.551775	947.79905	2086.805843	1167.069285	596.826292	352.730523	1151.736301	1023.252331	671.522153	1033.544698	1107.550683	1046.169955	1415.219538	769.609179	583.980714	1128.997149	1053.963496	913.343007	878.152192	529.658628	745.552402	1074.239219	872.230519	786.976466	500.465643	769.714621	669.18644	573.807216	1427.172471	560.069088	864.309619	652.199026	733.993319	919.567913	859.342119	781.50039	305.106125	375.943362	905.627892	303.30025	1183.795851	846.070701	794.81914	749.171248	851.968204	598.917241	689.240819	628.574626	1513.781207	842.219078	547.704383	1105.236263	608.222949	445.239234	644.705627	347.540259	926.324519	806.06119	959.096035	357.676927	2193.001747	659.652893	576.212041	580.263635	1006.621635	797.162278	1047.509059	553.287052	657.968027	711.360131	656.634031	581.877894	804.450827	734.648867	336.287671	771.184902	1268.410523	618.295013	962.057648	880.020786	369.331992	465.931283	674.131518	857.216348	766.157021	1176.371264	676.723652	720.567813	500.748334	657.657886	589.914311	582.592706	1407.269374	486.497846	496.343469	850.026341	709.000323	691.654024	937.53057	670.21956	1334.049886
ENSG00000234745.10	HLA-B	6	-	31269491	31357188	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	protein_coding	1704.125182	1181.867733	1954.793603	3532.736145	1339.364208	3437.761933	985.94647	2711.684875	1614.075478	2312.466125	1982.18078	2239.119275	1246.778061	1420.037307	1118.409079	2855.333999	1417.795052	2843.902222	2048.878525	1417.694008	1488.715744	1557.457192	2003.717645	2033.431945	1178.63476	1930.467301	1752.921768	2007.39257	1957.735763	1857.662465	1473.589247	2131.960006	1965.66462	1888.771012	1974.378674	3930.492523	2346.466866	1669.109283	668.147823	2480.531494	1636.235394	1451.441348	2197.681683	2093.731949	1929.193069	2639.026703	2092.243852	1284.844884	2570.278061	2098.750205	1650.578384	2085.120606	1714.902004	1608.531967	2971.401915	1736.249817	1445.266067	1566.179985	2035.632881	1604.984711	1115.744845	3337.60144	1789.898423	2127.533592	1567.92655	1998.473007	2057.466224	1730.25566	2593.705017	892.756425	986.558869	1710.106957	1121.488774	2248.560204	1685.173172	1820.781036	1584.675218	2221.251046	1462.587648	1602.472686	1389.68148	2326.572075	1698.038544	1604.586769	2552.672102	1195.132729	1142.119606	1764.770629	936.391517	1626.20106	2235.20137	2080.990997	1069.940064	4156.318878	1916.758186	1710.390233	1537.708221	2253.03933	1651.359245	1962.141465	1288.532752	1386.020301	1441.908462	1985.914931	1791.607189	2421.786063	2337.039032	1201.768434	2636.354356	2372.47834	1198.270997	2092.010262	1819.74659	663.838857	1372.283024	1578.21717	2038.753783	1796.388527	2028.387252	2361.786332	2184.910218	1364.336929	1263.36631	1042.137451	877.289689	2681.916801	1147.424019	1526.773872	2029.500107	1439.976811	1990.884102	2454.353529	2034.635269	2145.923615
ENSG00000204525.16	HLA-C	6	-	31268749	31272130	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	protein_coding	695.104669	647.914617	927.07296	1548.35709	625.582293	1581.885791	678.014806	1054.789201	820.346489	1122.004826	921.842191	1161.248742	540.430584	713.092582	593.634502	1260.754659	661.273747	1203.226834	832.470682	703.607677	673.482585	791.909809	658.804339	926.381409	621.297231	763.839583	607.659384	1022.052185	915.419716	937.795156	721.89386	931.862798	812.866097	843.217193	958.647953	1902.631232	1171.281415	677.159555	470.757554	1266.051933	735.426499	503.300544	1139.885956	1004.966849	875.858563	1301.223842	1153.288375	543.133016	1244.813939	1041.744832	847.687455	846.219385	606.700004	900.813363	1187.731586	935.079181	553.160058	707.998526	737.881874	717.929009	483.956085	1890.642395	1036.70907	911.666691	840.724349	894.054562	925.101476	593.160301	1058.29422	555.190724	429.752441	716.985707	601.011755	992.281895	890.429638	871.424946	702.940944	810.63414	611.006291	783.429616	741.561877	997.647251	588.601601	746.458822	812.123574	401.104048	659.674345	679.51101	562.158005	713.212993	971.317269	925.729768	552.157868	2323.620613	950.705942	982.326592	704.980657	904.135065	725.693539	835.164886	640.214673	652.684486	600.835353	896.940152	978.804277	1191.78146	1121.040448	577.858676	1173.949721	1123.566117	575.30359	707.728856	951.717755	368.053304	746.301661	544.987335	883.443077	627.746699	813.060033	1190.65973	993.526054	766.755859	545.387201	438.26005	397.463418	1040.269269	618.338535	742.932437	1232.070522	745.270699	921.934951	972.540344	707.371913	823.267583
ENSG00000204257.14	HLA-DMA	6	-	32948613	32969094	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	protein_coding	35.028259	36.206144	83.826286	176.289727	35.824412	77.213463	32.450275	58.565281	45.947837	25.8364	51.967676	42.77457	32.736962	39.332584	24.592168	75.960703	39.261876	61.932539	62.324729	36.387934	37.73171	36.918921	40.010391	50.062837	29.441947	67.741795	33.675607	60.467797	39.053915	59.80355	47.540266	50.743985	44.900759	34.577486	46.390544	132.157849	79.218811	36.019373	17.017692	99.621559	33.715708	34.310418	59.270954	62.151721	34.240988	118.224854	25.703392	31.603273	90.503924	66.736406	34.179087	72.181925	47.486343	33.106838	54.94395	47.477789	35.220946	38.753519	35.850573	50.151759	23.004315	71.717624	52.223199	54.721868	43.43193	41.073237	61.821424	52.56126	51.020229	22.480265	24.595702	50.840541	30.723243	41.651653	51.572362	47.420308	41.926354	85.510723	35.96501	60.297458	30.877154	78.946222	40.346455	33.135154	104.060961	35.370436	25.341199	68.746695	27.131131	49.152963	49.618254	48.487608	25.270302	104.455689	44.850474	38.373668	42.200247	56.984617	52.405576	51.495798	27.084007	26.829628	43.337718	54.38311	77.929394	102.712432	54.664902	30.770177	89.721569	48.882511	31.093607	62.984573	25.504001	18.145021	42.854934	27.931906	85.562131	41.313583	74.555754	64.145641	52.37241	36.543304	37.60604	42.550387	22.893857	95.464813	25.310524	50.382977	62.681576	61.582054	64.137275	84.877427	75.88438	122.031498
ENSG00000242574.8	HLA-DMB	6	-	32934629	32941070	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	protein_coding	27.818389	18.687395	50.17903	188.768171	17.020321	83.178925	22.633486	53.23971	25.558956	20.00448	51.334335	34.50002	21.62531	13.397289	12.785392	80.535739	23.373291	50.010415	65.185339	20.919442	38.087461	29.626349	34.380063	31.352342	14.859211	41.899707	20.282582	43.291123	31.278478	42.748348	21.33983	30.076047	35.105497	17.89088	40.681937	121.269905	71.60637	23.42918	7.718943	64.123123	22.416186	18.100462	42.502963	48.199027	25.479657	100.148563	12.680695	14.214936	72.286209	49.33048	30.266601	58.69642	33.766249	23.226597	41.533949	24.166417	23.889939	22.555518	22.274556	33.551816	9.955613	78.43961	50.534576	38.983788	36.079403	26.887133	59.765524	46.856612	31.820285	12.014122	6.237078	36.937801	24.040665	24.256815	47.090334	32.059311	30.898394	62.778298	23.354673	32.071274	29.454722	56.215847	29.990188	25.13635	77.087892	30.311543	13.779718	54.375932	14.197409	30.910243	44.298395	35.761829	12.730357	107.263426	26.208895	22.502858	29.626241	35.893043	31.949425	41.206073	18.012116	19.005603	44.820756	45.821127	56.259892	87.254473	37.994599	16.910298	74.680491	36.837832	18.52768	44.617503	18.682657	10.158124	30.183609	19.465517	61.173059	23.912721	68.368157	46.411422	41.914853	24.812977	25.043613	26.336404	10.896749	81.967685	17.071921	36.847686	61.141695	48.319533	58.418316	75.421345	57.644876	90.97545
ENSG00000204252.13	HLA-DOA	6	-	33004178	33009612	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	protein_coding	1.401522	5.62483	8.660942	27.351976	5.273829	4.915762	5.220515	8.30663	6.001872	2.536125	5.270717	9.347295	4.455602	0.815483	2.075699	16.325741	4.662824	4.453782	11.385581	3.583009	10.185976	6.101834	0	4.714346	2.022885	8.874213	4.09719	11.278779	5.674595	15.416999	6.702297	7.452659	5.252899	1.844196	10.443392	12.73241	12.368539	3.458888	0.948215	16.242421	1.302128	4.145693	6.04367	6.373863	4.048178	27.24898	1.075958	1.590905	18.345402	9.154185	2.303269	11.294348	3.690451	1.984722	4.921546	2.863618	4.737876	1.601111	0.430504	5.63764	2.895116	4.780557	6.953368	5.808527	6.931437	5.312333	7.770074	5.837751	3.40755	2.680707	0.258802	7.343214	4.437947	3.942409	4.966423	4.828271	10.340017	19.516061	3.805921	1.579628	4.316174	15.310592	3.604106	2.386664	22.381808	4.286321	0.407808	17.601515	4.058953	7.307487	3.6326	0	2.072828	12.904967	2.862461	4.601097	7.684884	6.42944	6.814098	10.112812	1.970649	3.574543	9.277119	9.285351	13.518483	20.103256	5.079715	5.688445	27.576167	6.648982	6.414029	15.539027	2.381157	2.445461	3.981628	2.538679	23.888803	6.073621	21.025	6.949931	7.940838	6.304573	6.142123	2.449922	0.176079	17.387535	1.589384	4.468851	0	11.229758	7.836505	23.647004	3.887483	26.501631
ENSG00000241106.6	HLA-DOB	6	-	32812763	32817048	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	protein_coding	0.069376	0.136354	0	5.644657	0.025871	1.179455	2.906723	4.503511	0	0.316694	0	0.160344	0.084275	0.110617	0	3.881031	0.459946	0.435954	1.47989	0.241314	0.399386	1.839128	0.030574	0	0.436382	0.780704	0.656979	0.219899	0.508122	6.124256	1.542134	0.74594	1.291645	0.766438	5.519283	2.953871	0.567967	0.126061	0	1.740205	0.391431	0.616546	3.163633	0.173688	0.095775	3.06666	2.997491	0.277999	0.302572	1.197504	0.263568	4.109394	2.305947	0	0.511831	0.955296	0.954281	2.405971	0.240308	0.316928	0.237138	1.273987	0.27032	7.069823	0.598698	0.196769	0.728015	0.410889	0.106413	0.885997	0.073234	2.998217	0	0.440883	0.275567	0.209222	0.03915	1.32772	0.101721	0.191048	0.469775	0.183587	0.410813	0.245723	0.467717	0	0.011274	1.67057	0.110175	0.167715	0	0.535349	0.53892	1.351472	0.219495	0.95905	0.096815	0.791993	0	0.314245	0.003245	0.463871	0	2.517885	0.516615	5.068394	0	0.060092	1.392783	0	0.406558	1.048612	0	0.114758	0.13689	0.03914	0.731095	0	0.239003	0.358745	0.35009	0	0.380032	0.048611	0.203	2.116259	0.204131	0.182519	0.359764	0.139209	0.078379	1.083954	0.001874	2.145841
ENSG00000231389.7	HLA-DPA1	6	-	33064569	33080775	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]	protein_coding	87.501128	85.901711	116.961687	425.155082	60.131651	137.49876	49.86113	103.216365	76.864483	37.461332	86.108592	100.464188	88.516031	46.968104	38.7293	147.078748	56.918748	117.083177	130.284865	56.401371	116.880207	70.782373	104.660714	79.835806	32.695982	102.916888	63.566969	73.893856	74.231	94.664313	120.707175	97.720817	75.860994	37.346652	103.843178	195.801794	122.784378	50.691078	27.773773	173.132386	29.612796	64.865384	73.093358	77.568298	50.716063	257.006706	28.243752	43.928146	122.025165	117.10601	55.335132	107.481934	65.375628	50.804713	85.777686	44.773771	65.202039	32.6003	40.835765	100.339635	35.280804	163.250445	85.699456	86.378719	79.761897	50.827791	113.025124	104.02335	81.558798	36.336806	20.541289	93.442073	71.732021	59.339849	85.855836	75.349334	104.274184	209.119479	52.310622	44.634436	78.491105	151.920807	67.234886	62.7296	226.528218	75.635126	47.260032	187.736128	52.223501	86.384653	52.388096	63.642114	44.533687	160.31966	61.929382	60.031984	97.311617	127.972887	79.062075	114.50003	52.331379	47.239816	97.953759	126.344246	129.554392	120.949213	101.588801	92.89313	235.050966	91.831607	81.454626	147.215732	26.309077	43.479429	75.429661	44.370182	170.919476	60.187841	153.847111	74.450561	110.339847	76.075599	86.022166	52.432226	16.824496	166.05582	38.376869	89.808567	135.722445	133.022803	122.954186	223.444754	142.30917	224.379925
ENSG00000231461.1	HLA-DPA2	6	-	33091753	33097295	major histocompatibility complex, class II, DP alpha 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4939]	unprocessed_pseudogene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
