ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	protein_coding	20	49551404	49575092
ENSG00000000457	SCYL3	SCY1-like 3 (S. cerevisiae)	protein_coding	1	169818772	169863408
ENSG00000000460	C1orf112	chromosome 1 open reading frame 112	protein_coding	1	169631245	169823221
ENSG00000000938	FGR	feline Gardner-Rasheed sarcoma viral oncogene homolog	protein_coding	1	27938575	27961788
ENSG00000000971	CFH	complement factor H	protein_coding	1	196621008	196716634
ENSG00000001036	FUCA2	fucosidase, alpha-L- 2, plasma	protein_coding	6	143815948	143832827
ENSG00000001084	GCLC	glutamate-cysteine ligase, catalytic subunit	protein_coding	6	53362139	53409927
ENSG00000001167	NFYA	nuclear transcription factor Y, alpha	protein_coding	6	41040684	41067715
ENSG00000001460	STPG1	sperm-tail PG-rich repeat containing 1	protein_coding	1	24683489	24743424
ENSG00000001461	NIPAL3	NIPA-like domain containing 3	protein_coding	1	24745781	24799466
ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)	protein_coding	6	46097730	46114436
ENSG00000001617	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	protein_coding	3	50192478	50226508
ENSG00000001626	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	protein_coding	7	117105838	117356025
ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1	protein_coding	7	91875548	92030698
ENSG00000001630	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1	protein_coding	7	91741465	91772266
ENSG00000001631	KRIT1	KRIT1, ankyrin repeat containing	protein_coding	7	91828283	91875480
ENSG00000002016	RAD52	RAD52 homolog (S. cerevisiae)	protein_coding	12	1021243	1099219
ENSG00000002330	BAD	BCL2-associated agonist of cell death	protein_coding	11	64037302	64052141
ENSG00000002549	LAP3	leucine aminopeptidase 3	protein_coding	4	17578815	17609595
ENSG00000002587	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	protein_coding	4	11394774	11431389
ENSG00000002726	AOC1	amine oxidase, copper containing 1	protein_coding	7	150521715	150558592
ENSG00000002745	WNT16	wingless-type MMTV integration site family, member 16	protein_coding	7	120965421	120981158
ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	protein_coding	7	43152198	43605600
ENSG00000002822	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	protein_coding	7	1855429	2272878
ENSG00000002834	LASP1	LIM and SH3 protein 1	protein_coding	17	37026112	37078023
ENSG00000002919	SNX11	sorting nexin 11	protein_coding	17	46180719	46200436
ENSG00000002933	TMEM176A	transmembrane protein 176A	protein_coding	7	150497622	150502208
ENSG00000003056	M6PR	mannose-6-phosphate receptor (cation dependent)	protein_coding	12	9094064	9102551
ENSG00000003137	CYP26B1	cytochrome P450, family 26, subfamily B, polypeptide 1	protein_coding	2	72356367	72375167
ENSG00000003147	ICA1	islet cell autoantigen 1, 69kDa	protein_coding	7	8152814	8302209
ENSG00000003249	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1	protein_coding	16	90071273	90086451
ENSG00000003393	ALS2	amyotrophic lateral sclerosis 2 (juvenile)	protein_coding	2	202565277	202645912
ENSG00000003400	CASP10	caspase 10, apoptosis-related cysteine peptidase	protein_coding	2	202047604	202094129
