ENSGID	GENE	CHR	STRAND	START	END	DESCRIPTION	GENE_BIOTYPE	alpha	n_snps_in_window	n.snps.in.model	lambda_min_mse	test_R2_avg	test_R2_sd	cv_R2_avg	cv_R2_sd	in_sample_R2	nested_cv_fisher_pval	rho_avg	rho_se	rho_zscore	pred.perf.R2	pred.perf.pval	cv_rho_avg	cv_rho_se	cv_rho_avg_squared	cv_zscore_est	cv_zscore_pval	cv_pval_est	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	bon	se	var
ENSG00000001460.17	STPG1	1	-	24356999	24416934	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	protein_coding	0.5	2547	23	0.348943269857418	0.0123109615656142	0.138437120412791	0.0890316131879753	0.1010599074534	0.205111023351156	0.00913476929347935	0.270482113742497	0.224859481532216	3.13439483829427	0.0731605738546092	0.00172208967072669	0.328437113413028	0.231896446556669	0.107870937467082	3.72648196733674	0.000194170956819591	0.0194573408175394	-0.00238614451067055	-0.0104251141503133	0.00565282512897219	-0.118289703065809	-0.581885902775035	0.560666838437566	0.999943974039278	-7.81079479407018	1	0.0041009519756176	0.0688151214805553
ENSG00000001561.6	ENPP4	6	+	46129993	46146699	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:HGNC:3359]	protein_coding	0.5	2695	43	0.311018248563219	0.393193343818181	0.127032264574354	0.391409090437243	0.134484263952095	0.453125322473754	7.7625597426375e-15	0.64996604607902	0.127768126877882	8.70620749715369	0.422455861055595	3.14211394387059e-18	0.667108160864986	0.133654421284993	0.445033298292664	8.41810642377597	3.82618138368008e-17	8.73886368587932e-12	-0.00172300684780262	-0.0177812423709797	0.0143352286753745	0.835300112695974	-0.2103442585997	0.833406607504228	0.999943974039278	-7.96277468162584	1	0.00819264201896733	0.27737737951859
ENSG00000002016.17	RAD52	12	-	912077	990053	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	protein_coding	0.5	2965	67	0.194511178882512	-0.0142175653973905	0.0882749581971146	0.0393824371638063	0.350489133395827	0.52354367423751	0.0356330597582652	0.238159618615242	0.200477491932298	2.77192677278805	0.0567200039389574	0.00557255708744148	0.326509801304979	0.384378777225502	0.106608650348217	4.0053144291397	6.19350403394182e-05	0.000145177161882679	-0.0034538556159624	-0.0163318984608715	0.00942418722894667	-0.64993244778464	-0.525769991574652	0.599068737522113	0.999943974039278	-7.83258634326934	1	0.00657003579389544	0.173380065456621
ENSG00000002726.20	AOC1	7	+	150824627	150861504	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	protein_coding	0.5	3447	68	0.185299011941309	0.150862980623493	0.134632084071272	0.182328387762816	0.325861652509367	0.611991564551597	2.21683966620473e-05	0.412040813921515	0.177681571361722	4.94527629324547	0.169777632337104	7.60359432517084e-07	0.545785730890534	0.185759808425208	0.297882064043714	6.50494348857951	7.77225923150957e-11	4.57163306874922e-07	0.00782633284933903	-0.00839108254925068	0.0240437482479288	-0.616973461864674	0.946058855885382	0.344159174864433	0.986652387250786	-7.52477580958209	1	0.00827385121940957	0.275598991956985
ENSG00000003249.13	DBNDD1	16	-	90004865	90020128	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	protein_coding	0.5	1779	13	0.296191102878657	0.116626416165323	0.0603175920757741	0.0659730205714849	0.16498245517383	0.245835088318929	0.0013575205176502	0.368007121479918	0.0824000072360399	4.2085440291426	0.135429241459935	2.57021451899408e-05	0.35710993826311	0.252711036612868	0.127527508006282	4.04607109124295	5.20844213850787e-05	0.00505467211588861	-0.00524767467399035	-0.0114307806610396	0.000935431313058904	-0.212201574088374	-1.6638021990995	0.0962076260484439	0.934555056098053	-6.54896457973618	1	0.00315386055141979	0.0369200366252572
ENSG00000003436.15	TFPI	2	-	187464230	187565760	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	protein_coding	0.5	2388	19	0.301590580069881	-0.0191642395068047	0.113346510471779	0.0767421898738462	0.148018219613162	0.212657788931706	0.0181754592837325	0.290089400375508	0.129458343260039	3.30221797519134	0.084151860210222	0.000959234956849964	0.372869031230405	0.228579866758472	0.139031314450701	4.1827879671216	2.87955929113716e-05	0.00726474067095716	-0.00292290860582394	-0.00952576957366027	0.00367995236201239	-0.296605858344456	-0.867809830402745	0.385535440654151	0.997002063797795	-7.58408440924147	1	0.00336811002667265	0.0446229008182021
ENSG00000003509.15	NDUFAF7	2	+	37231631	37253403	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	protein_coding	0.5	3475	8	0.450449993550281	0.051089303044657	0.0916949251893077	0.0674223252877362	0.0888294039141227	0.158684896288691	0.0258871725096663	0.282506322919043	0.123988207751611	3.20282102810098	0.0798098224892385	0.00136088526540625	0.325540160399212	0.240068373412289	0.105976396032744	3.62864440858807	0.000284913362021705	0.0267855439307385	-0.00322079711360021	-0.00972804906781088	0.00328645484061045	0.245165685220645	-0.970302673567254	0.33193733405749	0.984845449444204	-7.50861826421286	1	0.00331934533424709	0.0449884097104215
ENSG00000004809.13	SLC22A16	6	-	110424687	110476641	solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]	protein_coding	0.5	2453	17	0.247800491601619	0.508889194410454	0.106092727732247	0.563557846891203	0.121402369801368	0.599938602166857	5.71487659275722e-21	0.749929926365587	0.0631669104012632	10.6561300132983	0.562394894458695	1.63249875627848e-26	0.778367274118718	0.069233571160571	0.605855613419004	10.7650677271982	5.03245388213023e-27	4.11943782290138e-19	0.00207118306422672	-0.00406043182990205	0.00820279795835548	-2.37183085088411	0.662193778998285	0.507874148451215	0.999943974039278	-7.64146882469335	1	0.00312745791273597	0.0315045990016489
ENSG00000005075.15	POLR2J	7	-	102473118	102478907	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	protein_coding	0.5	2133	28	0.24325382437298	0.175321857183831	0.0476872822086478	0.153933866803361	0.19776454776809	0.384987008974071	1.79569809009265e-07	0.507624858917271	0.105296215261014	6.12892876307297	0.25768299739078	8.84727251298801e-10	0.428999224588839	0.173272337342392	0.184040334697825	4.87468273912534	1.08983460965082e-06	0.0008568306630647	-0.00521003124173393	-0.0189996745692062	0.0085796120857383	0.657562383958519	-0.740676859620689	0.458920286722197	0.999943974039278	-7.70514117115351	1	0.00703516121098192	0.202210067916929
ENSG00000005187.11	ACSM3	16	+	20610243	20797581	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	protein_coding	0.5	2384	61	0.402259765721657	0.141941047449384	0.0747749244992324	0.132115139913509	0.152452888624602	0.217521485219807	8.60576027312513e-06	0.43913430973412	0.154336047278654	5.24214430707197	0.192838941985662	1.5872115684177e-07	0.449584933137764	0.235855656808174	0.202126612104488	5.36480610237306	8.103622354828e-08	4.37252618778151e-05	-0.00277738478945286	-0.0140199406100451	0.00846517103113935	0.661825993665918	-0.484297784564425	0.628193389570958	0.999943974039278	-7.8621446827097	1	0.00573556917575853	0.134439821251191
ENSG00000005243.9	COPZ2	17	-	48026167	48038030	coatomer protein complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]	protein_coding	0.5	2421	44	0.20101046707923	0.126744546782731	0.0429700791163148	0.0908948056047375	0.227049856313115	0.393597297325605	0.000691132356813169	0.382404428965179	0.0799277618189301	4.39094277706405	0.146233147292185	1.12860241883145e-05	0.326203747209037	0.305889017799549	0.106408884693217	3.68726526588437	0.000226677028408149	0.00420592645481834	-0.00733872254747796	-0.0204742493469181	0.00579680425196221	0.048893665875598	-1.09525301195146	0.273452665365178	0.978581961862533	-7.37360573612046	1	0.00670141187429072	0.181134813315818
ENSG00000005469.11	CROT	7	+	87345681	87399795	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	protein_coding	0.5	2130	23	0.298893578331164	0.0717005924092317	0.182352937753169	0.129607040176677	0.214462056657078	0.250531376853568	0.000239146977910959	0.3724768766566	0.207477858120011	4.37290858611757	0.138739023643856	1.22602069771517e-05	0.376939914313172	0.36868746132069	0.142083699002421	4.66635734255661	3.06586328237168e-06	2.45987766062701e-05	-0.00219098161483465	-0.0120334630479303	0.00765149981826099	-0.0282324937173555	-0.436390825187019	0.66256993075653	0.999943974039278	-7.87488049511702	1	0.00502119039694872	0.101135361032326
ENSG00000005801.16	ZNF195	11	-	3339261	3379222	zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]	protein_coding	0.5	3316	37	0.254543812412312	-0.0154538834323077	0.100342521037541	0.0481403249118287	0.166589246697267	0.399900417797984	0.0925180454364679	0.252512986327218	0.0817426963334267	2.80359365114414	0.0637628082638899	0.00505365530518427	0.30926107380009	0.172906348778485	0.0956424117679848	3.33654286532453	0.000848273464560873	0.116696093608938	-0.00343211137086872	-0.0132470252206413	0.00638280247890384	0.681875322609987	-0.685514053225463	0.493047824683739	0.999943974039278	-7.73437408129073	1	0.00500712340217053	0.100386866579174
ENSG00000005882.11	PDK2	17	+	50094737	50112152	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	protein_coding	0.5	2393	40	0.251909530242099	0.175965085910979	0.0818575845690224	0.189625368005057	0.173389534888133	0.46489959355687	2.58755063823183e-06	0.467772654512621	0.120028277709944	5.57970473864974	0.218811256309784	2.40927206010573e-08	0.484992795573821	0.235151182722661	0.23521801175851	5.84170566704454	5.16690374154647e-09	5.21789215454266e-06	-0.00319500680031533	-0.0162025272246792	0.00981251362404855	-0.913986407202811	-0.481524903142947	0.630162202943322	0.999943974039278	-7.85642655246584	1	0.0066360995545236	0.177444809888253
ENSG00000006047.12	YBX2	17	-	7288252	7294615	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	protein_coding	0.5	2997	25	0.302089727951498	0.156635357131589	0.100247038112614	0.16842536809677	0.169680620552044	0.364782192488118	3.63711179355227e-06	0.454664077302512	0.14172846329767	5.4479297569197	0.206719423189345	5.09594744573466e-08	0.452211934730362	0.273991077934094	0.204495633912577	5.39700858154304	6.77611483272031e-08	2.81142836587479e-05	-0.00232329189185905	-0.0114955115925478	0.00684892780882967	0.393865997384007	-0.496558945603511	0.619519499945823	0.999943974039278	-7.84529570993292	1	0.00467918977348027	0.0875559019152228
ENSG00000006282.20	SPATA20	17	+	50543058	50555852	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]	protein_coding	0.5	2398	97	0.0908113114044753	0.492822042762816	0.0880533569629827	0.479811712538891	0.270483142033985	0.866677496196564	4.41146044219995e-18	0.714151512459698	0.0682506805222743	9.8162569072981	0.510012382748474	9.58361245766623e-23	0.745058687126513	0.113756796535797	0.555112447262683	10.1369647989383	3.78682944608775e-24	3.77298495103431e-17	0.000255718375123609	-0.0231630559182022	0.0236744926684494	-0.657225058204588	0.021406184162151	0.982922399147693	0.999943974039278	-7.97199088070807	1	0.0119480620198195	0.575191585223373
ENSG00000006453.13	BAIAP2L1	7	-	98291651	98401068	BAI1 associated protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]	protein_coding	0.5	2819	27	0.353451828630798	0.0623442391665137	0.148708386631371	0.100196101070688	0.11514893727412	0.257493887145232	0.00704448605824919	0.288587834241341	0.214088420144273	3.35128390777137	0.083282938072108	0.000804377896993689	0.367452402647384	0.229383375153504	0.135021268211335	4.22267420336569	2.4142067124223e-05	0.00475994487652378	0.00744364995560841	-0.000716216051850528	0.0156035159630674	-0.369861877972444	1.78831655410216	0.0737787140381406	0.909119806304025	-6.37587800561287	1	0.00416263367338627	0.0699087154360372
ENSG00000006468.13	ETV1	7	-	13891228	13991425	ETS variant 1 [Source:HGNC Symbol;Acc:HGNC:3490]	protein_coding	0.5	4023	29	0.304796065640456	-0.00155401761891991	0.10523543003432	0.0945518374824619	0.0963191594209002	0.31020558309784	0.175689591386907	0.196567051612726	0.165560187199722	2.22117344170166	0.0386386057797201	0.026339216281186	0.363182059696899	0.173542988545937	0.131901208485682	3.9681629141399	7.24288151623339e-05	0.0234297799365791	-0.00705467807015812	-0.0145917562464976	0.000482400106181381	0.461485941095493	-1.83491378112566	0.0665712037344568	0.909119806304025	-6.28951338617366	1	0.00384484188048993	0.0593929925506355
ENSG00000006555.10	TTC22	1	-	54779712	54801267	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]	protein_coding	0.5	3142	56	0.220108335966403	0.020869830231264	0.0539108203605734	0.029705089360514	0.177967066318998	0.447533500084048	0.0543272316243533	0.175501384859175	0.173138524652068	1.96435335429712	0.0308007360874884	0.0494891282676015	0.250060475509708	0.226810786631341	0.0625302414121415	2.66909793240892	0.00760552709383129	0.175627218295773	0.00408604997143914	-0.00651504717649073	0.014687147119369	0.0531111377143658	0.755604162066972	0.449918175306382	0.999943974039278	-7.68377665490794	1	0.00540826618805239	0.117081251583129
ENSG00000006715.15	VPS41	7	-	38722963	38932394	VPS41, HOPS complex subunit [Source:HGNC Symbol;Acc:HGNC:12713]	protein_coding	0.5	3881	1	0.530490749019831	-0.00648973262073609	0.141284919606249	0.037791236237895	0.0374645807506969	0.0765305691942103	0.0150516487865382	0.262181339243243	0.207997197984919	3.00287018555955	0.0687390546473803	0.00267446485788429	0.326514284808233	0.203211617620684	0.106611578183832	3.5723602899156	0.000353778229644534	0.0532250940536447	8.00661867014133e-07	-0.000159029419433061	0.00016063074316709	-0.395677547691527	0.00982046617822662	0.992164875595138	0.999943974039278	-7.80732677301043	1	1.11076077231719e-05	3.573371834687e-07
