gene	genename	gene_type	alpha	n_snps_in_window	n.snps.in.model	lambda_min_mse	test_R2_avg	test_R2_sd	cv_R2_avg	cv_R2_sd	in_sample_R2	nested_cv_fisher_pval	rho_avg	rho_se	rho_zscore	pred.perf.R2	pred.perf.pval	cv_rho_avg	cv_rho_se	cv_rho_avg_squared	cv_zscore_est	cv_zscore_pval	cv_pval_est	gene	genename	gene_type	alpha	n_snps_in_window	n.snps.in.model	test_R2_avg	test_R2_sd	cv_R2_avg	cv_R2_sd	in_sample_R2	nested_cv_fisher_pval	rho_avg	rho_se	rho_zscore	pred.perf.R2	pred.perf.pval	LCLvsGTEx7Lung.R	LCLvsGTEx7Lung.R-squared	LCLvsGTEx7Lung.beta	LCLvsGTEx7Lung.tstat	LCLvsGTEx7Lung.pval	LCLvsGTEx7Lung.qval
ENSG00000001460	STPG1	protein_coding	0.5	2883	35	0.160265693120816	0.02425331896147	0.0131156842958801	0.0409280613568958	0.0356302312872323	0.0847631535655471	2.63143025246585e-06	0.201125611799736	0.0479885241440762	5.55021391675016	0.040451511721818	2.85320257182635e-08	0.218393666759056	0.103314369582339	0.0476957936804658	6.0199087506569	1.74515423484742e-09	2.06548377522914e-06	ENSG00000001460.13	STPG1	protein_coding	0.5	1198	26	0.0296789133319391	0.0574313286384863	0.0537513272741276	0.0791040399830931	0.158641539828725	1.64784971603933e-05	0.258315994914004	0.146669288495074	4.82042150927394	0.0667271532284119	1.43255213089708e-06	0.735375413370841	0.540776998590336	1.07603329006403	76.740692945544	0	0
ENSG00000001561	ENPP4	protein_coding	0.5	3280	6	0.200314958286142	0.0191067786999307	0.00647483556044054	0.0187431429068091	0.0184724280264863	0.0359783068019163	0.000524768866850068	0.16144779909024	0.0402777207418571	4.43075533213844	0.0260653918310826	9.39035857511372e-06	0.169231244327385	0.0934863478997812	0.028639214056595	4.64109875017594	3.46561445545961e-06	0.00142579968940361	ENSG00000001561.6	ENPP4	protein_coding	0.5	1808	52	0.250913578286013	0.165664628969074	0.292726640979582	0.100528303245915	0.3853382001991	5.03680682436023e-24	0.52142586637059	0.155378770659035	10.6664422840414	0.27188493412032	1.4611427044778e-26	0.0117634565875506	0.000138378910887188	0.0565486582999212	0.831942732021758	0.405480992761924	0.411801439891306
ENSG00000002549	LAP3	protein_coding	0.5	3557	55	0.12540606427242	0.103463172587771	0.0369270426418148	0.124299155414557	0.0530799097881877	0.174892013124822	3.12081062221143e-18	0.328493026468336	0.0762739190955942	9.32018316797302	0.107907668438327	1.16139628795989e-20	0.3555099151429	0.0857773503256352	0.126387299764912	10.0727660266028	7.28985449068872e-24	6.83475980752261e-19	ENSG00000002549.8	LAP3	protein_coding	0.5	1678	21	0.0984838085353697	0.0400822138933427	0.0900722140508343	0.0696301217658244	0.148833053477337	2.00488344192889e-08	0.339918391191442	0.0961544887991196	6.36755160716144	0.115544512670178	1.92069434934558e-10	0.913762734150771	0.834962334322693	0.725335950715571	159.063426421312	0	0
ENSG00000002919	SNX11	protein_coding	0.5	3261	32	0.1372670189133	0.0116819454508505	0.0145950665726586	0.0128044220659601	0.0219962547238024	0.0596045568585731	0.00571599444573758	0.133851192675418	0.0597401225162442	3.66930275938901	0.017916141780632	0.000243212904680566	0.129023792012837	0.0793566937393946	0.0166471389053717	3.50189707352803	0.000461958041685693	0.0623173482231729	ENSG00000002919.10	SNX11	protein_coding	0.5	1166	48	0.165774638586745	0.0749519964380217	0.196041495555948	0.0664902790350204	0.256896581082024	1.98825473328973e-16	0.456522956739568	0.109566480586235	8.91590710355454	0.208413210030238	4.83839023486409e-19	0.44062736861889	0.194152477976007	1.4058466909877	34.7115061862089	9.84628337059163e-237	1.56469080954805e-236
ENSG00000003056	M6PR	protein_coding	0.5	3522	14	0.188882176223607	0.0178851510024261	0.0094219101309198	0.0250303026887201	0.0240174838062552	0.0408947549923869	0.000179425221573212	0.166978730788904	0.0587642990144068	4.59424887645307	0.0278818965358733	4.34310793129381e-06	0.183409006072436	0.111937954453399	0.0336388635084788	5.03417547323139	4.79909928300743e-07	9.85661507299194e-05	ENSG00000003056.3	M6PR	protein_coding	0.5	1310	19	0.155584349286005	0.0738818591394391	0.171549676238445	0.0706242279940477	0.210671591437536	7.58818645971259e-16	0.446303738269871	0.122449931303993	8.70633618916152	0.199187026793661	3.13855016164492e-18	0.671675273540942	0.4511476730863	1.79502817280259	64.1150570798254	0	0
ENSG00000003393	ALS2	protein_coding	0.5	2679	26	0.169577588915248	0.0781698011488418	0.0225224969323702	0.0792828387438008	0.0491177637039631	0.0930891021693666	1.03646910084365e-14	0.302506887146706	0.0411611163567867	8.49864161553391	0.0915104167711901	1.9182213086489e-17	0.30813508861994	0.0871765539820886	0.0949472328388182	8.63666507220761	5.78777476900993e-18	1.26227297388247e-13	ENSG00000003393.10	ALS2	protein_coding	0.5	1040	30	0.0763230595386824	0.0450789113499906	0.0803467852235126	0.0849827634417401	0.156687056654379	7.83747056158671e-07	0.313132908688922	0.0657280250607427	5.80456000991831	0.0980522185039846	6.45352445527936e-09	0.91684921171783	0.840612477027606	1.10433012507331	162.40492023327	0	0
ENSG00000004534	RBM6	protein_coding	0.5	1840	11	0.153965150795704	0.0523551892081201	0.0279485789843642	0.050421019577186	0.0286340898397767	0.0641828461706448	4.30154024890287e-10	0.24393928111224	0.0871679653402663	6.81318015585624	0.0595063728695565	9.54644659087679e-12	0.257079848460636	0.0967382833274885	0.0660900484845438	7.15045885991339	8.64883008439024e-13	2.99693419467985e-09	ENSG00000004534.10	RBM6	protein_coding	0.5	777	52	0.418923960679403	0.0618821608505009	0.418381421662141	0.0941127595221949	0.445780835904631	3.22116355837175e-39	0.662657983788386	0.0407988239050167	14.2768305036991	0.439115603478489	3.05168225544442e-46	0.95047995896589	0.903412152395801	3.17372513674241	216.276905624063	0	0
ENSG00000004700	RECQL	protein_coding	0.5	4250	30	0.165566917563489	-0.00536177385747183	0.0575059510428372	0.0201766726210767	0.0348941474938245	0.0594897646489899	3.86030364908244e-05	0.140321580550909	0.151546357805155	3.91579577451518	0.0196901459683052	9.01065008381232e-05	0.169818167263234	0.123397406825212	0.0288382099326438	4.68063502530214	2.85987678856115e-06	0.000261595036824867	ENSG00000004700.11	RECQL	protein_coding	0.5	1755	14	0.0389452607278754	0.0309621232281647	0.049790742432568	0.0332999729264292	0.0933793333872438	0.000145519029124807	0.25633607515334	0.0738134910288117	4.6995744797276	0.0657081834250188	2.60704131160805e-06	0.324292576137975	0.105165674938205	0.472174558460905	24.2434329027203	7.46751281240958e-123	1.05357857059038e-122
ENSG00000005020	SKAP2	protein_coding	0.5	4111	14	0.177365416013345	0.0247581551397624	0.0216796635353353	0.0295651814175496	0.0233425496653755	0.0447571698102961	1.37090853021833e-05	0.182174807031939	0.081097225788636	5.03090714921164	0.0331876603171241	4.8816453414981e-07	0.186251143271377	0.0890434441487712	0.0346894883698952	5.10661029714523	3.27989195508023e-07	0.000263336644552312	ENSG00000005020.8	SKAP2	protein_coding	0.5	2259	27	0.0154695816442225	0.0221255271691013	0.0390468650180713	0.0372863056494635	0.115700225028102	0.0391295832689438	0.1430531678798	0.114132232517892	2.59646449257344	0.0204642088404463	0.00941886401878326	0.026729954114899	0.000714490446984609	0.0362680153290579	1.89095783777811	0.0586877194451057	0.0610669513145018
ENSG00000005156	LIG3	protein_coding	0.5	3640	31	0.158463768007819	0.0220020870437881	0.0117181563717258	0.0284588082370299	0.0210421412341751	0.0830845069014556	9.07372830981034e-05	0.176240519266301	0.0399385341332359	4.8452381046622	0.0310607206312554	1.26459925638788e-06	0.177206396141234	0.0592588993424	0.031402106833364	4.83412185836462	1.33734651023917e-06	0.00176502981472584	ENSG00000005156.7	LIG3	protein_coding	0.5	1686	50	0.275116796523063	0.0523929816403108	0.28730324500554	0.102107077248887	0.403449435519434	1.71233469945851e-24	0.550455987728748	0.0668190010490116	11.108154474855	0.303001794426432	1.14501476646723e-28	0.79694916138905	0.63512796583871	2.40096438623592	93.3015280116244	0	0
