PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Pancreas	./GTEx_v7/Pancreas/Pancreas.ENSG00000005206.12.wgt.RDat	SPPL2B	19	 2328620	 2355099	0.4727	rs11665732	 3.52	rs1609752	 0.088253	  6.53	-1.3060	416	  7	lasso	0.298960	1.08e-18	-1.42936	0.15290
Pancreas	./GTEx_v7/Pancreas/Pancreas.ENSG00000010361.9.wgt.RDat	FUZ	19	50310370	50320633	0.1595	rs654877	 3.05	rs8104825	 0.087690	 -5.17	-0.5400	357	  2	lasso	0.078902	1.46e-05	 0.41378	0.67903
Pancreas	./GTEx_v7/Pancreas/Pancreas.ENSG00000011132.7.wgt.RDat	APBA3	19	 3750878	 3761697	0.2593	rs13269	 2.79	rs4807505	 0.104574	  5.74	-0.4780	351	  3	lasso	0.146537	2.82e-09	-0.04477	0.96429
Pancreas	./GTEx_v7/Pancreas/Pancreas.ENSG00000011478.7.wgt.RDat	QPCTL	19	46195741	46207247	0.2113	rs713411	 3.29	rs12975617	 0.029628	 -4.22	 1.1100	375	  5	lasso	0.031975	4.60e-03	-1.15332	0.24878
Pancreas	./GTEx_v7/Pancreas/Pancreas.ENSG00000011485.10.wgt.RDat	PPP5C	19	46850251	46896238	0.1553	rs713411	 3.29	rs10404903	 0.038951	 -4.71	-0.5190	413	  3	lasso	0.057394	2.04e-04	 0.49571	0.62010
Pancreas	./GTEx_v7/Pancreas/Pancreas.ENSG00000011590.9.wgt.RDat	ZBTB32	19	36195429	36207940	0.4703	rs7254211	 3.65	rs231592	 0.272223	  8.16	-1.1580	446	  9	enet	0.248336	2.29e-15	-0.88211	0.37772
Pancreas	./GTEx_v7/Pancreas/Pancreas.ENSG00000012124.10.wgt.RDat	CD22	19	35810164	35838258	0.4073	rs7254211	 3.65	rs10411704	 0.332311	  8.58	-0.7540	493	  3	lasso	0.322547	2.55e-20	-0.73751	0.46082
Pancreas	./GTEx_v7/Pancreas/Pancreas.ENSG00000021488.8.wgt.RDat	SLC7A9	19	33321415	33360672	0.1844	rs7253808	 2.50	rs12608647	 0.041786	 -4.51	-0.1880	421	  8	enet	0.073992	2.67e-05	-0.76695	0.44311
Pancreas	./GTEx_v7/Pancreas/Pancreas.ENSG00000022556.11.wgt.RDat	NLRP2	19	55464498	55512510	0.2709	rs11878562	 3.25	rs269913	 0.119084	  5.27	-0.7900	482	 21	enet	0.114532	1.71e-07	-1.44697	0.14790
Pancreas	./GTEx_v7/Pancreas/Pancreas.ENSG00000037757.9.wgt.RDat	MRI1	19	13875346	13884981	0.6341	rs12971679	 2.26	rs371671	 0.448662	 -9.91	 0.7668	331	 29	enet	0.483873	3.20e-33	-0.70218	0.48257
