PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Lung	./GTEx_v7/Lung/Lung.ENSG00000000460.12.wgt.RDat	C1orf112	1	1.70e+08	1.70e+08	0.1698	rs3917419	-2.604	rs12760399	 1.28e-01	 -7.15	-1.015	535	  4	lasso	 1.24e-01	 8.47e-13	 1.062714	0.287912
Lung	./GTEx_v7/Lung/Lung.ENSG00000000971.11.wgt.RDat	CFH	1	1.97e+08	1.97e+08	0.0878	rs10801551	-3.228	rs10801533	 4.22e-02	  4.80	-1.653	259	  2	lasso	 4.00e-02	 4.91e-05	-1.674100	0.094111
Lung	./GTEx_v7/Lung/Lung.ENSG00000001460.13.wgt.RDat	STPG1	1	2.47e+07	2.47e+07	0.1381	rs196426	-2.531	rs486575	 7.04e-02	  5.87	-0.505	420	 15	enet	 9.60e-02	 3.67e-10	 0.435516	0.663188
Lung	./GTEx_v7/Lung/Lung.ENSG00000007341.14.wgt.RDat	ST7L	1	1.13e+08	1.13e+08	0.2786	rs12137578	-3.034	rs6682737	 2.91e-01	 10.75	-1.416	332	  5	lasso	 2.93e-01	 1.21e-30	-1.466468	0.142521
Lung	./GTEx_v7/Lung/Lung.ENSG00000007908.11.wgt.RDat	SELE	1	1.70e+08	1.70e+08	0.0885	rs3917419	-2.604	rs4656732	 1.57e-03	 -3.73	 0.621	549	549	blup	 8.99e-03	 3.54e-02	 0.596911	0.550567
Lung	./GTEx_v7/Lung/Lung.ENSG00000007933.8.wgt.RDat	FMO3	1	1.71e+08	1.71e+08	0.2722	rs2038111	-2.570	rs10797894	 1.52e-01	 -7.93	-0.158	531	 23	enet	 1.86e-01	 5.76e-19	 1.213233	0.225041
Lung	./GTEx_v7/Lung/Lung.ENSG00000008118.5.wgt.RDat	CAMK1G	1	2.10e+08	2.10e+08	0.1587	rs6660522	-2.467	rs6683256	 7.90e-02	 -6.22	 0.542	499	  3	lasso	 7.74e-02	 1.90e-08	-0.690025	0.490178
Lung	./GTEx_v7/Lung/Lung.ENSG00000008128.18.wgt.RDat	CDK11A	1	1.63e+06	1.66e+06	0.3456	NA	    NA	NA	       NA	    NA	    NA	297	  0	enet	 1.49e-01	 3.38e-15	       NA	      NA
Lung	./GTEx_v7/Lung/Lung.ENSG00000008130.11.wgt.RDat	NADK	1	1.68e+06	1.71e+06	0.1032	rs13303016	 2.529	rs1014988	 7.31e-02	 -5.55	-1.008	289	  3	lasso	 6.96e-02	 9.91e-08	 1.059653	0.289303
Lung	./GTEx_v7/Lung/Lung.ENSG00000009790.10.wgt.RDat	TRAF3IP3	1	2.10e+08	2.10e+08	0.1430	rs11119445	 2.873	rs10863785	 5.90e-02	 -5.72	 1.320	513	513	blup	 9.13e-02	 9.92e-10	-1.306326	0.191442
