gene	genename	gene_type	alpha	n_snps_in_window	n.snps.in.model	lambda_min_mse	test_R2_avg	test_R2_sd	cv_R2_avg	cv_R2_sd	in_sample_R2	nested_cv_fisher_pval	rho_avg	rho_se	rho_zscore	pred.perf.R2	pred.perf.pval	cv_rho_avg	cv_rho_se	cv_rho_avg_squared	cv_zscore_est	cv_zscore_pval	cv_pval_est
ENSG00000143119	CD53	protein_coding	0.5	3962	40	0.14744352704386	0.0876520172469552	0.0193919869295061	0.10178919852629	0.0476476673089838	0.142740392359676	1.42397410402112e-16	0.317433324672686	0.0580206373338774	8.96142169095971	0.100763915612755	3.20518785574366e-19	0.345330877285735	0.0877467485929817	0.119253414806935	9.76487316466083	1.59311225075025e-22	9.55296486288247e-18
ENSG00000160803	UBQLN4	protein_coding	0.5	1900	32	0.11181483321663	0.0132022474092871	0.044404879564474	0.0291727796893449	0.0432644475227296	0.0917513158074247	2.10565638533272e-05	0.166512994088131	0.115650213972905	4.61240022981674	0.0277265772001939	3.98045617883937e-06	0.177408370483117	0.111766467617815	0.0314737299174747	4.88222520775687	1.04895357745452e-06	0.000279658929246389
ENSG00000162885	B3GALNT2	protein_coding	0.5	3807	30	0.185242747311825	0.136573310180748	0.039689120059294	0.149227877408127	0.0559387408902563	0.161507133269487	2.17324064711292e-25	0.384884189589455	0.0681660984638255	11.0757180945507	0.148135839395932	1.64555613954432e-28	0.406671574705919	0.0777777445909133	0.165381769673792	11.693735406507	1.372159169751e-31	9.52492700675379e-26
ENSG00000215883	CYB5RL	protein_coding	0.5	3460	2	0.213161913418844	-0.000456615674817118	0.00706448388396664	0.00314733136513097	0.00584341928114139	0.0118908687371652	0.0367723447891175	0.11036620290704	0.0625686520953486	3.01999960243089	0.012180698744118	0.00252775017339717	0.125563726683557	0.0757505571507	0.015766249458663	3.41382449950474	0.000640578245810684	0.0937296047395949
ENSG00000212916	MAP10	protein_coding	0.5	4303	22	0.168159156853778	0.0308666284897866	0.0183152617316592	0.0324708267818692	0.0356503579705362	0.0827100910056782	5.20625439368716e-06	0.196707630198919	0.0461751739456718	5.42384991779957	0.0386938917784746	5.83288620419992e-08	0.188466223861106	0.11345625544559	0.0355195175364646	5.18086047194713	2.20864660816667e-07	4.56827519050079e-05
ENSG00000218510	LINC00339	transcribed_processed_pseudogene	0.5	4109	33	0.126171336485304	0.558601646685576	0.0449964415466263	0.562848268721937	0.0562289563663573	0.578331126830457	7.33140657886731e-133	0.752227276826388	0.0275960234328671	26.640038730143	0.565845876001643	2.3345798753212e-156	0.753856914188444	0.0408237250838366	0.568300247069723	26.5867419735982	9.66234479313038e-156	1.05900508450828e-128
ENSG00000134202	GSTM3	protein_coding	0.5	3241	32	0.135641076700703	0.216025112892199	0.0311751020177395	0.226109179103606	0.0608361614795767	0.265593687353221	3.5803269447121e-39	0.470742703499917	0.0384435672714227	13.9089846015007	0.221598692898411	5.58669307853104e-44	0.485185942908753	0.0767170874915167	0.235405399196256	14.3529754065384	1.02062737308335e-46	2.75720976826628e-39
ENSG00000162373	BEND5	protein_coding	0.5	2093	43	0.0781965485589605	0.00604485853690622	0.0162231884397099	0.00797480069565611	0.0781186813564063	0.119664266110458	0.0233616117753864	0.121254572736985	0.0417724443398405	3.315081064753	0.0147026714096287	0.000916165520393883	0.147428211113032	0.143434220309066	0.0217350774319886	4.06213484285307	4.86259740942441e-05	0.000556371196781833
ENSG00000198700	IPO9	protein_coding	0.5	3620	68	0.114399698086183	0.0111254375122269	0.0319147077162217	0.0337111053057096	0.0341884976246999	0.14323771635261	0.00056886288851767	0.139187014110261	0.110663627709603	3.8465896972214	0.01937302489693	0.000119773295035827	0.199437184203284	0.0733523311656745	0.0397751904429347	5.46183534981551	4.71237045811727e-08	9.05220993077991e-05
ENSG00000225487	AL390119.1	processed_pseudogene	0.5	3737	21	0.167024181890462	0.00358525127631781	0.00881894859785022	0.000189101214585707	0.0219304872727495	0.0357592534729886	0.0625181889067322	0.105874244787031	0.0503805364857479	2.89358628055573	0.0112093557092242	0.00380869633916885	0.084786907559093	0.0930678080093155	0.00718881969343418	2.28848862980972	0.02210908151064	0.259478388720641
