PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000017797.7.wgt.RDat	RALBP1	18	 9475007	 9538114	0.4280	rs4797352	-2.81	rs7241781	 3.15e-01	 10.95	 0.570	525	  9	enet	0.33022	6.10e-34	 0.8130	0.41624
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000060069.12.wgt.RDat	CTDP1	18	77439801	77514510	0.5375	rs7236023	-3.35	rs1788661	 4.14e-01	-12.72	 1.953	414	 15	enet	0.48158	2.22e-54	-2.0710	0.03836
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000074695.5.wgt.RDat	LMAN1	18	56995055	57027194	0.1701	rs9319941	-3.03	rs1899894	 7.29e-02	  6.07	 0.894	656	  6	lasso	0.07620	4.39e-08	 0.1160	0.90763
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000078043.11.wgt.RDat	PIAS2	18	44388353	44500111	0.0663	rs2684814	 4.28	rs4890698	 5.47e-02	  5.11	-2.789	520	  5	lasso	0.04249	4.01e-05	-2.9059	0.00366
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000078142.7.wgt.RDat	PIK3C3	18	39535171	39667794	0.1952	rs16960213	-3.27	rs7238178	 1.07e-01	 -6.76	-1.489	381	 14	enet	0.11428	1.65e-11	 0.9526	0.34081
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000081913.9.wgt.RDat	PHLPP1	18	60382672	60647666	0.0827	rs525092	-3.59	rs515563	 1.51e-02	 -3.86	-2.641	459	  8	enet	0.01674	7.42e-03	 1.7612	0.07821
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000082212.7.wgt.RDat	ME2	18	48405419	48474691	0.4307	rs4940047	 3.85	rs2847556	 1.80e-01	 -8.27	-1.915	436	  7	lasso	0.35016	2.35e-36	 0.5271	0.59811
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000082397.11.wgt.RDat	EPB41L3	18	 5392383	 5630699	0.1141	rs9961584	 2.75	rs4798367	 5.14e-02	 -5.56	-1.366	589	  4	lasso	0.04467	2.58e-05	 1.3266	0.18464
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000101493.6.wgt.RDat	ZNF516	18	74069644	74207146	0.3139	rs7244046	 3.44	rs11150958	 5.96e-02	 -5.93	-1.487	585	  5	lasso	0.09444	1.04e-09	 0.6473	0.51742
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000101546.8.wgt.RDat	RBFA	18	77794358	77806397	0.0558	rs7236023	-3.35	rs3744872	 4.25e-02	  4.62	-0.623	282	  6	enet	0.02805	7.36e-04	-0.8612	0.38911
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000101558.9.wgt.RDat	VAPA	18	 9913999	 9960018	0.2755	rs12963714	 2.54	rs561102	 1.61e-01	  7.81	-0.641	682	 22	enet	0.15250	4.48e-15	-0.4101	0.68174
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000101574.10.wgt.RDat	METTL4	18	 2537524	 2571508	0.1339	rs2644199	-3.46	rs2677882	 9.77e-02	  6.22	-3.189	514	  3	lasso	0.09740	5.61e-10	-2.9381	0.00330
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000101577.5.wgt.RDat	LPIN2	18	 2916992	 3013313	0.4895	rs2644199	-3.46	rs9963424	 2.56e-01	  9.77	-0.378	516	 37	enet	0.29434	9.07e-30	-0.8962	0.37017
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000101605.8.wgt.RDat	MYOM1	18	 3066805	 3220106	0.2469	rs7236614	 2.74	rs4798075	 1.13e-01	 -6.66	 1.410	493	  8	lasso	0.13604	1.60e-13	-1.5473	0.12179
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000101639.14.wgt.RDat	CEP192	18	12991361	13125051	0.2907	rs9951766	-3.21	rs578208	 3.56e-01	 11.73	-0.243	405	 18	enet	0.38148	2.67e-40	-0.2854	0.77530
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000101654.13.wgt.RDat	RNMT	18	13726663	13764557	0.2471	rs3760534	-3.29	rs7228410	 1.66e-01	  8.00	 1.761	471	  4	lasso	0.14951	8.62e-15	 1.7584	0.07867
Whole_Blood	./GTEx_v7/Whole_Blood/Whole_Blood.ENSG00000101751.6.wgt.RDat	POLI	18	51795774	51847636	0.4266	rs7242585	-2.67	rs11083046	 2.08e-01	 -8.90	 0.161	333	  5	lasso	0.23831	1.19e-23	-0.1317	0.89519
