ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	meanPredBeta
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit [Source:HGNC Symbol;Acc:3005]	protein_coding	20	49551404	49575092	-0.00121819693157884
ENSG00000000457	SCYL3	SCY1-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:19285]	protein_coding	1	169818772	169863408	-0.00420414770719679
ENSG00000000460	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:25565]	protein_coding	1	169631245	169823221	-0.00302611342823918
ENSG00000000938	FGR	feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697]	protein_coding	1	27938575	27961788	0.00120523531935896
ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:4883]	protein_coding	1	196621008	196716634	0.00350595336517453
ENSG00000001036	FUCA2	fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:4008]	protein_coding	6	143815948	143832827	0.000592316993823804
ENSG00000001084	GCLC	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]	protein_coding	6	53362139	53409927	-0.00134466965301221
ENSG00000001167	NFYA	nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:7804]	protein_coding	6	41040684	41067715	0.000505891582389198
ENSG00000001460	STPG1	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]	protein_coding	1	24683489	24743424	-0.00267417797093023
ENSG00000001461	NIPAL3	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]	protein_coding	1	24745781	24799466	-0.000596139625848695
ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:3359]	protein_coding	6	46097730	46114436	-7.2756205948173e-06
ENSG00000001617	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]	protein_coding	3	50192478	50226508	0.000244261454310221
ENSG00000001626	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]	protein_coding	7	117105838	117356025	0.000424509770742112
ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:22215]	protein_coding	7	91875548	92030698	0.000222493962887816
ENSG00000001630	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2649]	protein_coding	7	91741465	91772266	0.00460541868276427
ENSG00000001631	KRIT1	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:1573]	protein_coding	7	91828283	91875480	0.00062810495399043
ENSG00000002016	RAD52	RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9824]	protein_coding	12	1021243	1099219	-0.0012762384727615
ENSG00000002330	BAD	BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:936]	protein_coding	11	64037302	64052141	0.00183583332036735
ENSG00000002549	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]	protein_coding	4	17578815	17609595	-0.00527113481120201
ENSG00000002587	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	protein_coding	4	11394774	11431389	0.0011885402367971
ENSG00000002726	AOC1	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:80]	protein_coding	7	150521715	150558592	-8.10551608182618e-05
ENSG00000002745	WNT16	wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:16267]	protein_coding	7	120965421	120981158	0.000781541358624947
ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:22195]	protein_coding	7	43152198	43605600	-0.00014811912659478
ENSG00000002822	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:6762]	protein_coding	7	1855429	2272878	0.000654549463793033
ENSG00000002834	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:6513]	protein_coding	17	37026112	37078023	0.000225353367188384
ENSG00000002919	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:14975]	protein_coding	17	46180719	46200436	-0.00539172267370581
ENSG00000002933	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]	protein_coding	7	150497622	150502208	-0.00435674633803708
ENSG00000003056	M6PR	mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:6752]	protein_coding	12	9094064	9102551	0.000466334823056324
ENSG00000003137	CYP26B1	cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:20581]	protein_coding	2	72356367	72375167	-0.00082082846102789
ENSG00000003147	ICA1	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]	protein_coding	7	8152814	8302209	0.00215497748493633
ENSG00000003249	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]	protein_coding	16	90071273	90086451	-0.00336570912231263
ENSG00000003393	ALS2	amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:443]	protein_coding	2	202565277	202645912	-0.0035107689663563
ENSG00000003400	CASP10	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	protein_coding	2	202047604	202094129	-0.00149521988204369
ENSG00000003402	CFLAR	CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:1876]	protein_coding	2	201980827	202041410	9.96587973665163e-05
ENSG00000003436	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]	protein_coding	2	188328957	188430487	-0.000917925504402797
ENSG00000003509	NDUFAF7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:28816]	protein_coding	2	37458857	37480546	-0.00451817510880879
ENSG00000003756	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]	protein_coding	3	50126341	50156454	0.000987607721604546
ENSG00000003987	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:7454]	protein_coding	8	17155539	17270836	-0.00244055199398176
ENSG00000003989	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]	protein_coding	8	17354597	17428082	-0.00141756150513416
ENSG00000004059	ARF5	ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658]	protein_coding	7	127228399	127231462	0.000390665020012143
