PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000003393.10.wgt.RDat	ALS2	2	2.03e+08	2.03e+08	0.367	rs16838661	-3.54	rs7558424	 0.090270	-4.97	 0.466	425	 22	enet	 0.12421	1.34e-04	 0.2669	0.78957
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000035115.17.wgt.RDat	SH3YL1	2	2.18e+05	2.66e+05	0.294	rs11901199	 3.25	rs9213	 0.258756	-5.35	 0.371	374	  2	lasso	 0.23590	9.02e-08	-0.3677	0.71313
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000054219.9.wgt.RDat	LY75	2	1.61e+08	1.61e+08	0.383	rs4665145	-4.10	rs3806603	 0.331132	-6.05	-2.377	445	 27	enet	 0.32243	1.61e-10	 2.0449	0.04087
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000055332.12.wgt.RDat	EIF2AK2	2	3.73e+07	3.74e+07	0.455	rs17019886	-2.88	rs6734118	-0.009705	 3.32	-0.302	516	  8	lasso	 0.00506	2.19e-01	 0.6284	0.52971
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000064012.17.wgt.RDat	CASP8	2	2.02e+08	2.02e+08	0.168	rs6711866	 1.99	rs10201587	 0.011367	-3.67	-0.590	355	355	blup	 0.00519	2.17e-01	-0.0262	0.97910
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000066248.10.wgt.RDat	NGEF	2	2.34e+08	2.34e+08	0.600	rs7584458	 2.82	rs2004203	 0.142656	 5.51	 0.014	457	 35	enet	 0.22977	1.38e-07	 0.5365	0.59162
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000068654.11.wgt.RDat	POLR1A	2	8.62e+07	8.63e+07	0.216	rs308904	 1.94	rs4832254	 0.097211	-4.34	 0.323	459	  1	lasso	 0.06258	5.79e-03	-0.3230	0.74670
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000068781.16.wgt.RDat	STON1-GTF2A1L	2	4.88e+07	4.90e+07	0.470	rs876968	-2.59	rs2140551	 0.323841	-5.91	 0.481	506	  4	lasso	 0.31785	2.29e-10	-0.2111	0.83284
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000074054.13.wgt.RDat	CLASP1	2	1.22e+08	1.22e+08	0.164	rs4076519	 2.41	rs12619364	-0.005423	-2.90	 0.364	319	319	blup	-0.00801	6.78e-01	 0.1222	0.90275
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000078018.15.wgt.RDat	MAP2	2	2.10e+08	2.11e+08	0.318	rs2370838	 2.02	rs16842863	 0.064183	-4.07	 0.604	332	  4	lasso	 0.11693	2.10e-04	-0.1547	0.87705
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000078098.9.wgt.RDat	FAP	2	1.63e+08	1.63e+08	0.324	rs4667811	 2.60	rs17786007	 0.054690	 4.44	 1.866	290	 35	enet	 0.19157	1.81e-06	 1.4438	0.14880
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000084733.6.wgt.RDat	RAB10	2	2.63e+07	2.64e+07	0.359	rs6547079	 2.22	rs6721334	-0.005278	-3.15	 1.044	315	315	blup	 0.09021	1.08e-03	-0.1598	0.87307
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000115073.6.wgt.RDat	ACTR1B	2	9.83e+07	9.83e+07	0.235	rs7605986	-2.01	rs17424787	-0.008881	 2.77	 0.380	145	145	blup	 0.03185	3.79e-02	-0.4288	0.66809
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000115524.11.wgt.RDat	SF3B1	2	1.98e+08	1.98e+08	0.116	rs6434893	 3.39	rs3792160	 0.011976	 3.66	 1.310	328	328	blup	 0.04066	2.20e-02	 1.0182	0.30859
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000115750.12.wgt.RDat	TAF1B	2	9.98e+06	1.01e+07	0.585	rs2357394	 3.27	rs2303914	 0.334871	-6.16	 0.110	492	 23	enet	 0.35426	1.29e-11	 0.5151	0.60647
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000115816.9.wgt.RDat	CEBPZ	2	3.74e+07	3.75e+07	0.318	rs17019886	-2.78	rs12712528	-0.006236	 3.99	-1.792	486	  3	lasso	 0.09058	1.06e-03	-1.7010	0.08894
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000115825.5.wgt.RDat	PRKD3	2	3.75e+07	3.76e+07	0.246	rs6708933	-2.50	rs11124574	 0.241882	-5.12	 1.361	469	  3	lasso	 0.12910	9.88e-05	-1.4480	0.14763
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000118004.13.wgt.RDat	COLEC11	2	3.64e+06	3.69e+06	0.386	rs4854166	 3.34	rs2071639	 0.210754	 4.76	-0.685	558	  7	lasso	 0.25647	2.13e-08	-0.7748	0.43847
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000118997.9.wgt.RDat	DNAH7	2	1.97e+08	1.97e+08	0.226	rs1534537	-3.03	rs6434817	 0.138666	-4.59	-1.117	387	  3	lasso	 0.10042	5.80e-04	 1.1685	0.24260
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000123609.6.wgt.RDat	NMI	2	1.52e+08	1.52e+08	0.325	rs16829718	 2.55	rs289890	 0.003948	-3.34	 0.009	448	448	blup	 0.00468	2.25e-01	 0.1195	0.90489
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000125618.12.wgt.RDat	PAX8	2	1.14e+08	1.14e+08	0.395	rs3762491	 3.31	rs11123172	 0.312170	-5.88	-0.403	460	  3	lasso	 0.29458	1.33e-09	 0.3952	0.69268
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000125630.11.wgt.RDat	POLR1B	2	1.13e+08	1.13e+08	0.543	rs17042542	-2.42	rs3748026	 0.358762	 6.30	 1.106	398	  8	lasso	 0.34359	3.04e-11	 1.3448	0.17870
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000128699.9.wgt.RDat	ORMDL1	2	1.91e+08	1.91e+08	0.263	rs2115553	 2.16	rs1233284	 0.211512	 4.97	-0.579	315	  2	lasso	 0.19625	1.33e-06	-0.6846	0.49361
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000130414.7.wgt.RDat	NDUFA10	2	2.41e+08	2.41e+08	0.472	rs13419075	 3.06	rs8369	 0.063655	-4.35	 1.408	558	 10	lasso	 0.10427	4.58e-04	-1.0055	0.31468
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000134330.14.wgt.RDat	IAH1	2	9.61e+06	9.64e+06	0.320	rs1109670	-4.07	rs13422487	 0.059871	-3.93	 0.183	452	452	blup	 0.03876	2.47e-02	-1.7199	0.08546
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000135912.6.wgt.RDat	TTLL4	2	2.20e+08	2.20e+08	0.156	rs2579959	-2.13	rs2710251	 0.001954	 3.49	-0.615	376	  8	enet	 0.01357	1.22e-01	-0.8301	0.40646
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000135951.10.wgt.RDat	TSGA10	2	9.96e+07	9.98e+07	0.486	rs3792137	 2.07	rs6542868	 0.222306	-5.09	-0.629	298	  5	lasso	 0.19013	1.99e-06	 0.6158	0.53806
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000135968.15.wgt.RDat	GCC2	2	1.09e+08	1.09e+08	0.357	rs3749096	-2.67	rs2577599	 0.250919	-5.34	-0.268	357	  6	lasso	 0.25308	2.71e-08	 0.3841	0.70091
Vagina	./GTEx_v7/Vagina/Vagina.ENSG00000136531.9.wgt.RDat	SCN2A	2	1.66e+08	1.66e+08	0.260	rs13432056	 2.62	rs6730413	 0.003263	 3.16	 2.155	392	392	blup	 0.08605	1.39e-03	-0.1762	0.86015
