PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000044459.10.wgt.RDat	CNTLN	9	1.71e+07	1.75e+07	0.304	rs7043361	 2.25	rs10756869	 0.078581	 4.56	-0.234	546	  6	lasso	 1.03e-01	2.00e-04	-0.0616	0.95088
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000056558.6.wgt.RDat	TRAF1	9	1.24e+08	1.24e+08	0.360	rs1475663	-2.49	rs1930777	 0.080377	 4.23	-0.807	348	348	blup	 9.90e-02	2.59e-04	-0.6489	0.51642
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000096872.11.wgt.RDat	IFT74	9	2.70e+07	2.71e+07	0.334	rs2273723	-3.77	rs10812505	 0.172502	 5.05	-1.137	627	  6	lasso	 1.42e-01	1.19e-05	-1.2370	0.21608
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000106686.12.wgt.RDat	SPATA6L	9	4.55e+06	4.67e+06	0.393	rs463684	-3.43	rs10758642	 0.070695	 4.50	 1.302	686	  6	lasso	 1.42e-01	1.20e-05	 0.2326	0.81611
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000106733.16.wgt.RDat	NMRK1	9	7.77e+07	7.77e+07	0.674	rs9776041	 2.88	rs6560421	 0.244285	-7.00	-0.616	444	 10	lasso	 3.75e-01	5.26e-14	 0.7277	0.46683
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000106780.7.wgt.RDat	MEGF9	9	1.23e+08	1.23e+08	0.128	rs1475663	-2.49	rs10818474	 0.081297	-4.54	-0.105	343	  4	enet	 5.30e-02	6.35e-03	 0.5416	0.58810
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000106868.12.wgt.RDat	SUSD1	9	1.15e+08	1.15e+08	0.290	rs7041597	-2.66	rs4979085	 0.170563	-5.23	-0.483	486	  3	lasso	 1.36e-01	1.87e-05	 0.7041	0.48134
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000107020.5.wgt.RDat	PLGRKT	9	5.36e+06	5.44e+06	0.286	rs11790918	-3.59	rs2381277	 0.147965	 4.91	-0.306	444	  4	lasso	 1.39e-01	1.51e-05	 0.0291	0.97679
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000107201.5.wgt.RDat	DDX58	9	3.25e+07	3.25e+07	0.246	rs1348255	-2.97	rs613645	 0.139410	 4.55	-1.648	509	 32	enet	 9.41e-02	3.65e-04	-0.1594	0.87339
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000119383.15.wgt.RDat	PPP2R4	9	1.32e+08	1.32e+08	0.317	rs2184932	 2.48	rs6478867	 0.132427	-5.20	 0.131	383	 12	enet	 1.20e-01	5.87e-05	 0.0265	0.97889
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000119411.10.wgt.RDat	BSPRY	9	1.16e+08	1.16e+08	0.219	rs16928463	-3.02	rs1998503	 0.108925	-4.76	-1.640	600	 14	enet	 1.80e-01	7.16e-07	 1.0232	0.30621
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000119414.7.wgt.RDat	PPP6C	9	1.28e+08	1.28e+08	0.196	rs13299973	-2.26	rs2810467	 0.004588	-3.32	 1.018	322	 21	enet	 2.33e-02	5.16e-02	-0.7534	0.45119
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000119471.10.wgt.RDat	HSDL2	9	1.15e+08	1.15e+08	0.293	rs7041597	-2.66	rs10817330	 0.188518	-4.86	-0.641	456	  5	lasso	 1.41e-01	1.29e-05	 0.5714	0.56774
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000119487.12.wgt.RDat	MAPKAP1	9	1.28e+08	1.28e+08	0.130	rs12551360	-2.39	rs4838278	 0.008591	 3.37	-1.342	360	360	blup	 3.09e-02	3.00e-02	-0.9769	0.32864
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000119509.8.wgt.RDat	INVS	9	1.03e+08	1.03e+08	0.334	rs17811585	-2.30	rs914711	 0.065508	 4.61	 0.007	289	 31	enet	 2.03e-01	1.28e-07	 0.0867	0.93094
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000119514.5.wgt.RDat	GALNT12	9	1.02e+08	1.02e+08	0.366	rs10819320	-3.28	rs1967890	 0.000571	 3.13	-0.322	589	589	blup	 2.16e-03	2.64e-01	-1.6650	0.09591
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000120158.7.wgt.RDat	RCL1	9	4.79e+06	4.89e+06	0.301	rs11790918	-3.59	rs4740804	 0.019964	-3.97	-0.508	610	  6	lasso	 2.69e-02	4.00e-02	 0.0347	0.97232
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000122696.8.wgt.RDat	SLC25A51	9	3.79e+07	3.79e+07	0.269	rs10758435	 3.28	rs10814618	 0.101766	 4.43	-0.509	527	  5	lasso	 8.54e-02	6.69e-04	-0.0978	0.92209
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000122733.11.wgt.RDat	KIAA1045	9	3.50e+07	3.50e+07	0.266	rs7854429	 2.88	rs7045765	 0.106923	-4.73	 1.063	346	  6	lasso	 1.12e-01	1.02e-04	-1.4617	0.14383
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000125485.13.wgt.RDat	DDX31	9	1.35e+08	1.36e+08	0.498	rs2809243	-3.36	rs11243850	 0.194945	 5.42	-0.340	538	 10	lasso	 1.52e-01	5.94e-06	-0.4473	0.65463
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000130948.5.wgt.RDat	HSD17B3	9	9.90e+07	9.91e+07	0.295	rs4743501	 2.08	rs4743709	 0.135048	-5.22	-1.134	386	 17	enet	 1.68e-01	1.87e-06	 0.9125	0.36149
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000131668.9.wgt.RDat	BARX1	9	9.67e+07	9.67e+07	0.320	rs9409547	-3.79	rs12683791	 0.221633	-5.30	-0.785	440	  3	lasso	 2.23e-01	2.66e-08	 0.4531	0.65047
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000135063.13.wgt.RDat	FAM189A2	9	7.19e+07	7.20e+07	0.296	rs11139511	-3.70	rs1416738	 0.157082	-4.57	-0.424	492	  6	lasso	 1.24e-01	4.28e-05	 0.3759	0.70699
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000136856.13.wgt.RDat	SLC2A8	9	1.30e+08	1.30e+08	0.192	rs4837192	-2.15	rs10987639	 0.119016	-4.33	-2.122	361	  5	lasso	 7.05e-02	1.89e-03	 2.1074	0.03508
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000136866.9.wgt.RDat	ZFP37	9	1.16e+08	1.16e+08	0.401	rs7021649	 2.88	rs17827840	 0.137921	-4.29	-1.321	537	 44	enet	 1.04e-01	1.85e-04	 0.2075	0.83560
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000136870.6.wgt.RDat	ZNF189	9	1.04e+08	1.04e+08	0.498	rs7873471	 3.16	rs16919847	-0.005853	-3.18	-0.490	541	110	enet	 2.53e-02	4.46e-02	 0.2633	0.79233
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000136874.6.wgt.RDat	STX17	9	1.03e+08	1.03e+08	0.176	rs683026	-2.74	rs10739795	 0.148921	-4.82	-0.484	270	270	blup	 1.76e-01	1.02e-06	 0.6779	0.49782
Small_Intestine_Terminal_Ileum	./GTEx_v7/Small_Intestine_Terminal_Ileum/Small_Intestine_Terminal_Ileum.ENSG00000136875.8.wgt.RDat	PRPF4	9	1.16e+08	1.16e+08	0.580	rs16928463	-2.99	rs17763934	 0.488795	 7.85	-2.066	607	 27	enet	 4.92e-01	2.08e-19	-1.8953	0.05805
