PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000044459.10.wgt.RDat	CNTLN	9	1.71e+07	1.75e+07	0.3587	rs7043361	 2.25	rs10962996	 0.139104	 5.47	 0.560	546	  5	lasso	 0.15676	2.90e-07	 0.24527	0.806244
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000056558.6.wgt.RDat	TRAF1	9	1.24e+08	1.24e+08	0.1546	rs1475663	-2.49	rs10739592	 0.019892	-3.66	 0.415	348	348	blup	 0.04869	3.74e-03	-0.06666	0.946851
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000070061.10.wgt.RDat	IKBKAP	9	1.12e+08	1.12e+08	0.2487	rs7852279	 3.20	rs11999949	 0.088374	 4.50	-2.274	608	  4	lasso	 0.05001	3.34e-03	-2.38576	0.017044
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000086102.14.wgt.RDat	NFX1	9	3.33e+07	3.34e+07	0.3273	rs1348255	-2.97	rs706117	 0.003005	 3.67	-0.203	457	457	blup	 0.03251	1.51e-02	-0.59949	0.548848
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000095209.7.wgt.RDat	TMEM38B	9	1.08e+08	1.09e+08	0.1692	rs12378850	-2.82	rs12343550	 0.011663	-3.83	-0.433	394	394	blup	 0.00237	2.46e-01	 1.07120	0.284078
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000095321.12.wgt.RDat	CRAT	9	1.32e+08	1.32e+08	0.3293	rs2184932	 2.48	rs2768630	 0.221931	-6.03	 0.041	384	  3	lasso	 0.21002	1.97e-09	 0.03949	0.968502
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000095397.9.wgt.RDat	DFNB31	9	1.17e+08	1.17e+08	0.3890	rs17235713	-2.76	rs2296262	-0.006379	 3.85	-0.458	674	674	blup	 0.05804	1.68e-03	-0.23460	0.814518
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000096872.11.wgt.RDat	IFT74	9	2.70e+07	2.71e+07	0.3736	rs2273723	-3.77	rs12236850	 0.145966	 5.26	-0.828	627	  5	lasso	 0.22130	6.59e-10	-1.85395	0.063746
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000106733.16.wgt.RDat	NMRK1	9	7.77e+07	7.77e+07	0.7021	rs9776041	 2.88	rs3752955	 0.380697	 7.96	 1.090	444	  7	lasso	 0.52184	7.31e-26	 0.94521	0.344554
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000106771.8.wgt.RDat	TMEM245	9	1.12e+08	1.12e+08	0.1970	rs7852279	 3.20	rs1541093	-0.006689	-3.86	 0.123	608	 44	enet	 0.03129	1.68e-02	 1.64445	0.100083
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000106853.12.wgt.RDat	PTGR1	9	1.14e+08	1.14e+08	0.3605	rs17268809	-2.70	rs10759502	 0.077842	-5.17	 0.732	498	 33	enet	 0.13040	3.12e-06	-0.16803	0.866561
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000106868.12.wgt.RDat	SUSD1	9	1.15e+08	1.15e+08	0.3076	rs7041597	-2.66	rs6477887	 0.120253	-5.12	-0.877	487	487	blup	 0.15306	4.06e-07	 0.77095	0.440734
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000106952.3.wgt.RDat	TNFSF8	9	1.18e+08	1.18e+08	0.2703	rs10982551	-3.08	rs12340324	-0.002615	-3.92	-0.447	624	624	blup	 0.03899	8.62e-03	-0.50285	0.615072
Artery_Coronary	./GTEx_v7/Artery_Coronary/Artery_Coronary.ENSG00000107020.5.wgt.RDat	PLGRKT	9	5.36e+06	5.44e+06	0.3754	rs11790918	-3.59	rs2381277	 0.185732	 5.87	-0.306	444	  4	lasso	 0.15817	2.55e-07	-0.23811	0.811794
