PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Artery_Tibial	./GTEx_v7/Artery_Tibial/Artery_Tibial.ENSG00000003249.9.wgt.RDat	DBNDD1	16	90071273	90086451	0.5022	rs101151	-2.39	rs1805007	 0.205554	  8.98	 0.8230	278	 55	enet	 0.328355	2.26e-35	 3.10e-02	0.97524
Artery_Tibial	./GTEx_v7/Artery_Tibial/Artery_Tibial.ENSG00000005187.7.wgt.RDat	ACSM3	16	20621565	20807446	0.1015	rs9935655	-2.36	rs4603548	 0.000546	 -4.10	-0.8650	397	397	blup	 0.029261	4.26e-04	-3.81e-02	0.96964
Artery_Tibial	./GTEx_v7/Artery_Tibial/Artery_Tibial.ENSG00000005189.15.wgt.RDat	AC004381.6	16	20817999	20860987	0.0955	rs9935655	-2.36	rs11647589	 0.005760	 -3.75	-0.6750	392	392	blup	 0.010463	2.47e-02	-7.15e-01	0.47488
Artery_Tibial	./GTEx_v7/Artery_Tibial/Artery_Tibial.ENSG00000005194.10.wgt.RDat	CIAPIN1	16	57462081	57481348	0.1280	rs13332223	 3.45	rs6499871	 0.009919	  4.10	-0.9630	582	  5	lasso	 0.009062	3.39e-02	-6.85e-01	0.49350
Artery_Tibial	./GTEx_v7/Artery_Tibial/Artery_Tibial.ENSG00000005513.9.wgt.RDat	SOX8	16	 1031808	 1036979	0.1467	rs753357	 3.17	rs500492	 0.012931	  4.53	 0.7540	450	450	blup	 0.038290	6.30e-05	 1.46e+00	0.14365
Artery_Tibial	./GTEx_v7/Artery_Tibial/Artery_Tibial.ENSG00000008517.12.wgt.RDat	IL32	16	 3115298	 3131908	0.3257	rs2285675	 2.64	rs10438593	 0.156465	 -7.80	 1.9595	374	  8	lasso	 0.150246	1.53e-15	-1.94e+00	0.05255
Artery_Tibial	./GTEx_v7/Artery_Tibial/Artery_Tibial.ENSG00000008710.13.wgt.RDat	PKD1	16	 2138717	 2185899	0.1396	rs17135510	-1.94	rs6600203	-0.002431	  3.48	-0.9530	365	365	blup	 0.028233	5.29e-04	 3.54e-05	0.99997
Artery_Tibial	./GTEx_v7/Artery_Tibial/Artery_Tibial.ENSG00000011638.6.wgt.RDat	TMEM159	16	21169698	21191937	0.1185	rs3103810	 2.30	rs7185682	 0.044767	  4.97	-1.6340	272	  6	lasso	 0.025716	9.04e-04	-2.09e+00	0.03688
Artery_Tibial	./GTEx_v7/Artery_Tibial/Artery_Tibial.ENSG00000040199.14.wgt.RDat	PHLPP2	16	71678654	71758604	0.2516	rs16971009	-3.19	rs2334877	 0.120607	  7.30	 0.3940	439	 18	enet	 0.148028	2.54e-15	 7.04e-02	0.94388
Artery_Tibial	./GTEx_v7/Artery_Tibial/Artery_Tibial.ENSG00000047578.8.wgt.RDat	KIAA0556	16	27561473	27791690	0.1069	rs11646703	-3.29	rs7191516	 0.014253	 -3.99	 0.8940	495	495	blup	 0.022277	1.88e-03	-9.27e-01	0.35391
