PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Breast_Mammary_Tissue	./GTEx_v7/Breast_Mammary_Tissue/Breast_Mammary_Tissue.ENSG00000007080.6.wgt.RDat	CCDC124	19	18043825	18054800	0.2969	rs885683	 3.48	rs4808722	 0.119689	  5.69	 0.187	428	  4	lasso	 0.156850	4.88e-11	 0.121890	0.90299
Breast_Mammary_Tissue	./GTEx_v7/Breast_Mammary_Tissue/Breast_Mammary_Tissue.ENSG00000007129.13.wgt.RDat	CEACAM21	19	42055886	42093197	0.4183	rs10407348	 3.19	rs2302188	 0.137584	 -7.45	 0.335	318	  7	lasso	 0.251079	1.62e-17	 0.604784	0.54532
Breast_Mammary_Tissue	./GTEx_v7/Breast_Mammary_Tissue/Breast_Mammary_Tissue.ENSG00000008382.11.wgt.RDat	MPND	19	 4343524	 4360083	0.1297	rs1138253	-2.92	rs8104459	 0.013759	 -3.66	 1.325	370	370	blup	 0.036679	1.37e-03	 0.108425	0.91366
Breast_Mammary_Tissue	./GTEx_v7/Breast_Mammary_Tissue/Breast_Mammary_Tissue.ENSG00000011485.10.wgt.RDat	PPP5C	19	46850251	46896238	0.2696	rs713411	 3.29	rs4802307	 0.025697	 -4.72	 1.075	413	  9	lasso	 0.069096	1.52e-05	-2.191870	0.02839
Breast_Mammary_Tissue	./GTEx_v7/Breast_Mammary_Tissue/Breast_Mammary_Tissue.ENSG00000011590.9.wgt.RDat	ZBTB32	19	36195429	36207940	0.2432	rs7254211	 3.65	rs107068	 0.143941	  6.37	-1.201	446	 14	enet	 0.085026	1.63e-06	-1.237996	0.21572
Breast_Mammary_Tissue	./GTEx_v7/Breast_Mammary_Tissue/Breast_Mammary_Tissue.ENSG00000012124.10.wgt.RDat	CD22	19	35810164	35838258	0.2206	rs7254211	 3.65	rs10411704	 0.148815	  6.17	-0.754	493	  3	lasso	 0.147977	1.84e-10	-0.825733	0.40896
Breast_Mammary_Tissue	./GTEx_v7/Breast_Mammary_Tissue/Breast_Mammary_Tissue.ENSG00000021488.8.wgt.RDat	SLC7A9	19	33321415	33360672	0.4329	rs7253808	 2.50	rs17272274	 0.146763	  6.81	-0.106	421	  7	lasso	 0.238691	1.27e-16	-0.242908	0.80808
Breast_Mammary_Tissue	./GTEx_v7/Breast_Mammary_Tissue/Breast_Mammary_Tissue.ENSG00000022556.11.wgt.RDat	NLRP2	19	55464498	55512510	0.2592	rs11878562	 3.25	rs269913	 0.098374	  5.11	-0.790	482	  4	lasso	 0.056502	8.74e-05	-0.072796	0.94197
Breast_Mammary_Tissue	./GTEx_v7/Breast_Mammary_Tissue/Breast_Mammary_Tissue.ENSG00000037757.9.wgt.RDat	MRI1	19	13875346	13884981	0.5767	rs12971679	 2.26	rs371671	 0.285314	 -8.48	 0.767	331	 51	enet	 0.307922	8.26e-22	 0.071394	0.94308
Breast_Mammary_Tissue	./GTEx_v7/Breast_Mammary_Tissue/Breast_Mammary_Tissue.ENSG00000062370.12.wgt.RDat	ZNF112	19	44830708	44871377	0.1060	rs3208856	-3.35	rs1582	 0.029871	  4.08	-0.251	449	  2	lasso	 0.022196	1.05e-02	-0.236852	0.81277
