PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000022976.11.wgt.RDat	ZNF839	14	1.03e+08	1.03e+08	0.244	rs8003511	-2.33	rs11624389	-0.00310	 3.70	-0.934	343	343	blup	0.03046	3.77e-02	-0.5925	0.5535
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000042317.12.wgt.RDat	SPATA7	14	8.89e+07	8.89e+07	0.598	rs411418	 2.21	rs2401751	 0.44111	-7.66	-0.384	465	  6	lasso	0.49607	5.53e-18	 0.4273	0.6691
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000092020.6.wgt.RDat	PPP2R3C	14	3.56e+07	3.56e+07	0.220	rs3138045	-2.35	rs12100841	 0.16368	-4.36	 0.401	367	  1	lasso	0.10868	2.57e-04	-0.4010	0.6884
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000092036.12.wgt.RDat	HAUS4	14	2.34e+07	2.34e+07	0.479	rs226998	-2.69	rs1043209	 0.14893	 4.73	 1.315	572	 37	enet	0.15598	1.16e-05	 0.9949	0.3198
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000092094.6.wgt.RDat	OSGEP	14	2.09e+07	2.09e+07	0.794	rs949937	-2.87	rs883037	 0.53574	-7.86	-0.014	656	  5	enet	0.56088	3.08e-21	 0.0470	0.9625
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000092203.9.wgt.RDat	TOX4	14	2.19e+07	2.20e+07	0.317	rs4982507	-3.17	rs6571850	 0.00175	-3.96	-0.564	562	  6	lasso	0.00943	1.56e-01	 0.0971	0.9227
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000100483.9.wgt.RDat	VCPKMT	14	5.06e+07	5.06e+07	0.178	rs10162482	-2.77	rs7493306	 0.03566	-3.83	-0.022	352	352	blup	0.09948	4.64e-04	 0.7146	0.4749
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000100564.4.wgt.RDat	PIGH	14	6.80e+07	6.81e+07	0.491	rs1609998	-2.19	rs4899212	 0.06400	 4.26	-1.097	368	 15	enet	0.16625	5.84e-06	-1.8933	0.0583
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000100567.8.wgt.RDat	PSMA3	14	5.87e+07	5.87e+07	0.291	rs17093978	 3.38	rs8022761	 0.04641	 3.78	-0.802	419	  5	lasso	0.06765	3.51e-03	 0.0894	0.9287
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000100593.13.wgt.RDat	ISM2	14	7.79e+07	7.80e+07	0.348	rs11846597	 2.88	rs3742728	 0.03249	-4.09	-0.745	594	  8	lasso	0.08365	1.27e-03	 0.2186	0.8269
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000100678.14.wgt.RDat	SLC8A3	14	7.05e+07	7.07e+07	0.264	rs17765431	 3.41	rs17175346	 0.04480	 4.75	-0.006	524	  9	lasso	0.02685	4.78e-02	 0.5359	0.5920
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000100814.13.wgt.RDat	CCNB1IP1	14	2.08e+07	2.08e+07	0.470	rs949937	-2.87	rs10134743	 0.21094	-5.86	 1.134	615	  3	lasso	0.23666	4.27e-08	-1.0280	0.3039
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000100890.11.wgt.RDat	KIAA0391	14	3.56e+07	3.57e+07	0.348	rs3138045	-2.35	rs17509929	 0.02792	-4.40	 0.844	367	367	blup	0.14709	2.10e-05	-1.1264	0.2600
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000119636.11.wgt.RDat	CCDC176	14	7.45e+07	7.45e+07	0.140	rs11845461	 2.68	rs7153587	 0.09230	 3.94	-1.780	397	  7	lasso	0.06325	4.64e-03	-1.7722	0.0764
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000119682.12.wgt.RDat	AREL1	14	7.51e+07	7.52e+07	0.278	rs11845461	 2.68	rs3213716	 0.00120	-3.47	-0.510	343	343	blup	0.06699	3.66e-03	 0.2481	0.8041
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000119685.15.wgt.RDat	TTLL5	14	7.61e+07	7.64e+07	0.252	rs4145500	 2.50	rs12884801	-0.00627	-3.85	 1.173	455	455	blup	0.03283	3.24e-02	-0.9236	0.3557
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000119698.7.wgt.RDat	PPP4R4	14	9.46e+07	9.47e+07	0.525	rs11627806	-2.54	rs12436825	 0.21816	-5.40	-0.120	759	  6	lasso	0.21232	2.44e-07	 0.0312	0.9751
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000119703.12.wgt.RDat	ZC2HC1C	14	7.55e+07	7.55e+07	0.206	rs4145500	 2.50	rs175505	 0.09659	-4.60	 0.528	419	  2	lasso	0.12554	8.64e-05	-0.5015	0.6160
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000119705.5.wgt.RDat	SLIRP	14	7.82e+07	7.82e+07	0.345	rs11846597	 2.88	rs2287379	-0.00900	 3.57	 0.386	640	640	blup	0.06357	4.55e-03	-0.0934	0.9256
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000119718.6.wgt.RDat	EIF2B2	14	7.55e+07	7.55e+07	0.326	rs4145500	 2.50	rs175016	 0.09392	-4.25	-0.229	413	413	blup	0.10402	3.47e-04	 0.1056	0.9159
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000126775.8.wgt.RDat	ATG14	14	5.58e+07	5.59e+07	0.332	rs8003279	-3.01	rs2274273	 0.16467	 5.05	-2.776	437	437	blup	0.21683	1.77e-07	-1.7738	0.0761
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000126790.7.wgt.RDat	L3HYPDH	14	5.99e+07	6.00e+07	0.387	rs1271513	 2.15	rs1268584	 0.23870	-5.83	 1.104	458	  6	lasso	0.24775	1.90e-08	-1.0206	0.3075
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000129480.8.wgt.RDat	DTD2	14	3.19e+07	3.19e+07	0.493	rs1278951	-2.50	rs17662127	 0.20089	-5.01	 0.940	321	  8	lasso	0.12482	9.05e-05	-0.6633	0.5071
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000129484.9.wgt.RDat	PARP2	14	2.08e+07	2.08e+07	0.248	rs949937	-2.87	rs2210191	-0.00822	-3.28	 0.735	622	622	blup	0.03544	2.73e-02	 0.9770	0.3286
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000136319.7.wgt.RDat	TTC5	14	2.07e+07	2.08e+07	0.399	rs949937	-2.87	rs10130942	 0.00442	-3.66	 1.578	609	609	blup	0.03002	3.88e-02	-1.4930	0.1354
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000139899.6.wgt.RDat	CBLN3	14	2.49e+07	2.49e+07	0.679	rs743272	-2.61	rs2255591	 0.25524	-5.35	 1.430	558	 11	lasso	0.26055	7.33e-09	-1.7727	0.0763
Brain_Putamen_basal_ganglia	./GTEx_v7/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.ENSG00000139910.15.wgt.RDat	NOVA1	14	2.69e+07	2.71e+07	0.271	rs4127782	-2.67	rs1956030	 0.00137	 3.39	-1.305	422	  5	lasso	0.06177	5.09e-03	-0.0360	0.9713
