PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000004468.8.wgt.RDat	CD38	4	1.58e+07	1.59e+07	0.4002	rs11730743	 4.00	rs4257648	 8.82e-02	 5.20	 1.315	556	 47	enet	0.15673	1.37e-09	 0.84957	0.39556
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000013288.4.wgt.RDat	MAN2B2	4	6.58e+06	6.63e+06	0.3265	rs4495116	-3.71	rs4689486	 2.12e-01	-6.76	 1.219	530	  3	lasso	0.20267	3.40e-12	-1.22453	0.22075
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000013810.14.wgt.RDat	TACC3	4	1.72e+06	1.75e+06	0.2727	rs12641597	 2.49	rs1374468	 8.75e-02	-5.06	 1.209	271	  7	lasso	0.12662	6.01e-08	-0.61695	0.53727
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000018189.8.wgt.RDat	RUFY3	4	7.16e+07	7.17e+07	0.2012	rs35651479	 2.31	rs16845383	 4.37e-03	 3.29	-0.537	390	390	blup	0.03423	3.98e-03	 0.29841	0.76539
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000033178.8.wgt.RDat	UBA6	4	6.85e+07	6.86e+07	0.1161	rs353172	-2.08	rs354864	 9.06e-02	-4.90	-0.841	402	  2	lasso	0.06946	6.08e-05	 1.00395	0.31540
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000038002.4.wgt.RDat	AGA	4	1.78e+08	1.78e+08	0.6955	rs10013040	 2.92	rs4690522	 3.94e-01	-9.17	-0.294	444	 14	lasso	0.38727	2.44e-24	 0.07758	0.93816
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000038210.9.wgt.RDat	PI4K2B	4	2.52e+07	2.53e+07	0.2243	rs6448309	-3.22	rs313548	-4.75e-03	 4.15	 0.666	549	549	blup	0.04306	1.39e-03	 0.41706	0.67663
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000053900.6.wgt.RDat	ANAPC4	4	2.54e+07	2.54e+07	0.3649	rs6448309	-3.22	rs10027814	 3.45e-01	 8.89	 0.317	542	 10	lasso	0.35818	3.31e-22	 0.66747	0.50447
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000059691.7.wgt.RDat	PET112	4	1.53e+08	1.53e+08	0.2254	rs4504229	 2.77	rs4696290	 1.31e-01	-6.10	-0.950	392	  5	lasso	0.14714	4.63e-09	 1.18963	0.23419
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000068078.13.wgt.RDat	FGFR3	4	1.80e+06	1.81e+06	0.3252	rs1183191	-4.07	rs798766	 1.43e-01	 6.13	 0.879	278	  4	lasso	0.27657	1.07e-16	 0.60036	0.54827
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000070190.8.wgt.RDat	DAPP1	4	1.01e+08	1.01e+08	0.1704	rs2228694	 2.19	rs919133	 9.15e-03	-4.39	 2.060	459	459	blup	0.06182	1.51e-04	-0.78690	0.43134
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000072832.10.wgt.RDat	CRMP1	4	5.75e+06	5.89e+06	0.3163	rs4495116	-3.71	rs3755851	 4.02e-02	 5.23	-0.508	761	  9	lasso	0.08196	1.37e-05	-0.30175	0.76285
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000074211.9.wgt.RDat	PPP2R2C	4	6.32e+06	6.57e+06	0.3911	rs4495116	-3.71	rs10937739	 2.35e-01	-7.18	 0.021	533	  3	lasso	0.21561	5.92e-13	-0.16994	0.86505
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000084092.6.wgt.RDat	NOA1	4	5.78e+07	5.78e+07	0.1897	rs973031	 3.37	rs1625691	 1.14e-01	-5.65	 0.923	546	  3	lasso	0.12902	4.47e-08	-1.08080	0.27978
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000084093.11.wgt.RDat	REST	4	5.78e+07	5.78e+07	0.1564	rs973031	 3.37	rs7684253	 2.56e-02	-4.15	 0.128	530	 14	enet	0.04216	1.55e-03	-0.31892	0.74979
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000087008.11.wgt.RDat	ACOX3	4	8.37e+06	8.44e+06	0.2638	rs13125250	 3.04	rs7809	 3.87e-02	-4.12	-0.621	496	  9	lasso	0.07172	4.65e-05	 0.01417	0.98870
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000090316.11.wgt.RDat	MAEA	4	1.28e+06	1.33e+06	0.2464	rs12641597	 2.49	rs13149575	 3.08e-02	 5.30	-1.643	384	 26	enet	0.07763	2.30e-05	-1.25750	0.20857
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000109163.6.wgt.RDat	GNRHR	4	6.86e+07	6.86e+07	0.0849	rs353172	-2.08	rs353177	-3.81e-03	-3.43	-0.637	390	390	blup	0.02278	1.58e-02	 0.36306	0.71656
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000109180.10.wgt.RDat	OCIAD1	4	4.88e+07	4.89e+07	0.1089	rs309872	-2.14	rs2572350	 1.56e-01	-6.04	-0.680	219	  2	lasso	0.12271	9.75e-08	 0.68605	0.49268
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000109270.8.wgt.RDat	LAMTOR3	4	1.01e+08	1.01e+08	0.1113	rs2228694	 2.19	rs2276939	 9.27e-02	-5.40	 0.912	423	  7	enet	0.06423	1.13e-04	-0.82455	0.40963
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000109390.7.wgt.RDat	NDUFC1	4	1.40e+08	1.40e+08	0.1202	rs8192002	-3.28	rs11729130	 1.88e-02	-4.34	-1.343	406	406	blup	0.03753	2.69e-03	 0.59376	0.55267
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000109445.6.wgt.RDat	ZNF330	4	1.42e+08	1.42e+08	0.2226	rs2303414	 2.90	rs7672861	 9.09e-02	-6.03	-1.019	368	 13	enet	0.10743	6.34e-07	 0.14322	0.88611
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000109466.9.wgt.RDat	KLHL2	4	1.66e+08	1.66e+08	0.2769	rs10020142	-2.90	rs17585396	 1.31e-01	-5.97	 0.025	482	482	blup	0.11877	1.58e-07	-0.59480	0.55198
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000109576.9.wgt.RDat	AADAT	4	1.71e+08	1.71e+08	0.1540	rs2698217	 2.85	rs6822866	 6.41e-02	-4.21	 0.652	354	  8	lasso	0.04988	6.20e-04	-0.62627	0.53114
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000109654.10.wgt.RDat	TRIM2	4	1.54e+08	1.54e+08	0.2895	rs10032068	-2.39	rs11099878	-7.51e-04	-3.61	 0.531	448	448	blup	0.04357	1.31e-03	-0.02035	0.98376
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000109667.7.wgt.RDat	SLC2A9	4	9.77e+06	1.01e+07	0.2839	rs874079	 2.67	rs16868313	 1.16e-01	 5.86	 0.332	565	  4	lasso	0.12049	1.28e-07	 0.34551	0.72971
Esophagus_Gastroesophageal_Junction	./GTEx_v7/Esophagus_Gastroesophageal_Junction/Esophagus_Gastroesophageal_Junction.ENSG00000109689.10.wgt.RDat	STIM2	4	2.69e+07	2.70e+07	0.1321	rs7685249	 2.29	rs17578817	 1.82e-02	-3.51	 0.876	367	367	blup	0.04360	1.31e-03	 0.38001	0.70394
