ENSGID	GENE	CHR	STRAND	START	END	DESCRIPTION	GENE_BIOTYPE	MPP-001	MPP-003	MPP-004	MPP-006	MPP-008	MPP-009	MPP-012	MPP-013	MPP-015	MPP-016	MPP-018	MPP-020	MPP-021	MPP-024	MPP-025	MPP-027	MPP-029	MPP-030	MPP-031	MPP-033	MPP-034	MPP-036	MPP-037	MPP-038	MPP-039	MPP-040	MPP-041	MPP-042	MPP-043	MPP-047	MPP-048	MPP-049	MPP-050	MPP-051	MPP-054	MPP-055	MPP-057	MPP-058	MPP-060	MPP-061	MPP-062	MPP-064	MPP-065	MPP-067	MPP-069	MPP-071	MPP-073	MPP-075	MPP-076	MPP-079	MPP-080	MPP-082	MPP-084	MPP-085	MPP-088	MPP-090	MPP-092	MPP-093	MPP-094	MPP-095	MPP-096	MPP-097	MPP-098	MPP-099	MPP-101	MPP-102	MPP-104	MPP-105	MPP-107	MPP-108	MPP-110	MPP-112	MPP-113	MPP-114	MPP-116	MPP-119	MPP-120	MPP-121	MPP-122	MPP-123	MPP-125	MPP-126	MPP-128	MPP-129	MPP-130	MPP-131	MPP-132	MPP-134	MPP-135	MPP-136	MPP-137	MPP-138	MPP-139	MPP-141	MPP-142	MPP-143	MPP-145	MPP-146	MPP-147	MPP-148	MPP-151	MPP-153	MPP-154	MPP-155	MPP-156	MPP-157	MPP-158	MPP-159	MPP-160	MPP-162	MPP-163	MPP-165	MPP-166	MPP-169REP	MPP-170	MPP-171	MPP-172	MPP-173	MPP-174	MPP-177	MPP-178	MPP-180	MPP-182	MPP-183	MPP-184	MPP-185	MPP-188	MPP-189	MPP-190	MPP-192	MPP-193	MPP-194	MPP-196	MPP-197
ENSG00000010704	HFE	6	+	26087281	26098343	hemochromatosis [Source:HGNC Symbol;Acc:HGNC:4886]	protein_coding	1.838551	2.902479	2.552665	1.185905	2.401872	1.762072	3.301791	2.559657	2.912429	1.149667	2.238318	2.006461	3.431191	3.226016	2.975410	2.062471	3.080204	0.574324	2.106793	2.127161	2.274585	1.884783	2.094178	2.601621	2.558182	2.220747	1.909155	2.152406	1.915447	2.508649	3.502278	2.782690	2.019787	1.302391	2.832623	2.305414	2.891525	3.432417	2.501237	3.432582	2.789642	3.155624	2.413462	3.334785	2.143899	2.769766	1.882594	2.273037	2.029422	3.246081	2.639069	2.741486	2.391936	2.462674	2.699516	2.939907	1.898233	3.275160	1.374164	3.032811	2.753000	2.120272	2.836406	3.341276	2.187016	3.305807	2.326367	1.305228	2.487332	3.042131	1.010840	2.723464	1.842226	1.439818	2.339126	2.185481	1.158849	2.999459	2.952928	3.370842	3.458301	2.842724	2.169364	1.777496	3.127376	3.520640	2.063499	2.746068	3.488749	2.713192	2.670729	1.945346	3.901757	1.846967	3.489035	2.680926	2.422465	2.106067	4.273829	3.331548	3.371452	1.762220	3.420954	1.527726	2.864594	1.310622	2.679083	1.489771	3.085080	2.597014	3.817088	3.720169	1.257684	2.445494	2.336414	3.622152	2.918455	3.619581	3.449647	2.299153	2.543720	2.334909	3.028100	2.779158	3.480353	2.497323	2.948551	1.780213	1.426380	1.757760	2.271848	3.716539	2.053865	3.058061
ENSG00000168394	TAP1	6	-	32845209	32853978	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	protein_coding	72.520706	32.061527	76.599174	224.082687	42.540352	112.418663	55.721279	119.719124	32.926563	81.608368	57.245304	53.767124	40.492100	26.854483	28.924284	123.158333	59.726280	61.673275	71.564713	46.548199	43.529987	55.352993	47.761646	54.480774	39.639404	51.867340	57.467506	92.478546	104.275764	96.269279	48.799149	64.966980	87.656410	58.476135	88.303551	111.677200	63.211208	61.241524	27.115791	97.964020	86.935371	35.683056	83.686317	80.073082	62.668285	96.639748	144.400650	39.169483	140.370468	101.614563	30.388605	90.965240	46.896011	27.039492	71.701462	57.472614	55.271484	42.332886	69.563095	47.364429	28.605738	129.850845	57.475193	96.963264	82.452309	43.703045	85.038620	34.912132	49.916889	22.409887	18.711058	95.553017	35.072716	51.291672	62.087723	71.433289	75.859962	96.778419	33.302635	55.661797	43.138691	93.091026	57.727020	34.151169	133.771652	38.652512	28.320162	50.624729	34.870506	50.798786	62.785885	54.601906	38.111366	121.276741	80.814690	90.063065	57.379082	102.566589	58.817139	61.585636	52.699165	53.489838	55.629211	96.964180	89.449142	99.063622	61.828846	23.469210	134.052216	73.370682	42.791744	82.969673	31.095636	20.805305	46.818645	58.045086	113.610672	54.526203	83.718414	89.266640	85.344688	40.942623	55.733772	25.385983	24.612350	141.836182	35.673969	35.152443	31.653093	60.857265	120.487221	90.551414	40.324482	291.695190
ENSG00000179344	HLA-DQB1	6	-	32659467	32668383	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	protein_coding	5.849463	90.079247	92.889816	372.731689	5.781010	13.894185	6.167993	64.396179	111.996880	39.416218	67.150902	30.469765	19.390259	71.069092	24.500826	70.177765	43.519608	124.208733	11.188448	68.615547	8.165690	67.488602	17.427675	18.016180	1.229125	115.263680	3.694090	63.615402	29.723543	7.459254	8.545511	32.801609	41.264977	9.215771	59.415314	171.447876	125.487816	8.449841	6.602276	34.131252	0.653997	51.917507	36.365574	10.005888	5.932499	209.789505	2.893805	39.171368	12.740120	19.135490	32.111374	109.404762	63.951649	9.913260	30.350922	36.655415	11.469593	3.204564	35.636967	8.777864	25.124886	10.355308	23.155771	81.246330	10.561844	11.529129	80.692268	4.213582	4.099410	9.388990	6.548160	30.318184	5.028736	46.305752	9.778518	127.382111	87.909546	10.909234	8.334419	3.301609	67.316528	131.244766	11.070806	47.067387	42.524483	4.240358	8.232625	15.137660	6.755891	56.909054	3.626046	49.284058	35.399368	54.093258	1.987951	69.354446	12.670658	97.990166	64.869606	14.209973	36.552341	70.040184	33.708717	36.612743	106.930794	123.253601	79.895195	47.366943	30.089108	56.787525	57.142284	71.718712	3.238516	28.204254	48.073105	3.936860	124.556396	52.144554	150.304489	14.226631	79.204094	9.479944	61.551121	44.276882	24.143118	23.131622	6.049718	6.305780	34.474487	157.250107	21.437994	127.016479	87.417534	21.547930
ENSG00000181126	HLA-V	6	+	29790954	29797811	major histocompatibility complex, class I, V (pseudogene) [Source:HGNC Symbol;Acc:HGNC:23482]	transcribed_unprocessed_pseudogene	1.123366	0.140102	0.125341	0.077002	0.268882	0.536681	0.114740	0.067692	0.176904	0.398364	0.197586	0.237038	0.112614	0.108180	0.110225	0.136375	0.236761	0.484068	0.492450	0.276207	0.277191	0.321881	0.248672	0.093840	0.054792	0.085885	0.213592	0.189057	0.190907	0.199019	0.419440	0.099925	0.164158	0.278110	0.271715	0.133172	0.303945	0.294130	0.380176	0.693832	0.455395	0.088190	0.178192	0.232268	0.206769	0.129732	0.549294	0.198898	0.811942	0.050499	0.303413	0.264769	0.358019	0.245872	0.265931	0.106344	0.318188	0.202272	0.555056	0.440444	0.076956	0.319844	0.177609	0.331135	0.309546	0.275641	0.711019	0.624904	0.430211	0.158044	0.421947	0.218330	0.087074	0.193261	0.287052	0.215811	0.396700	0.355454	0.113375	0.325779	0.806513	0.552072	0.256453	0.189888	0.352442	0.172723	0.853807	2.291702	0.243859	0.182040	0.084682	0.524468	0.168702	0.108088	0.158844	0.169619	0.203219	0.156483	0.275206	0.394521	0.269414	0.099463	0.510570	0.270621	0.187856	0.250455	0.520732	0.091655	0.195209	0.305738	0.240321	0.142285	0.065951	0.148107	0.245481	0.129898	0.289564	0.379698	0.071198	0.807428	0.250317	0.371195	0.315885	0.105110	0.088544	0.052773	0.185464	0.086053	0.155642	0.276642	0.277515	0.406356	0.117900	1.049554
ENSG00000196126	HLA-DRB1	6	-	32578769	32589848	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	protein_coding	57.021046	192.854095	249.118866	662.706909	43.996891	233.025635	55.018959	142.275879	290.400482	64.044029	163.028488	133.840485	140.854080	167.566315	45.348225	247.456421	114.256454	311.992340	186.131287	173.303223	99.815025	95.256416	122.584778	147.405182	53.451385	258.306549	67.758987	255.805817	76.858719	130.593124	98.925819	114.134583	209.591690	75.627052	142.644867	561.109375	361.243011	96.152588	31.124823	329.613464	45.705193	82.564102	172.594193	142.991089	95.591492	656.027771	38.675068	101.171097	203.447815	226.854538	102.139008	188.497604	90.488281	115.982109	243.830856	132.848175	95.193535	54.210072	114.886345	131.770264	40.896549	220.310150	176.968536	141.137177	148.932556	120.790573	180.173676	116.854225	99.262596	37.271378	29.648466	99.997543	72.032204	84.460022	108.958138	223.973358	126.743668	186.756912	105.181206	96.483841	106.830597	355.735352	138.881409	98.681679	231.460999	102.788155	84.267784	139.349396	61.426430	178.442719	87.477768	113.999023	79.569542	586.513000	122.279846	157.855576	96.770935	287.409851	185.063660	139.904144	123.142883	62.791603	166.385605	157.578751	294.344513	427.197876	245.445496	132.075073	274.716003	192.512192	93.696571	301.314026	58.513920	78.401474	97.550034	44.081333	236.703613	89.574173	387.140076	190.892136	217.007858	97.340988	124.873833	122.020981	37.992218	262.793152	78.490379	96.595924	160.622437	298.430847	199.133453	429.132416	216.666336	223.255020
ENSG00000196301	HLA-DRB9	6	-	32459821	32473500	major histocompatibility complex, class II, DR beta 9 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4957]	unprocessed_pseudogene	0.691975	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.262781	0.000000	0.000000	0.390963	0.160199	0.456899	0.0	0.000000	0.257844	0.000000	0.000000	0.000000	0.000000	0.122906	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.234001	0.0	0.0	0.0	0.0	0.000000	0.720737	0.690916	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.324375	0.000000	0.000000	0.208416	0.000000	0.000000	0.000000	0.000000	0.216426	0.000000	0.496158	0.000000	0.000000	0.446027	0.000000	0.000000	0.098984	0.149490	0.0	0.000000	0.000000	0.0	0.000000	0.244752	0.0	0.000000	0.257083	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.515355	0.214309	0.0	0.303263	0.0	0.0	0.000000	0.000000	0.354537	0.000000	0.000000	0.211522	0.141402	0.000000	0.000000	0.000000	0.000000	0.364168	0.0	0.000000	0.0	0.0	0.237970	0.000000	0.0	0.000000
ENSG00000196735	HLA-DQA1	6	+	32628179	32647062	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	protein_coding	11.436475	14.009465	20.267889	90.417404	4.797005	15.625242	4.055030	16.973143	17.380241	9.559952	11.947283	10.307167	13.462317	5.820382	5.971523	23.531803	10.958868	19.266378	8.787079	11.753019	15.196542	21.498428	9.506137	13.964117	2.117965	26.162058	3.752841	12.033234	14.011581	11.752563	10.847140	12.076988	21.597561	4.111724	19.524282	30.092978	34.235703	10.508566	3.149537	39.337414	3.685765	8.322977	14.945750	11.353171	3.819946	62.379807	2.169729	6.559157	11.185966	18.890663	4.327378	32.384724	12.542768	8.249599	12.883203	7.435468	7.335902	4.347319	6.306094	12.151513	4.969364	16.392391	22.927092	17.535732	11.030171	8.934978	26.166668	6.380986	7.046536	4.302433	1.950075	15.110046	6.353136	8.496083	11.463510	16.293533	26.950026	18.434990	7.075097	6.427130	11.490929	24.639084	11.432582	8.928083	40.947063	7.118834	6.158007	19.307560	6.712666	17.719435	3.242312	10.444004	6.623209	36.871723	2.103341	12.920377	12.910318	24.761122	17.904711	10.754196	7.192521	9.808170	16.211418	16.714514	24.575298	37.411808	13.393888	9.749092	44.009140	10.325535	15.496649	19.245312	2.211734	6.991742	9.195320	3.539621	47.742741	14.075118	62.986301	18.844059	19.039013	10.461868	11.233451	8.755796	3.186911	18.226528	4.133073	7.091508	2.341302	31.986635	17.516798	65.138992	18.648582	29.053490
ENSG00000198502	HLA-DRB5	6	-	32517343	32530287	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]	protein_coding	62.783012	145.876663	207.877991	143.900848	41.135284	104.222466	41.876671	56.332470	297.359497	11.234998	24.078566	33.349037	120.350937	132.536621	6.678232	46.492718	30.229740	265.016846	68.245239	106.839607	40.614944	37.125004	40.594429	41.678139	8.236257	159.025177	27.043934	157.809128	43.079880	62.650673	46.281742	74.004654	158.674789	36.623238	61.383091	475.894196	245.663071	44.509800	17.651785	328.349609	31.917797	17.781586	53.264896	64.897636	22.558435	460.858948	31.172337	69.216316	90.765594	72.400536	18.382904	77.853554	46.133995	46.170513	151.014374	76.786461	38.007397	43.692493	52.316265	29.488554	8.841474	65.199318	64.372734	68.555916	35.266289	51.127480	72.522438	41.263535	66.392517	17.549114	12.127666	17.919167	21.981159	24.853035	82.242928	106.585167	51.996006	118.536362	27.782158	91.129997	18.887232	223.610367	33.043194	17.380978	142.656662	22.038462	33.059639	128.665619	11.761490	134.348877	57.060768	72.791092	42.578957	145.971390	20.651026	125.354225	47.687599	169.925491	138.328354	66.119583	61.484554	10.420962	43.140373	66.034981	279.663757	321.840820	136.372833	66.579376	151.257797	149.026291	21.362238	201.395447	9.524055	34.076435	14.090449	35.011391	120.240883	42.671314	274.882080	56.815159	160.316803	73.143707	82.392647	99.247154	11.876929	123.384377	24.096420	29.823454	9.507976	166.656830	76.079361	309.933624	73.728828	218.198380
ENSG00000204252	HLA-DOA	6	-	33004178	33009612	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	protein_coding	4.334172	4.572429	7.956069	25.299074	4.406034	4.888219	4.127668	6.263462	5.180887	2.515151	5.117837	7.499667	3.884821	0.780422	1.997275	16.151724	3.952409	4.407818	9.411496	3.389100	8.056649	5.163513	4.253223	4.751576	2.111642	6.992716	4.044944	8.577518	5.264139	10.271547	6.625660	5.621223	4.728566	1.813769	8.626726	12.674947	9.333972	3.133996	1.833908	13.420591	1.639971	3.760053	5.534020	5.528178	3.382435	23.155384	1.217042	2.387401	13.443229	7.780984	2.295765	9.009259	3.318160	1.943582	4.598023	2.818478	4.568578	2.423365	2.084808	5.655591	2.818279	7.366803	6.285436	5.805230	6.503444	4.741730	7.141320	5.203947	3.404931	2.375138	0.812204	6.725271	4.235561	3.962689	4.500767	4.586198	7.278518	14.600150	3.058682	1.888260	4.077048	12.810890	3.564785	3.491219	18.413872	4.264531	2.074836	13.727936	3.753559	5.572974	3.516733	4.070964	2.067518	12.855364	3.992508	3.874364	6.927415	5.698251	5.593420	7.647848	1.803544	3.556733	7.104349	8.140389	10.153979	16.011204	4.419468	4.902555	21.353336	5.596800	6.291354	11.182022	2.345711	2.457780	4.815114	2.413506	17.190800	5.268497	19.377872	6.524766	7.226012	5.247689	5.273845	2.537162	1.683488	13.886560	1.363536	3.895740	2.306937	9.320635	7.752485	19.717894	3.880308	19.258913
ENSG00000204257	HLA-DMA	6	-	32948613	32969094	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	protein_coding	25.839117	25.046726	59.569183	132.291794	21.131943	52.800644	25.120003	42.961369	31.565388	19.586618	39.266201	30.777802	25.095516	33.290447	17.342207	53.009235	29.817814	44.789474	45.367924	24.403435	30.151308	25.762041	28.617603	33.360500	18.430279	50.505959	26.995626	45.044209	26.266054	43.317356	31.921879	35.847576	31.092905	19.462902	34.134190	96.954208	51.221584	29.023817	11.250175	61.615330	22.067430	22.012430	40.420219	42.051857	22.195747	91.638840	17.146654	27.094288	60.554935	52.237747	24.590033	50.427006	33.582848	22.392439	42.023865	31.819487	25.549992	26.413799	25.541182	35.284157	15.439972	48.189098	36.835266	39.017254	28.881769	30.931015	44.852360	38.005558	32.211712	15.298290	13.322942	35.327732	23.769846	25.399506	39.515148	35.433044	29.712900	66.952690	25.790695	37.429863	23.975765	55.245655	29.889162	23.955008	74.964973	24.757774	16.911737	48.142601	17.242540	38.684738	35.472588	36.967457	18.192514	76.523476	32.667313	26.112162	33.675793	44.090572	34.233330	34.840794	17.245802	17.345568	31.461519	48.061710	55.783688	73.423409	32.506851	19.140995	76.296677	39.519226	20.962215	47.487202	16.134796	12.783567	31.955963	21.535816	61.601906	29.194206	53.806084	49.806458	40.594894	28.042795	28.520979	24.180643	15.076709	65.654770	19.198248	32.528557	47.736038	45.073990	44.929546	67.826012	50.236794	99.262901
