PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000018699.7.wgt.RDat	TTC27	2	3.29e+07	3.30e+07	0.367	rs1454312	 2.954	rs13029809	 0.06854	-4.46	 0.271	423	 19	enet	0.14174	1.92e-04	-0.8901	0.37339
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000023228.9.wgt.RDat	NDUFS1	2	2.07e+08	2.07e+08	0.469	rs11901486	 3.419	rs4147711	 0.12582	-4.52	 0.770	420	 40	enet	0.18341	2.08e-05	-0.4824	0.62951
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000054219.9.wgt.RDat	LY75	2	1.61e+08	1.61e+08	0.299	rs4665145	-4.101	rs3806603	 0.08572	-4.08	-2.377	445	445	blup	0.07837	4.98e-03	 2.4470	0.01441
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000065548.13.wgt.RDat	ZC3H15	2	1.87e+08	1.87e+08	0.591	rs16827624	-2.815	rs13407063	-0.00486	 3.02	-0.759	293	 28	enet	0.01123	1.63e-01	-2.6691	0.00761
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000068024.12.wgt.RDat	HDAC4	2	2.40e+08	2.40e+08	0.437	rs1564974	-3.145	rs6743929	-0.01141	 3.42	-2.909	517	517	blup	0.04925	2.19e-02	-1.1209	0.26233
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000068654.11.wgt.RDat	POLR1A	2	8.62e+07	8.63e+07	0.349	rs308904	 1.938	rs2367202	 0.27407	-5.07	 0.962	459	  5	lasso	0.24422	6.86e-07	-1.1312	0.25799
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000071967.7.wgt.RDat	CYBRD1	2	1.72e+08	1.72e+08	0.532	rs12474993	-2.875	rs2542943	 0.07765	-4.80	 0.882	355	  6	lasso	0.25331	4.04e-07	-0.3114	0.75550
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000080345.13.wgt.RDat	RIF1	2	1.52e+08	1.52e+08	0.293	rs4592848	 2.510	rs4665150	 0.05280	-4.00	-0.468	400	400	blup	0.14007	2.10e-04	-0.6669	0.50485
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000082258.8.wgt.RDat	CCNT2	2	1.36e+08	1.36e+08	0.271	rs16830706	 3.271	rs515983	 0.11231	 3.82	-1.887	369	  4	lasso	0.07686	5.38e-03	-1.1115	0.26635
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000115041.8.wgt.RDat	KCNIP3	2	9.60e+07	9.61e+07	0.120	rs1808357	-1.290	rs872580	 0.06974	 3.48	 0.348	119	119	blup	0.05604	1.55e-02	 0.3801	0.70389
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000115053.11.wgt.RDat	NCL	2	2.32e+08	2.32e+08	0.406	rs7599715	 2.736	rs7592642	-0.01005	-3.24	 0.261	378	378	blup	0.06281	1.10e-02	 0.8849	0.37623
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000115234.6.wgt.RDat	SNX17	2	2.76e+07	2.76e+07	0.242	rs2384629	-2.008	rs3817588	 0.03683	-3.59	 1.337	303	303	blup	0.07414	6.18e-03	-0.8052	0.42070
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000115350.7.wgt.RDat	POLE4	2	7.52e+07	7.52e+07	0.466	rs6705417	 3.220	rs4366930	-0.01006	-3.52	-0.587	469	469	blup	0.07011	7.58e-03	 0.4107	0.68128
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000115355.11.wgt.RDat	CCDC88A	2	5.55e+07	5.56e+07	0.407	rs7577894	-2.689	rs6759911	 0.06378	-3.97	 0.475	451	  5	lasso	0.06047	1.24e-02	-0.0210	0.98325
Brain_Amygdala	./GTEx_v7/Brain_Amygdala/Brain_Amygdala.ENSG00000115364.9.wgt.RDat	MRPL19	2	7.59e+07	7.59e+07	0.594	rs10168354	 2.577	rs10165899	 0.40228	-6.27	-1.091	535	  1	lasso	0.36792	2.87e-10	 1.0910	0.27527
