PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Esophagus_Muscularis	./GTEx_v7/Esophagus_Muscularis/Esophagus_Muscularis.ENSG00000141956.9.wgt.RDat	PRDM15	21	43218385	43299591	0.4614	rs6586304	 3.92	rs9983923	 0.117872	  6.74	 1.351	783	 11	lasso	0.25685	2.05e-23	 1.58511	0.11294
Esophagus_Muscularis	./GTEx_v7/Esophagus_Muscularis/Esophagus_Muscularis.ENSG00000141959.12.wgt.RDat	PFKL	21	45719934	45747259	0.2387	rs582152	 4.33	rs3761392	 0.115998	 -6.44	 0.493	487	  4	lasso	0.10988	3.14e-10	-0.16218	0.87116
Esophagus_Muscularis	./GTEx_v7/Esophagus_Muscularis/Esophagus_Muscularis.ENSG00000142156.10.wgt.RDat	COL6A1	21	47401651	47424964	0.1714	rs2839108	 2.33	rs1053312	 0.068523	  6.48	-0.670	471	  3	lasso	0.10388	9.83e-10	-0.38794	0.69806
Esophagus_Muscularis	./GTEx_v7/Esophagus_Muscularis/Esophagus_Muscularis.ENSG00000142166.8.wgt.RDat	IFNAR1	21	34696734	34732168	0.1819	rs11701698	-2.89	rs9980664	 0.056909	 -5.39	 2.004	439	 15	enet	0.09886	2.55e-09	-2.09513	0.03616
Esophagus_Muscularis	./GTEx_v7/Esophagus_Muscularis/Esophagus_Muscularis.ENSG00000142185.12.wgt.RDat	TRPM2	21	45770046	45862964	0.1738	rs582152	 4.33	rs4818908	 0.035173	  5.18	 1.381	490	 26	enet	0.04976	2.31e-05	 2.14825	0.03169
Esophagus_Muscularis	./GTEx_v7/Esophagus_Muscularis/Esophagus_Muscularis.ENSG00000142188.12.wgt.RDat	TMEM50B	21	34804792	34852318	0.3358	rs11701698	-2.89	rs2834222	 0.292325	-10.25	-0.735	460	 40	enet	0.29185	6.42e-27	 0.63412	0.52600
Esophagus_Muscularis	./GTEx_v7/Esophagus_Muscularis/Esophagus_Muscularis.ENSG00000142192.16.wgt.RDat	APP	21	27252861	27543446	0.1905	rs458076	 3.75	rs2830076	 0.111475	  7.07	-1.460	513	  8	lasso	0.10422	9.22e-10	-1.32014	0.18679
Esophagus_Muscularis	./GTEx_v7/Esophagus_Muscularis/Esophagus_Muscularis.ENSG00000142207.5.wgt.RDat	URB1	21	33683329	33765335	0.2282	rs41441847	-2.44	rs915529	 0.036641	 -6.60	-0.072	487	  7	lasso	0.08975	1.41e-08	 0.39122	0.69563
Esophagus_Muscularis	./GTEx_v7/Esophagus_Muscularis/Esophagus_Muscularis.ENSG00000154719.9.wgt.RDat	MRPL39	21	26957968	26979829	0.3709	rs12483240	 2.23	rs9984734	 0.409061	-11.87	 1.340	378	 22	enet	0.42852	1.85e-42	-1.25421	0.20977
Esophagus_Muscularis	./GTEx_v7/Esophagus_Muscularis/Esophagus_Muscularis.ENSG00000154736.5.wgt.RDat	ADAMTS5	21	28290231	28338832	0.1134	rs458076	 3.75	rs2830666	 0.024361	  4.23	-0.022	680	  2	lasso	0.02537	2.04e-03	 0.40516	0.68536
