PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Skin_Sun_Exposed_Lower_leg	./GTEx_v7/Skin_Sun_Exposed_Lower_leg/Skin_Sun_Exposed_Lower_leg.ENSG00000006432.11.wgt.RDat	MAP3K9	14	7.12e+07	7.13e+07	0.1075	rs8016108	 2.45	rs12883168	 1.16e-02	 -4.28	 1.203	435	 23	enet	 0.025402	6.74e-04	-1.8793	6.02e-02
Skin_Sun_Exposed_Lower_leg	./GTEx_v7/Skin_Sun_Exposed_Lower_leg/Skin_Sun_Exposed_Lower_leg.ENSG00000009830.7.wgt.RDat	POMT2	14	7.77e+07	7.78e+07	0.3046	rs11846597	 2.88	rs2058916	 3.68e-02	  5.41	-0.508	549	  9	lasso	 0.119360	3.05e-13	-0.3506	7.26e-01
Skin_Sun_Exposed_Lower_leg	./GTEx_v7/Skin_Sun_Exposed_Lower_leg/Skin_Sun_Exposed_Lower_leg.ENSG00000011114.10.wgt.RDat	BTBD7	14	9.37e+07	9.38e+07	0.0786	rs2148562	 2.64	rs6575317	 5.39e-02	 -4.84	-0.100	410	  4	lasso	 0.044760	8.62e-06	 0.6750	5.00e-01
Skin_Sun_Exposed_Lower_leg	./GTEx_v7/Skin_Sun_Exposed_Lower_leg/Skin_Sun_Exposed_Lower_leg.ENSG00000012963.9.wgt.RDat	UBR7	14	9.37e+07	9.37e+07	0.0799	rs2148562	 2.64	rs7154324	 2.19e-03	  3.79	-1.604	382	382	blup	 0.021346	1.69e-03	-0.5016	6.16e-01
Skin_Sun_Exposed_Lower_leg	./GTEx_v7/Skin_Sun_Exposed_Lower_leg/Skin_Sun_Exposed_Lower_leg.ENSG00000013523.5.wgt.RDat	ANGEL1	14	7.73e+07	7.73e+07	0.2868	rs2980895	 3.27	rs8020289	 1.62e-01	 -8.24	-0.527	573	  4	lasso	 0.165047	4.60e-18	 0.3734	7.09e-01
Skin_Sun_Exposed_Lower_leg	./GTEx_v7/Skin_Sun_Exposed_Lower_leg/Skin_Sun_Exposed_Lower_leg.ENSG00000029364.7.wgt.RDat	SLC39A9	14	6.99e+07	6.99e+07	0.1046	rs11623375	-2.69	rs10132626	 3.72e-02	  4.58	-0.208	431	  4	lasso	 0.049017	3.31e-06	-0.2452	8.06e-01
Skin_Sun_Exposed_Lower_leg	./GTEx_v7/Skin_Sun_Exposed_Lower_leg/Skin_Sun_Exposed_Lower_leg.ENSG00000036530.4.wgt.RDat	CYP46A1	14	1.00e+08	1.00e+08	0.1977	rs1257269	-2.96	rs17643008	 8.28e-02	 -6.31	 1.486	444	  6	lasso	 0.089841	3.05e-10	-0.9665	3.34e-01
Skin_Sun_Exposed_Lower_leg	./GTEx_v7/Skin_Sun_Exposed_Lower_leg/Skin_Sun_Exposed_Lower_leg.ENSG00000042317.12.wgt.RDat	SPATA7	14	8.89e+07	8.89e+07	0.1792	rs411418	 2.21	rs3179969	 1.80e-01	 -8.72	-0.521	465	  3	lasso	 0.170315	1.23e-18	 0.4880	6.26e-01
Skin_Sun_Exposed_Lower_leg	./GTEx_v7/Skin_Sun_Exposed_Lower_leg/Skin_Sun_Exposed_Lower_leg.ENSG00000050130.13.wgt.RDat	JKAMP	14	6.00e+07	6.00e+07	0.1483	rs1271513	 2.15	rs17096221	 2.98e-02	  5.89	-1.084	460	  6	lasso	 0.086017	7.37e-10	-1.7141	8.65e-02
Skin_Sun_Exposed_Lower_leg	./GTEx_v7/Skin_Sun_Exposed_Lower_leg/Skin_Sun_Exposed_Lower_leg.ENSG00000053254.11.wgt.RDat	FOXN3	14	8.96e+07	9.01e+07	0.1814	rs243174	-2.75	rs7155435	 2.81e-05	  3.75	-0.221	513	 27	enet	 0.034123	9.42e-05	 0.7451	4.56e-01
