PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000019169.9.wgt.RDat	MARCO	2	1.20e+08	1.20e+08	0.510	rs729735	 3.421	rs6733132	-0.01079	 3.20	-2.107	529	529	blup	0.0687	9.15e-03	 0.2309	0.8174
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000021826.10.wgt.RDat	CPS1	2	2.11e+08	2.12e+08	0.313	rs6713085	-3.097	rs2287424	 0.17911	-4.67	-1.137	346	 10	lasso	0.1558	1.20e-04	 1.1151	0.2648
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000035115.17.wgt.RDat	SH3YL1	2	2.18e+05	2.66e+05	0.755	rs11901199	 3.249	rs9213	 0.43103	-6.26	 0.371	374	 11	enet	0.4128	2.69e-11	-0.5318	0.5949
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000054219.9.wgt.RDat	LY75	2	1.61e+08	1.61e+08	0.733	rs4665145	-4.101	rs3806603	 0.24935	-5.71	-2.377	445	445	blup	0.4190	1.73e-11	 1.0402	0.2982
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000055332.12.wgt.RDat	EIF2AK2	2	3.73e+07	3.74e+07	0.385	rs17019886	-2.884	rs17019664	-0.00873	-3.36	 1.387	515	 18	lasso	0.0154	1.34e-01	-0.0893	0.9288
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000064012.17.wgt.RDat	CASP8	2	2.02e+08	2.02e+08	0.401	rs6711866	 1.992	rs13016963	 0.13240	-4.57	-0.135	352	 20	enet	0.2100	6.98e-06	 0.1211	0.9036
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000068615.12.wgt.RDat	REEP1	2	8.64e+07	8.66e+07	0.248	rs4553826	-1.713	rs1863050	 0.09145	-3.81	-0.350	418	  7	lasso	0.1117	1.11e-03	 0.9778	0.3282
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000068654.11.wgt.RDat	POLR1A	2	8.62e+07	8.63e+07	0.412	rs308904	 1.938	rs311567	 0.11352	-4.58	 1.094	459	 37	enet	0.1527	1.40e-04	-1.5748	0.1153
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000071967.7.wgt.RDat	CYBRD1	2	1.72e+08	1.72e+08	0.527	rs12474993	-2.875	rs2356786	 0.30529	-5.26	 0.798	352	 10	lasso	0.2833	1.13e-07	-1.0655	0.2867
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000075292.14.wgt.RDat	ZNF638	2	7.15e+07	7.17e+07	0.309	rs3755342	-3.496	rs417263	-0.01112	 3.47	 0.926	484	484	blup	0.0460	2.81e-02	 0.9903	0.3220
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000077380.11.wgt.RDat	DYNC1I2	2	1.73e+08	1.73e+08	0.213	rs12474993	-2.875	rs10184866	-0.00978	-3.56	 0.454	370	370	blup	0.0303	6.15e-02	 0.1993	0.8420
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000081052.10.wgt.RDat	COL4A4	2	2.28e+08	2.28e+08	0.520	rs4482476	 3.585	rs1574248	 0.00749	-3.54	 0.135	520	520	blup	0.0645	1.12e-02	-0.0950	0.9243
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000115041.8.wgt.RDat	KCNIP3	2	9.60e+07	9.61e+07	0.256	rs1808357	-1.290	rs2113417	 0.33352	-5.75	 0.348	119	 11	enet	0.3382	3.98e-09	-0.3014	0.7631
Minor_Salivary_Gland	./GTEx_v7/Minor_Salivary_Gland/Minor_Salivary_Gland.ENSG00000115042.5.wgt.RDat	FAHD2A	2	9.61e+07	9.61e+07	0.218	rs2315667	-1.308	rs4241315	-0.00900	-3.39	 0.488	118	118	blup	0.1001	1.96e-03	-0.2967	0.7667
