ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	n	p.HMP	p.EBM	P	log10maxP
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	protein_coding	20	49551404	49575092	4	0.195423433883013	0.165480551161117	0.195423433883013	0.709023359778627
ENSG00000000457	SCYL3	SCY1-like 3 (S. cerevisiae)	protein_coding	1	169818772	169863408	22	0.0878553969959939	0.131590129645564	0.131590129645564	0.880776685199486
ENSG00000000460	C1orf112	chromosome 1 open reading frame 112	protein_coding	1	169631245	169823221	20	0.59949426088746	0.41387450021524	0.59949426088746	0.222214970157856
ENSG00000000938	FGR	feline Gardner-Rasheed sarcoma viral oncogene homolog	protein_coding	1	27938575	27961788	6	0.301678500685201	0.252322854928094	0.301678500685201	0.520455639001276
ENSG00000000971	CFH	complement factor H	protein_coding	1	196621008	196716634	15	0.127203824970139	0.0368639753082895	0.127203824970139	0.895499829423066
ENSG00000001036	FUCA2	fucosidase, alpha-L- 2, plasma	protein_coding	6	143815948	143832827	3	0.724333376129586	0.911489854330403	0.911489854330403	0.0402481610549112
ENSG00000001084	GCLC	glutamate-cysteine ligase, catalytic subunit	protein_coding	6	53362139	53409927	11	0.366176776518822	0.439956546905542	0.439956546905542	0.356590215266198
ENSG00000001167	NFYA	nuclear transcription factor Y, alpha	protein_coding	6	41040684	41067715	27	0.99077968044949	0.941606729967243	0.99077968044949	0.00402290878699959
ENSG00000001460	STPG1	sperm-tail PG-rich repeat containing 1	protein_coding	1	24683489	24743424	32	0.977908687728996	0.712685211968838	0.977908687728996	0.00970169558747968
ENSG00000001461	NIPAL3	NIPA-like domain containing 3	protein_coding	1	24745781	24799466	15	0.808112610778309	0.621258924909177	0.808112610778309	0.0925281159185905
ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)	protein_coding	6	46097730	46114436	24	0.984941952864847	0.920536342156003	0.984941952864847	0.00658936370881438
ENSG00000001617	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	protein_coding	3	50192478	50226508	14	0.959589746127422	0.928180593533166	0.959589746127422	0.01791440141291
ENSG00000001626	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	protein_coding	7	117105838	117356025	5	0.0119113321499294	0.00160347197441325	0.0119113321499294	1.9240396647968
ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1	protein_coding	7	91875548	92030698	8	0.468167763214095	0.36527029095348	0.468167763214095	0.3295984939718
ENSG00000001630	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1	protein_coding	7	91741465	91772266	4	0.354330912379304	0.291826287970725	0.354330912379304	0.450590957488655
ENSG00000001631	KRIT1	KRIT1, ankyrin repeat containing	protein_coding	7	91828283	91875480	8	0.818188472483384	0.775968495611183	0.818188472483384	0.0871466436009346
ENSG00000002016	RAD52	RAD52 homolog (S. cerevisiae)	protein_coding	12	1021243	1099219	38	0.991027401313653	0.720690149284741	0.991027401313653	0.00391433736659387
ENSG00000002330	BAD	BCL2-associated agonist of cell death	protein_coding	11	64037302	64052141	5	0.624962641785455	0.764075427459902	0.764075427459902	0.116863766931262
ENSG00000002549	LAP3	leucine aminopeptidase 3	protein_coding	4	17578815	17609595	12	0.61189769769466	0.303555894938302	0.61189769769466	0.213321180861834
ENSG00000002587	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	protein_coding	4	11394774	11431389	13	0.0577495733225512	0.131599109372143	0.131599109372143	0.880747049901946
ENSG00000002726	AOC1	amine oxidase, copper containing 1	protein_coding	7	150521715	150558592	14	0.914530395695691	0.956940380506694	0.956940380506694	0.019115118883049
ENSG00000002745	WNT16	wingless-type MMTV integration site family, member 16	protein_coding	7	120965421	120981158	7	0.665604633106305	0.875440286856009	0.875440286856009	0.0577734714804218
ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	protein_coding	7	43152198	43605600	6	0.800204792516126	0.836869490414531	0.836869490414531	0.0773422648408607
ENSG00000002822	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	protein_coding	7	1855429	2272878	8	0.663244855015735	0.509630114244485	0.663244855015735	0.178326110281845
ENSG00000002834	LASP1	LIM and SH3 protein 1	protein_coding	17	37026112	37078023	16	0.222949711191166	0.647634959243834	0.647634959243834	0.18866971613098
ENSG00000002919	SNX11	sorting nexin 11	protein_coding	17	46180719	46200436	28	0.558851255323032	0.252089265201411	0.558851255323032	0.252703769195041
ENSG00000002933	TMEM176A	transmembrane protein 176A	protein_coding	7	150497622	150502208	36	0.412023974479004	0.291472170271683	0.412023974479004	0.385077512896452
ENSG00000003056	M6PR	mannose-6-phosphate receptor (cation dependent)	protein_coding	12	9094064	9102551	24	0.990763231609779	0.809696078244337	0.990763231609779	0.00403011896678113
ENSG00000003137	CYP26B1	cytochrome P450, family 26, subfamily B, polypeptide 1	protein_coding	2	72356367	72375167	11	0.711145932681422	0.644965881596709	0.711145932681422	0.148041269516336
ENSG00000003147	ICA1	islet cell autoantigen 1, 69kDa	protein_coding	7	8152814	8302209	13	0.110330365189108	0.195482104745191	0.195482104745191	0.708892993593624
ENSG00000003249	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1	protein_coding	16	90071273	90086451	29	0.267235107079519	0.258159064540844	0.267235107079519	0.573106488526699
ENSG00000003393	ALS2	amyotrophic lateral sclerosis 2 (juvenile)	protein_coding	2	202565277	202645912	24	0.818439363365762	0.409708961489071	0.818439363365762	0.0870134911221078
ENSG00000003400	CASP10	caspase 10, apoptosis-related cysteine peptidase	protein_coding	2	202047604	202094129	12	0.311874934446529	0.385537831447394	0.385537831447394	0.413932999759039
ENSG00000003402	CFLAR	CASP8 and FADD-like apoptosis regulator	protein_coding	2	201980827	202041410	6	0.743684658555997	0.849624897237483	0.849624897237483	0.0707727695977934
ENSG00000003436	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	protein_coding	2	188328957	188430487	14	0.890932435125601	0.674914755032246	0.890932435125601	0.0501552299302696
ENSG00000003509	NDUFAF7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7	protein_coding	2	37458857	37480546	15	0.195931613441304	0.0432212448643629	0.195931613441304	0.707895485212889
ENSG00000003756	RBM5	RNA binding motif protein 5	protein_coding	3	50126341	50156454	4	0.705466053624872	0.761707471865395	0.761707471865395	0.118211784233325
ENSG00000003987	MTMR7	myotubularin related protein 7	protein_coding	8	17155539	17270836	4	0.385946130907637	0.461609681209307	0.461609681209307	0.335725091421454
ENSG00000003989	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	protein_coding	8	17354597	17428082	9	0.463953896279696	0.792891604761056	0.792891604761056	0.100786180490473
ENSG00000004059	ARF5	ADP-ribosylation factor 5	protein_coding	7	127228399	127231462	5	0.672265947311476	0.704229057281831	0.704229057281831	0.152286059418051
ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1	protein_coding	17	26692138	26728065	4	0.759004991711443	0.861666687210132	0.861666687210132	0.0646606969354495
ENSG00000004142	POLDIP2	polymerase (DNA-directed), delta interacting protein 2	protein_coding	17	26674036	26684545	25	0.966375489402876	0.741746530489252	0.966375489402876	0.0148540937809654
ENSG00000004399	PLXND1	plexin D1	protein_coding	3	129274018	129325661	3	0.0584599177507017	0.0713690836408446	0.0713690836408446	1.14648987942746
ENSG00000004455	AK2	adenylate kinase 2	protein_coding	1	33473585	33546597	7	0.151151663881616	0.369679509153342	0.369679509153342	0.432174621128976
ENSG00000004468	CD38	CD38 molecule	protein_coding	4	15779898	15854853	24	0.763737295986715	0.419207663520938	0.763737295986715	0.117056000747759
ENSG00000004478	FKBP4	FK506 binding protein 4, 59kDa	protein_coding	12	2904119	2914576	3	0.232596299206817	0.387672692436702	0.387672692436702	0.411534789505392
ENSG00000004487	KDM1A	lysine (K)-specific demethylase 1A	protein_coding	1	23345941	23410182	6	0.640021756593376	0.762697713790941	0.762697713790941	0.117647555419949
ENSG00000004534	RBM6	RNA binding motif protein 6	protein_coding	3	49977440	50114683	50	0.99971338613686	0.775327270608123	0.99971338613686	0.000124492660712236
ENSG00000004660	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	protein_coding	17	3763609	3796338	4	0.302228590511899	0.202574140025437	0.302228590511899	0.519664454245073
ENSG00000004700	RECQL	RecQ protein-like (DNA helicase Q1-like)	protein_coding	12	21623903	21654603	23	0.0697945293629459	0.271163710549281	0.271163710549281	0.566768431924227
ENSG00000004766	CCDC132	coiled-coil domain containing 132	protein_coding	7	92861653	92988338	10	0.530031494535377	0.394018937848106	0.530031494535377	0.275698323801956
ENSG00000004776	HSPB6	heat shock protein, alpha-crystallin-related, B6	protein_coding	19	36245773	36248980	3	0.720144830390242	0.899914573835972	0.899914573835972	0.0457987148634445
ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33	protein_coding	19	36265434	36279724	21	0.908335062734341	0.543251748619353	0.908335062734341	0.0417539212424878
ENSG00000004779	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	protein_coding	16	23592323	23607677	4	0.017540673879136	0.0151609774494311	0.017540673879136	1.75595372588626
