ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	nPredEBM	pPredEBM	nPredHMP	pPredHMP	nTWAShmp	pTWAShmp	nTWASomni	pTWASomni	minP	maxPpred	maxPtwas	Near_GWAS	meanPredBeta	meanTwasZscore
ENSG00000116990	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog [Source:HGNC Symbol;Acc:7555]	protein_coding	1	40361098	40367928	8	0.000322092187563505	8	0.00385902760810551	4	0.00146272122266631	3	0.00499	0.000322092187563505	0.00385902760810551	0.00499	no	0.00643508938032607	2.279915
ENSG00000235615	AJ239322.1		lincRNA	2	132722304	132737446	10	0.00162955543099438	10	0.000159648708685307	2	0.00457478520698151	2	0.00805	0.000159648708685307	0.00162955543099438	0.00805	no	0.00741488041506772	2.74483
ENSG00000153246	PLA2R1	phospholipase A2 receptor 1, 180kDa [Source:HGNC Symbol;Acc:9042]	protein_coding	2	160788519	160919121	23	0.00877623300687794	23	0.000626330777039547	23	0.00784039763485497	23	0.00523	0.000626330777039547	0.00877623300687794	0.00784039763485497	no	-0.00847358374141638	-2.10683517391304
ENSG00000121871	SLITRK3	SLIT and NTRK-like family, member 3 [Source:HGNC Symbol;Acc:23501]	protein_coding	3	164904508	164914897	7	0.000176252690818401	7	0.00118749761002546	2	0.00807082652512705	2	0.0071	0.000176252690818401	0.00118749761002546	0.00807082652512705	no	0.00158089177614836	2.3220885
ENSG00000188729	OSTN	osteocrin [Source:HGNC Symbol;Acc:29961]	protein_coding	3	190917030	190983404	10	0.00910366225691229	10	0.00954009845399349	8	0.00553043486039755	8	0.00218	0.00218	0.00954009845399349	0.00553043486039755	no	0.00485491786897243	1.815089875
ENSG00000224769	AC069213.1		pseudogene	3	195341818	195347104	47	0.00367499245025261	47	3.30857813989983e-05	47	0.00485896832909724	42	0.000154	3.30857813989983e-05	0.00367499245025261	0.00485896832909724	yes	-0.0115007832337762	-2.05569682978723
ENSG00000176945	MUC20	mucin 20, cell surface associated [Source:HGNC Symbol;Acc:23282]	protein_coding	3	195447753	195467994	49	0.00228559845161256	49	0.000332603911281972	47	0.000242062260155113	29	0.000212	0.000212	0.00228559845161256	0.000242062260155113	yes	0.0145079084010008	2.43961082978723
ENSG00000145113	MUC4	mucin 4, cell surface associated [Source:HGNC Symbol;Acc:7514]	protein_coding	3	195473636	195539148	26	0.00677854395518475	26	0.000501118368570432	32	0.000323260554820373	28	9.33e-06	9.33e-06	0.00677854395518475	0.000323260554820373	yes	0.011037723379812	2.10600109375
ENSG00000185485	SDHAP1	succinate dehydrogenase complex, subunit A, flavoprotein pseudogene 1 [Source:HGNC Symbol;Acc:32455]	pseudogene	3	195686619	195717187	45	1.37550717029437e-07	45	9.0955083223886e-08	40	3.83403386588685e-07	39	0.000228	9.0955083223886e-08	1.37550717029437e-07	0.000228	yes	-0.021217062111957	-4.10480265
ENSG00000273308	RP11-496H1.2		lincRNA	3	197372540	197372888	8	0.00668401854889173	8	0.000311151197908889	2	0.00733678948643339	2	0.00803	0.000311151197908889	0.00668401854889173	0.00803	no	-0.00431495071466308	-2.433659
ENSG00000169762	TAPT1	transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:26887]	protein_coding	4	16162128	16228164	12	0.000366919234821054	12	1.48328488869713e-05	4	0.00873870415446692	4	0.00533	1.48328488869713e-05	0.000366919234821054	0.00873870415446692	no	-0.00043414710511655	-0.36244475
ENSG00000164366	CCDC127	coiled-coil domain containing 127 [Source:HGNC Symbol;Acc:30520]	protein_coding	5	196986	218330	26	0.000543471918016882	26	0.00230553455372501	33	1.98724251921348e-05	27	2.3e-07	2.3e-07	0.00230553455372501	1.98724251921348e-05	yes	-0.00627857735768114	-1.82650154545455
ENSG00000250848	CTD-2083E4.5		pseudogene	5	288948	290436	10	0.00294708607209598	10	6.95713438842446e-06	14	0.00627750702817307	12	1.41e-06	1.41e-06	0.00294708607209598	0.00627750702817307	yes	-0.00695129612475229	-1.79578471428571
ENSG00000063438	AHRR	aryl-hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:346]	protein_coding	5	304291	438406	19	9.28705978002235e-05	19	0.0021501836978941	16	0.0016774126226265	15	1.63e-05	1.63e-05	0.0021501836978941	0.0016774126226265	yes	0.00323516869004625	0.965402625
ENSG00000221990	C5orf55	chromosome 5 open reading frame 55 [Source:HGNC Symbol;Acc:25175]	protein_coding	5	441645	443258	39	1.08095019393681e-05	39	2.4726505459077e-07	37	1.43640984645911e-07	25	2.93e-07	1.43640984645911e-07	1.08095019393681e-05	2.93e-07	yes	-0.0196543265707271	-3.94828383783784
ENSG00000180104	EXOC3	exocyst complex component 3 [Source:HGNC Symbol;Acc:30378]	protein_coding	5	443273	470102	42	1.66406986491143e-08	42	5.53589468152762e-07	41	2.96952106383188e-10	26	3.01e-07	2.96952106383188e-10	5.53589468152762e-07	3.01e-07	yes	0.028412300486634	4.8581002195122
ENSG00000188242	CTD-2228K2.5	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:D6RHG8]	protein_coding	5	466239	473213	11	2.24459244150681e-06	11	8.43328848463364e-06	10	4.33724496837501e-08	10	3.5e-06	4.33724496837501e-08	8.43328848463364e-06	3.5e-06	yes	-0.00960134618812538	-2.9917385
ENSG00000112877	CEP72	centrosomal protein 72kDa [Source:HGNC Symbol;Acc:25547]	protein_coding	5	612387	667283	22	1.53601164138353e-10	22	1.76729230902129e-10	23	8.20020299103181e-13	16	1.75e-09	8.20020299103181e-13	1.76729230902129e-10	1.75e-09	yes	0.0186983553690081	5.66195830434783
ENSG00000171368	TPPP	tubulin polymerization promoting protein [Source:HGNC Symbol;Acc:24164]	protein_coding	5	660883	693510	19	1.99977491572519e-28	19	8.85400149036664e-08	18	1.86970409676097e-11	15	2.71e-09	1.99977491572519e-28	8.85400149036664e-08	2.71e-09	yes	-0.0122447541925271	-4.07978711111111
ENSG00000268885	AC026740.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0R2Q8]	protein_coding	5	667759	668839	21	0.000209824920418649	21	4.65062511448643e-05	24	7.92202302573129e-07	22	8.77e-08	8.77e-08	0.000209824920418649	7.92202302573129e-07	yes	0.00902306303954968	2.972164875
ENSG00000188818	ZDHHC11	zinc finger, DHHC-type containing 11 [Source:HGNC Symbol;Acc:19158]	protein_coding	5	710471	851101	32	3.32261461416669e-06	32	3.53825637421884e-06	25	6.30190365748068e-11	25	5.21e-09	6.30190365748068e-11	3.53825637421884e-06	5.21e-09	yes	0.00533876483638815	4.41442396
ENSG00000206077	ZDHHC11B	zinc finger, DHHC-type containing 11B [Source:HGNC Symbol;Acc:32962]	protein_coding	5	710709	767067	21	8.62813562989199e-05	21	3.39848832093418e-08	15	1.3100934412543e-09	15	1.5e-08	1.3100934412543e-09	8.62813562989199e-05	1.5e-08	yes	0.00285306107383467	4.13074126666667
ENSG00000028310	BRD9	bromodomain containing 9 [Source:HGNC Symbol;Acc:25818]	protein_coding	5	863851	892757	15	0.00346654164958976	15	0.00274243235687891	6	2.68753183719115e-05	5	2.6e-05	2.6e-05	0.00346654164958976	2.68753183719115e-05	yes	-0.00166772475351121	-3.95290033333333
ENSG00000204539	CDSN	corneodesmosin [Source:HGNC Symbol;Acc:1802]	protein_coding	6	31082867	31088223	2	0.000476257220960615	2	0.000646370947036716	2	0.000174937291788562	2	0.000611	0.000174937291788562	0.000646370947036716	0.000611	no	-0.0151319718996829	-3.749
ENSG00000225851	HLA-S	major histocompatibility complex, class I, S (pseudogene) [Source:HGNC Symbol;Acc:19395]	pseudogene	6	31349851	31350065	32	0.00317961017086764	32	0.00351980089243074	21	0.00521474796988172	19	0.00592	0.00317961017086764	0.00351980089243074	0.00592	no	-0.018801455032678	-2.50277614285714
ENSG00000231852	CYP21A2	cytochrome P450, family 21, subfamily A, polypeptide 2 [Source:HGNC Symbol;Acc:2600]	protein_coding	6	32006042	32009447	31	0.00377197614509328	31	0.00148337330858496	35	0.000773852203662018	35	0.00259	0.000773852203662018	0.00377197614509328	0.00259	yes	-0.0102321468567012	-2.38749694285714
