PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000041353.5.wgt.RDat	RAB27B	18	52385091	52562747	0.0677	rs7242585	-2.67	rs4800967	 0.011982	  4.03	 0.061	318	318	blup	0.02762	1.34e-03	-0.06606	0.94733
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000049759.12.wgt.RDat	NEDD4L	18	55711599	56068772	0.1424	rs17808190	-2.80	rs1008899	 0.065218	 -5.66	-0.615	609	 21	enet	0.11561	1.05e-10	 1.31093	0.18988
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000060069.12.wgt.RDat	CTDP1	18	77439801	77514510	0.2293	rs7236023	-3.35	rs2279103	 0.118097	 -6.36	 1.542	414	  5	lasso	0.13946	1.03e-12	-0.95979	0.33716
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000075643.5.wgt.RDat	MOCOS	18	33767482	33852120	0.1755	rs17673891	-3.11	rs4267398	 0.080154	  5.33	 0.285	512	  5	lasso	0.09350	6.99e-09	 0.82245	0.41082
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000078043.11.wgt.RDat	PIAS2	18	44388353	44500111	0.0930	rs2684814	 4.28	rs12691079	 0.046602	  5.09	-3.018	520	 30	enet	0.05963	3.77e-06	-1.60755	0.10793
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000078142.7.wgt.RDat	PIK3C3	18	39535171	39667794	0.1139	rs16960213	-3.27	rs638763	 0.066647	 -5.12	-1.063	381	381	blup	0.05622	7.05e-06	 1.08312	0.27876
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000079101.12.wgt.RDat	CLUL1	18	  596988	  650228	0.1456	rs1940436	 4.21	rs531752	 0.005870	 -4.02	-0.256	613	 25	enet	0.01839	7.49e-03	 0.00652	0.99480
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000081923.6.wgt.RDat	ATP8B1	18	55313658	55470333	0.1671	rs9958503	-2.52	rs319440	 0.040366	 -4.75	 0.217	592	  4	lasso	0.06015	3.43e-06	-0.41651	0.67704
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000082397.11.wgt.RDat	EPB41L3	18	 5392383	 5630699	0.2217	rs9961584	 2.75	rs650502	-0.003011	  3.68	 0.484	589	589	blup	0.02166	4.06e-03	 1.81672	0.06926
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000088756.8.wgt.RDat	ARHGAP28	18	 6729717	 6915715	0.2564	rs882838	-3.13	rs7233739	 0.084138	  5.39	-0.860	602	602	blup	0.07580	1.91e-07	-0.41718	0.67655
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000091157.9.wgt.RDat	WDR7	18	54318906	54698828	0.1103	rs8094838	 2.41	rs559998	 0.013937	  3.82	 0.123	418	  8	lasso	0.01067	3.28e-02	 0.56373	0.57294
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000101489.14.wgt.RDat	CELF4	18	34823010	35146000	0.1690	rs1539843	-2.58	rs16968601	 0.097666	 -6.05	-0.823	432	  6	lasso	0.08810	1.93e-08	 0.85952	0.39005
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000101577.5.wgt.RDat	LPIN2	18	 2916992	 3013313	0.1042	rs2644199	-3.46	rs2282636	-0.002123	  3.57	-0.800	516	516	blup	0.02899	1.04e-03	 0.44747	0.65454
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000101596.10.wgt.RDat	SMCHD1	18	 2655737	 2805015	0.1687	rs2644199	-3.46	rs17551281	 0.121035	  7.19	 1.287	514	  6	lasso	0.10199	1.41e-09	 1.16512	0.24397
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000101605.8.wgt.RDat	MYOM1	18	 3066805	 3220106	0.1339	rs7236614	 2.74	rs4798075	 0.088404	 -5.71	 1.410	493	  2	lasso	0.05251	1.39e-05	-1.46182	0.14379
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000101639.14.wgt.RDat	CEP192	18	12991361	13125051	0.5137	rs9951766	-3.21	rs11663049	 0.481665	 13.13	-0.460	405	  9	lasso	0.52506	7.65e-56	-0.24059	0.80987
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000101751.6.wgt.RDat	POLI	18	51795774	51847636	0.7473	rs7242585	-2.67	rs11083046	 0.392791	-11.57	 0.161	333	 11	lasso	0.56852	8.90e-63	-0.09284	0.92603
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000101752.7.wgt.RDat	MIB1	18	19284918	19450918	0.1063	rs11660409	-2.13	rs2959523	 0.026765	 -3.94	 1.296	256	256	blup	0.01478	1.49e-02	-1.47169	0.14110
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000118276.7.wgt.RDat	B4GALT6	18	29203132	29264686	0.1214	rs11662928	-3.10	rs11660586	-0.002167	  3.75	 0.064	470	470	blup	0.01046	3.42e-02	 0.75936	0.44764
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000118680.8.wgt.RDat	MYL12B	18	 3261907	 3278282	0.1746	rs7236614	 2.74	rs8092392	 0.021699	 -5.14	 1.172	486	  5	lasso	0.07658	1.65e-07	-0.83794	0.40206
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000128789.16.wgt.RDat	PSMG2	18	12665064	12725739	0.1262	rs533683	-2.68	rs9955985	 0.048856	 -5.12	 0.519	372	 21	enet	0.07123	4.44e-07	-0.32965	0.74166
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000128791.7.wgt.RDat	TWSG1	18	 9334765	 9402418	0.1961	rs4797352	-2.81	rs16954989	 0.064920	 -6.21	 0.400	502	 32	enet	0.11200	2.10e-10	 0.05533	0.95588
Skin_Not_Sun_Exposed_Suprapubic	./GTEx_v7/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic.ENSG00000130856.11.wgt.RDat	ZNF236	18	74534563	74682683	0.2428	rs7244046	 3.44	rs517637	 0.138332	 -7.20	-1.288	660	660	blup	0.15136	9.81e-14	 1.17285	0.24085
