PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000011083.4.wgt.RDat	SLC6A7	5	1.50e+08	1.50e+08	0.3208	rs6874642	-3.266	rs17111051	 0.065552	  6.06	 0.2860	563	 23	enet	 0.094080	2.33e-07	-0.21935	8.26e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000013561.13.wgt.RDat	RNF14	5	1.41e+08	1.41e+08	0.1600	rs13162099	-2.859	rs252143	 0.066887	  5.21	-0.8620	540	  7	lasso	 0.072641	5.54e-06	-0.92015	3.57e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000027847.9.wgt.RDat	B4GALT7	5	1.77e+08	1.77e+08	0.2944	rs4976704	 2.444	rs2334991	 0.191157	 -7.14	-0.6860	239	 23	enet	 0.194404	3.72e-14	 0.50132	6.16e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000031003.6.wgt.RDat	FAM13B	5	1.37e+08	1.37e+08	0.1476	rs7444370	 3.628	rs9327807	 0.053659	 -5.28	 1.5240	319	 11	enet	 0.076788	3.01e-06	-1.36756	1.71e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000037474.10.wgt.RDat	NSUN2	5	6.60e+06	6.63e+06	0.3451	rs850954	-3.056	rs567289	 0.262783	  8.55	 0.0120	628	  7	lasso	 0.263081	2.87e-19	 0.08598	9.31e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000039560.9.wgt.RDat	RAI14	5	3.47e+07	3.48e+07	0.2133	rs12109986	 3.055	rs920479	 0.021128	  4.71	-1.0000	437	  6	lasso	 0.042724	4.36e-04	-0.87996	3.79e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000040731.6.wgt.RDat	CDH10	5	2.45e+07	2.46e+07	0.2192	rs9293162	 2.295	rs952168	 0.088742	  5.10	-0.7810	346	346	blup	 0.130832	9.03e-10	 0.36660	7.14e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000044115.16.wgt.RDat	CTNNA1	5	1.38e+08	1.38e+08	0.0812	rs1368374	 2.222	rs7709789	 0.002705	 -3.98	-1.1530	316	316	blup	 0.038935	7.58e-04	 1.31271	1.89e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000047188.11.wgt.RDat	YTHDC2	5	1.13e+08	1.13e+08	0.2708	rs9326879	 2.806	rs2115214	 0.109432	 -6.31	 0.5360	564	  7	lasso	 0.148699	5.66e-11	-0.47371	6.36e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000049167.9.wgt.RDat	ERCC8	5	6.02e+07	6.02e+07	0.1775	rs16878144	-2.705	rs4315878	 0.033929	  4.44	-1.1530	310	310	blup	 0.070661	7.40e-06	-0.46917	6.39e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000050767.11.wgt.RDat	COL23A1	5	1.78e+08	1.78e+08	0.3715	rs533024	 2.558	rs9332465	 0.167025	 -6.97	-0.5610	570	 11	lasso	 0.180509	3.59e-13	 0.76940	4.42e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000055147.13.wgt.RDat	FAM114A2	5	1.53e+08	1.53e+08	0.1237	rs880083	 3.414	rs869737	 0.028197	 -4.86	 1.2700	550	 21	enet	 0.047886	2.06e-04	-0.78392	4.33e-01
Heart_Atrial_Appendage	./GTEx_v7/Heart_Atrial_Appendage/Heart_Atrial_Appendage.ENSG00000061455.10.wgt.RDat	PRDM6	5	1.22e+08	1.23e+08	0.0900	rs10051787	-3.425	rs10061195	 0.048626	 -4.41	 0.5750	419	  3	lasso	 0.027352	4.14e-03	-0.23868	8.11e-01
