PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Frontal_Cortex_BA9	./GTEx_v7/Brain_Frontal_Cortex_BA9/Brain_Frontal_Cortex_BA9.ENSG00000141956.9.wgt.RDat	PRDM15	21	43218385	43299591	0.387	rs6586304	 3.92	rs12151990	 0.15210	-4.38	 0.507	782	  3	lasso	 0.133767	2.97e-05	-0.740	0.4591
Brain_Frontal_Cortex_BA9	./GTEx_v7/Brain_Frontal_Cortex_BA9/Brain_Frontal_Cortex_BA9.ENSG00000142156.10.wgt.RDat	COL6A1	21	47401651	47424964	0.318	rs2839108	 2.33	rs3827270	 0.06653	 5.03	 0.684	471	  4	lasso	 0.186281	7.07e-07	 0.167	0.8672
Brain_Frontal_Cortex_BA9	./GTEx_v7/Brain_Frontal_Cortex_BA9/Brain_Frontal_Cortex_BA9.ENSG00000142188.12.wgt.RDat	TMEM50B	21	34804792	34852318	0.195	rs11701698	-2.89	rs2834220	 0.05750	-3.91	-0.726	459	  2	lasso	-0.000355	3.30e-01	 0.712	0.4767
Brain_Frontal_Cortex_BA9	./GTEx_v7/Brain_Frontal_Cortex_BA9/Brain_Frontal_Cortex_BA9.ENSG00000156239.7.wgt.RDat	N6AMT1	21	30244513	30257693	0.195	rs8134891	 2.17	rs8134005	 0.07999	-4.72	-1.443	472	  5	lasso	 0.062570	3.77e-03	 1.702	0.0888
Brain_Frontal_Cortex_BA9	./GTEx_v7/Brain_Frontal_Cortex_BA9/Brain_Frontal_Cortex_BA9.ENSG00000156253.2.wgt.RDat	RWDD2B	21	30376705	30391699	0.565	rs8134891	 2.17	rs2832155	 0.40940	 7.18	-1.024	431	  7	lasso	 0.436016	3.35e-16	-1.438	0.1504
Brain_Frontal_Cortex_BA9	./GTEx_v7/Brain_Frontal_Cortex_BA9/Brain_Frontal_Cortex_BA9.ENSG00000157542.8.wgt.RDat	KCNJ6	21	38979678	39288749	0.439	rs2835860	 3.52	rs2835833	 0.19161	-5.02	-0.403	545	  9	lasso	 0.144623	1.39e-05	 0.226	0.8211
Brain_Frontal_Cortex_BA9	./GTEx_v7/Brain_Frontal_Cortex_BA9/Brain_Frontal_Cortex_BA9.ENSG00000157578.9.wgt.RDat	LCA5L	21	40777770	40817729	0.571	rs41455449	-3.62	rs9983435	 0.41516	 7.07	-0.481	685	 27	enet	 0.429868	6.30e-16	-0.637	0.5241
Brain_Frontal_Cortex_BA9	./GTEx_v7/Brain_Frontal_Cortex_BA9/Brain_Frontal_Cortex_BA9.ENSG00000159228.8.wgt.RDat	CBR1	21	37443248	37445464	0.287	rs7275194	 2.29	rs219738	-0.00835	 3.65	 0.479	512	512	blup	 0.014470	1.03e-01	 0.481	0.6302
Brain_Frontal_Cortex_BA9	./GTEx_v7/Brain_Frontal_Cortex_BA9/Brain_Frontal_Cortex_BA9.ENSG00000159231.5.wgt.RDat	CBR3	21	37507210	37518864	0.299	rs2835406	 2.80	rs8126939	 0.14013	-4.77	 0.845	502	  5	lasso	 0.130353	3.77e-05	-1.032	0.3021
Brain_Frontal_Cortex_BA9	./GTEx_v7/Brain_Frontal_Cortex_BA9/Brain_Frontal_Cortex_BA9.ENSG00000160188.5.wgt.RDat	RSPH1	21	43892596	43916464	0.495	rs6586304	 3.92	rs9979100	 0.24178	 5.79	-0.371	725	  8	lasso	 0.253647	4.28e-09	-0.445	0.6564
