PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Heart_Left_Ventricle	./GTEx_v7/Heart_Left_Ventricle/Heart_Left_Ventricle.ENSG00000002016.12.wgt.RDat	RAD52	12	1.02e+06	1.10e+06	0.2524	rs7315904	 2.52	rs12816367	 1.49e-01	 -7.08	-0.619	406	 11	enet	 2.45e-01	2.34e-18	-0.13176	0.89518
Heart_Left_Ventricle	./GTEx_v7/Heart_Left_Ventricle/Heart_Left_Ventricle.ENSG00000010292.8.wgt.RDat	NCAPD2	12	6.60e+06	6.64e+06	0.1240	rs11064155	 2.77	rs9788151	 5.33e-02	 -4.27	 1.315	383	  4	lasso	 2.40e-02	6.12e-03	-0.67277	0.50110
Heart_Left_Ventricle	./GTEx_v7/Heart_Left_Ventricle/Heart_Left_Ventricle.ENSG00000010379.11.wgt.RDat	SLC6A13	12	3.30e+05	3.72e+05	0.1448	rs4980848	 2.74	rs11613331	 4.28e-02	 -4.56	 0.506	342	342	blup	-7.97e-04	3.76e-01	-0.60088	0.54792
Heart_Left_Ventricle	./GTEx_v7/Heart_Left_Ventricle/Heart_Left_Ventricle.ENSG00000047617.10.wgt.RDat	ANO2	12	5.64e+06	6.06e+06	0.1101	rs12354	 2.52	rs933407	 6.32e-02	 -5.10	 1.440	581	  3	lasso	 2.74e-02	3.63e-03	-1.32566	0.18495
Heart_Left_Ventricle	./GTEx_v7/Heart_Left_Ventricle/Heart_Left_Ventricle.ENSG00000050426.11.wgt.RDat	LETMD1	12	5.14e+07	5.15e+07	0.2141	rs11169578	-3.44	rs10876136	 1.14e-01	 -6.30	-2.285	391	 28	enet	 7.78e-02	1.85e-06	 2.60794	0.00911
Heart_Left_Ventricle	./GTEx_v7/Heart_Left_Ventricle/Heart_Left_Ventricle.ENSG00000051825.10.wgt.RDat	MPHOSPH9	12	1.24e+08	1.24e+08	0.0959	rs13303200	-2.64	rs641760	 1.29e-01	  5.98	 0.701	350	  5	lasso	 1.09e-01	1.63e-08	 0.67482	0.49979
Heart_Left_Ventricle	./GTEx_v7/Heart_Left_Ventricle/Heart_Left_Ventricle.ENSG00000057704.6.wgt.RDat	TMCC3	12	9.50e+07	9.50e+07	0.3033	rs12316136	-3.61	rs17022799	 1.04e-01	  5.60	 0.646	629	 22	enet	 1.04e-01	3.16e-08	 0.74297	0.45750
Heart_Left_Ventricle	./GTEx_v7/Heart_Left_Ventricle/Heart_Left_Ventricle.ENSG00000060138.8.wgt.RDat	YBX3	12	1.09e+07	1.09e+07	0.1360	rs7970821	 2.46	rs813321	 2.43e-02	  4.38	-0.087	405	  6	enet	 4.14e-02	4.43e-04	-0.07389	0.94110
Heart_Left_Ventricle	./GTEx_v7/Heart_Left_Ventricle/Heart_Left_Ventricle.ENSG00000060982.10.wgt.RDat	BCAT1	12	2.50e+07	2.51e+07	0.0951	rs6487465	 2.97	rs2046524	 2.22e-02	 -4.87	-0.735	562	  4	lasso	 4.23e-02	3.87e-04	 0.37726	0.70598
Heart_Left_Ventricle	./GTEx_v7/Heart_Left_Ventricle/Heart_Left_Ventricle.ENSG00000064115.6.wgt.RDat	TM7SF3	12	2.71e+07	2.72e+07	0.2182	rs4964060	-3.19	rs10842819	 6.00e-02	  4.76	 0.455	527	527	blup	 5.67e-02	4.44e-05	 1.67319	0.09429
Heart_Left_Ventricle	./GTEx_v7/Heart_Left_Ventricle/Heart_Left_Ventricle.ENSG00000066117.10.wgt.RDat	SMARCD1	12	5.05e+07	5.05e+07	0.2231	rs7294618	-3.17	rs10875995	 9.82e-03	  3.82	-2.420	316	316	blup	 2.59e-02	4.60e-03	-1.98554	0.04708
