PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000001461.12.wgt.RDat	NIPAL3	1	2.47e+07	2.48e+07	0.1387	rs196426	-2.531	rs11805096	 1.76e-02	  4.20	-1.2860	421	421	blup	 0.059292	6.97e-05	-0.09276	0.92609
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000004455.12.wgt.RDat	AK2	1	3.35e+07	3.35e+07	0.1705	rs4653044	 2.730	rs1690557	 6.45e-02	  4.31	-0.5720	349	 26	enet	 0.032719	2.61e-03	-0.16297	0.87054
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000007341.14.wgt.RDat	ST7L	1	1.13e+08	1.13e+08	0.3061	rs12137578	-3.034	rs10745330	 2.88e-01	  8.64	-1.5410	332	  9	enet	 0.287030	8.03e-20	-1.50516	0.13228
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000008128.18.wgt.RDat	CDK11A	1	1.63e+06	1.66e+06	0.2309	NA	    NA	NA	       NA	    NA	     NA	297	  0	enet	 0.148921	2.41e-10	      NA	     NA
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000010165.15.wgt.RDat	METTL13	1	1.72e+08	1.72e+08	0.1389	rs235913	 2.348	rs17650204	 9.33e-02	 -5.01	-1.4320	480	  2	lasso	 0.075674	7.43e-06	 1.45538	0.14556
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000010803.12.wgt.RDat	SCMH1	1	4.15e+07	4.17e+07	0.1857	rs2996016	 2.821	rs2364535	 4.82e-02	 -4.46	 0.2190	430	430	blup	 0.070302	1.55e-05	-0.00937	0.99252
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000018625.10.wgt.RDat	ATP1A2	1	1.60e+08	1.60e+08	0.1879	rs2501351	-3.199	rs2070704	 4.23e-02	  4.74	 0.9970	506	  6	lasso	 0.042267	7.08e-04	 1.55607	0.11969
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000033122.14.wgt.RDat	LRRC7	1	7.00e+07	7.06e+07	0.1429	rs17395412	-2.472	rs1417438	 2.82e-02	  4.16	 0.3690	369	  4	lasso	 0.042564	6.80e-04	 0.53625	0.59178
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000040487.8.wgt.RDat	PQLC2	1	1.96e+07	1.97e+07	0.1139	rs12407355	-2.947	rs214336	 3.74e-02	 -4.70	-2.7160	488	488	blup	 0.043076	6.34e-04	 1.80345	0.07132
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000041988.11.wgt.RDat	THAP3	1	6.68e+06	6.69e+06	0.1246	rs12065191	-2.732	rs3747994	 6.98e-02	  5.19	 0.6310	439	  1	lasso	 0.031959	2.89e-03	 0.63100	0.52804
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000043514.11.wgt.RDat	TRIT1	1	4.03e+07	4.03e+07	0.5544	rs12745951	-3.211	rs12123609	 2.08e-01	 -7.29	-0.6860	394	  9	lasso	 0.270982	1.23e-18	-0.43756	0.66170
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000049239.8.wgt.RDat	H6PD	1	9.29e+06	9.33e+06	0.4552	rs2027222	 3.310	rs732950	 1.70e-01	 -6.52	 1.5260	433	 10	lasso	 0.178154	3.18e-12	-0.90363	0.36619
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000049245.8.wgt.RDat	VAMP3	1	7.83e+06	7.84e+06	0.2352	rs11120954	-3.260	rs10462021	 8.49e-02	  5.45	 1.2840	460	  6	lasso	 0.071540	1.31e-05	 1.40576	0.15980
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000049247.9.wgt.RDat	UTS2	1	7.91e+06	7.91e+06	0.3401	rs11120954	-3.260	rs161827	 6.59e-02	  5.02	-0.7690	445	445	blup	 0.066634	2.56e-05	-0.05494	0.95619
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000054282.11.wgt.RDat	SDCCAG8	1	2.43e+08	2.44e+08	0.2801	rs6429388	 2.412	rs2490395	 1.12e-01	  6.01	 0.1380	284	284	blup	 0.119765	1.60e-08	 0.33762	0.73565
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000054523.12.wgt.RDat	KIF1B	1	1.03e+07	1.04e+07	0.1083	rs284262	 3.165	rs12403443	-2.10e-03	  3.16	 1.0190	352	352	blup	 0.020538	1.41e-02	 0.13856	0.88980
Colon_Transverse	./GTEx_v7/Colon_Transverse/Colon_Transverse.ENSG00000055732.8.wgt.RDat	MCOLN3	1	8.55e+07	8.55e+07	0.2844	rs17114425	 2.803	rs11161512	 6.06e-02	  5.16	 0.9360	574	  7	lasso	 0.088304	1.31e-06	-0.64848	0.51667
