PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000014164.6.wgt.RDat	ZC3H3	8	1.45e+08	1.45e+08	0.450	rs12680363	 2.75	rs7824592	 0.224552	-5.49	-0.585	360	  7	lasso	0.2082	1.58e-07	 0.667893	0.50420
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000036448.5.wgt.RDat	MYOM2	8	1.99e+06	2.11e+06	0.657	rs3735869	 3.23	rs2099746	 0.364584	 6.93	 0.013	681	  6	lasso	0.3926	3.23e-14	 0.688920	0.49087
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000047249.12.wgt.RDat	ATP6V1H	8	5.46e+07	5.48e+07	0.364	rs11775527	-2.64	rs3887558	 0.011845	-3.69	 0.823	385	 37	enet	0.2099	1.39e-07	-1.454001	0.14595
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000070718.7.wgt.RDat	AP3M2	8	4.20e+07	4.20e+07	0.388	rs7826221	-3.30	rs12547064	 0.112951	-4.92	 1.250	363	  5	lasso	0.1169	1.02e-04	-2.052006	0.04017
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000071894.10.wgt.RDat	CPSF1	8	1.46e+08	1.46e+08	0.728	rs2955224	 3.22	rs2977834	 0.571452	-8.72	 0.206	184	 14	enet	0.6858	1.19e-30	-0.169738	0.86522
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000104228.8.wgt.RDat	TRIM35	8	2.71e+07	2.72e+07	0.380	rs12676342	-3.04	rs1316370	 0.044524	 4.45	-1.662	630	629	blup	0.1004	3.11e-04	-1.205744	0.22792
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000104361.5.wgt.RDat	NIPAL2	8	9.92e+07	9.93e+07	0.583	rs4644205	-2.78	rs7461545	 0.259976	-5.79	 0.418	458	 10	lasso	0.2169	8.24e-08	-0.531972	0.59475
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000104388.10.wgt.RDat	RAB2A	8	6.14e+07	6.15e+07	0.353	rs10092214	 4.11	rs948421	 0.125529	 4.99	 0.471	402	402	blup	0.1407	1.99e-05	 0.376290	0.70670
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000104427.7.wgt.RDat	ZC2HC1A	8	7.96e+07	7.96e+07	0.535	rs17485419	-2.53	rs4739134	 0.410322	-7.06	 1.020	322	  5	lasso	0.4207	2.09e-15	-1.152497	0.24912
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000104442.5.wgt.RDat	ARMC1	8	6.65e+07	6.65e+07	0.485	rs4284070	-2.59	rs4320587	 0.216568	 5.85	 0.216	363	  5	lasso	0.2364	1.88e-08	 0.358471	0.71999
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000104490.13.wgt.RDat	NCALD	8	1.03e+08	1.03e+08	0.291	rs517811	 3.08	rs10505017	-0.002093	 3.66	-0.669	487	  8	lasso	0.0490	9.70e-03	-0.842163	0.39970
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000104497.9.wgt.RDat	SNX16	8	8.27e+07	8.28e+07	0.489	rs10091077	 3.46	rs4272332	 0.381991	-6.87	-1.240	324	 11	lasso	0.4468	1.48e-16	 0.131456	0.89541
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000104518.6.wgt.RDat	GSDMD	8	1.45e+08	1.45e+08	0.435	rs12680363	 2.75	rs12541647	 0.074713	 4.87	-0.460	357	 21	enet	0.1562	6.70e-06	 0.076023	0.93940
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000120910.10.wgt.RDat	PPP3CC	8	2.23e+07	2.24e+07	0.177	rs11135684	 3.15	rs1051708	 0.069988	-4.19	 1.243	527	527	blup	0.0839	9.43e-04	-1.067118	0.28592
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000130193.7.wgt.RDat	THEM6	8	1.44e+08	1.44e+08	0.442	rs4464948	 3.07	rs2082801	 0.187166	-4.98	 1.124	404	  6	lasso	0.1276	4.91e-05	-1.035407	0.30048
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000133731.5.wgt.RDat	IMPA1	8	8.26e+07	8.26e+07	0.387	rs10091077	 3.46	rs2142316	 0.171765	-5.12	 1.265	346	  5	lasso	0.1733	2.00e-06	-1.371131	0.17033
Cells_EBV-transformed_lymphocytes	./GTEx_v7/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes.ENSG00000133739.11.wgt.RDat	LRRCC1	8	8.60e+07	8.61e+07	0.194	rs6991900	-2.19	rs3779899	 0.076692	-4.69	-0.597	261	261	blup	0.1193	8.67e-05	 0.484645	0.62793
