PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000012779.6.wgt.RDat	ALOX5	10	4.59e+07	4.59e+07	0.2484	rs12256114	-2.77	rs6593485	 0.138660	-5.34	-0.369	348	348	blup	0.14967	8.02e-08	 0.1038	0.91735
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000023041.7.wgt.RDat	ZDHHC6	10	1.14e+08	1.14e+08	0.3725	rs7078407	-3.63	rs11195943	 0.082634	-4.78	-0.471	444	  6	lasso	0.13251	4.72e-07	-0.2715	0.78603
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000026025.9.wgt.RDat	VIM	10	1.73e+07	1.73e+07	0.2487	rs17141568	 3.17	rs10508518	-0.003247	 3.20	 0.600	659	659	blup	0.03227	1.01e-02	-0.8543	0.39295
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000026103.15.wgt.RDat	FAS	10	9.08e+07	9.08e+07	0.7980	rs7909525	 2.83	rs2234978	 0.497419	 9.33	-0.642	572	 16	lasso	0.52355	1.03e-29	-0.2541	0.79941
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000047056.10.wgt.RDat	WDR37	10	1.10e+06	1.18e+06	0.1791	rs12775292	-2.72	rs2306409	 0.011774	-3.69	-0.118	517	517	blup	0.01183	8.15e-02	-1.0555	0.29118
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000052749.9.wgt.RDat	RRP12	10	9.91e+07	9.92e+07	0.2816	rs7894232	 3.37	rs9888026	 0.149666	 5.44	 0.949	487	  9	lasso	0.12833	7.24e-07	 0.8019	0.42260
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000055950.12.wgt.RDat	MRPL43	10	1.03e+08	1.03e+08	0.1832	rs11190888	-2.49	rs752974	 0.050945	-4.52	-1.212	420	  4	lasso	0.04654	2.46e-03	 1.0559	0.29102
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000057608.12.wgt.RDat	GDI2	10	5.81e+06	5.88e+06	0.2597	rs871747	 2.88	rs3793707	 0.103950	-4.82	-0.905	700	  3	lasso	0.07549	1.43e-04	 0.9762	0.32898
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000075826.12.wgt.RDat	SEC31B	10	1.02e+08	1.02e+08	0.1717	rs11597005	 2.30	rs2273695	 0.125045	-5.50	-0.844	430	  6	lasso	0.12104	1.52e-06	 1.0109	0.31204
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000077420.11.wgt.RDat	APBB1IP	10	2.67e+07	2.69e+07	0.2322	rs11015156	 2.88	rs945294	 0.142568	 5.19	 0.590	440	  5	lasso	0.11037	4.47e-06	 0.4982	0.61833
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000079332.10.wgt.RDat	SAR1A	10	7.19e+07	7.19e+07	0.3447	rs881823	-3.04	rs15801	 0.188089	 6.18	-1.762	706	 17	enet	0.14642	1.13e-07	-1.7919	0.07315
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000095485.12.wgt.RDat	CWF19L1	10	1.02e+08	1.02e+08	0.5793	rs11597005	 2.30	rs12784396	 0.423729	 8.65	 0.304	400	 29	enet	0.40911	1.27e-21	 0.3360	0.73690
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000099290.11.wgt.RDat	FAM21A	10	5.18e+07	5.19e+07	0.6805	rs4935597	-3.01	rs2338050	 0.408805	-8.52	 1.727	262	  6	lasso	0.42910	6.45e-23	-1.9871	0.04691
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000107521.14.wgt.RDat	HPS1	10	1.00e+08	1.00e+08	0.1827	rs12221255	 2.27	rs701801	 0.091954	 4.84	-1.010	478	 23	enet	0.07674	1.27e-04	-0.8098	0.41806
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000107551.16.wgt.RDat	RASSF4	10	4.55e+07	4.55e+07	0.3179	rs12256114	-2.77	rs884879	 0.055597	-4.27	 0.991	466	  7	lasso	0.07294	1.84e-04	-0.5834	0.55962
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000107554.11.wgt.RDat	DNMBP	10	1.02e+08	1.02e+08	0.1960	rs11597005	 2.30	rs11190363	 0.132093	 5.34	-0.114	435	  6	lasso	0.12850	7.12e-07	-0.2250	0.82197
Adrenal_Gland	./GTEx_v7/Adrenal_Gland/Adrenal_Gland.ENSG00000107611.10.wgt.RDat	CUBN	10	1.69e+07	1.72e+07	0.2797	rs7088676	-3.09	rs10508518	 0.138067	 5.45	 0.600	677	  8	enet	0.12370	1.16e-06	 0.6538	0.51323
