PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000011590.9.wgt.RDat	ZBTB32	19	36195429	36207940	0.440	rs7254211	 3.65	rs231238	 9.60e-02	 4.54	-0.722	446	446	blup	 1.05e-01	5.91e-04	-0.9581	0.33802
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000012124.10.wgt.RDat	CD22	19	35810164	35838258	0.465	rs7254211	 3.65	rs10411704	 3.76e-01	 6.21	-0.754	493	  6	lasso	 3.24e-01	3.74e-10	-0.7079	0.47900
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000021488.8.wgt.RDat	SLC7A9	19	33321415	33360672	0.476	rs7253808	 2.50	rs17272274	 2.73e-01	 5.53	-0.106	420	 36	enet	 2.35e-01	1.88e-07	-1.0904	0.27554
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000037757.9.wgt.RDat	MRI1	19	13875346	13884981	0.565	rs12971679	 2.26	rs371671	 3.33e-01	-6.13	 0.767	331	 19	enet	 1.92e-01	3.01e-06	-1.2992	0.19386
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000062370.12.wgt.RDat	ZNF112	19	44830708	44871377	0.448	rs3208856	-3.35	rs2571063	 1.87e-01	 4.84	 0.272	449	449	blup	 1.74e-01	9.67e-06	-0.4663	0.64097
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000065268.6.wgt.RDat	WDR18	19	  983174	  994569	0.777	rs4536588	-3.62	rs2240147	 4.71e-01	 6.98	 0.226	466	 11	lasso	 5.33e-01	4.15e-18	 0.1450	0.88473
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000072958.4.wgt.RDat	AP1M1	19	16308389	16346160	0.373	rs754291	-2.71	rs897775	-1.02e-02	-3.12	 0.522	458	458	blup	 2.50e-02	6.31e-02	-0.9236	0.35567
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000077463.10.wgt.RDat	SIRT6	19	 4174106	 4182601	0.421	rs1138253	-2.92	rs3810374	-6.69e-03	-3.38	 0.539	375	 29	enet	 4.43e-02	2.01e-02	-0.6001	0.54843
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000079313.7.wgt.RDat	REXO1	19	 1815586	 1848452	0.628	rs11665732	 3.52	rs2286364	-1.00e-02	-2.97	-1.107	387	 52	enet	 2.46e-02	6.43e-02	-0.3619	0.71745
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000079432.3.wgt.RDat	CIC	19	42772689	42799949	0.408	rs1076976	-3.02	rs1206033	 3.20e-02	 3.44	-0.602	175	 18	enet	 1.18e-01	2.68e-04	-0.2134	0.83103
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000088053.7.wgt.RDat	GP6	19	55525073	55549632	0.627	rs11878562	 3.25	rs3745913	 8.64e-03	-3.47	 0.638	462	 13	lasso	 3.47e-02	3.52e-02	 0.0547	0.95638
Uterus	./GTEx_v7/Uterus/Uterus.ENSG00000089327.10.wgt.RDat	FXYD5	19	35645633	35660786	0.662	rs7254211	 3.65	rs12459329	-9.84e-03	 3.54	 2.637	487	487	blup	 6.56e-02	5.80e-03	 2.3728	0.01765
