ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	pPredEBM	pPredHMP	pTWAShmp	pTWASomni	minP	maxP	maxPpred	maxPtwas	Near_GWAS	ENSGID	GENE.x	DESCRIPTION.x	GENE_TYPE.x	CHR.x	START.x	END.x	meanPredBeta	GENE.y	DESCRIPTION.y	GENE_TYPE.y	CHR.y	START.y	END.y	meanTwasZscore
ENSG00000204624	PTCHD2	patched domain containing 2 [Source:HGNC Symbol;Acc:29251]	protein_coding	1	11539223	11597641	0.00274259083604742	0.00738885279032091	0.0181310165653797	0.0288	0.00274259083604742	0.0288	0.00738885279032091	0.0288	no	ENSG00000204624	PTCHD2	patched domain containing 2 [Source:HGNC Symbol;Acc:29251]	protein_coding	1	11539223	11597641	-0.00535261171561394	PTCHD2	patched domain containing 2 [Source:HGNC Symbol;Acc:29251]	protein_coding	1	11539223	11597641	-2.3382975
ENSG00000162438	CTRC	chymotrypsin C (caldecrin) [Source:HGNC Symbol;Acc:2523]	protein_coding	1	15764935	15775737	0.00628612886844045	0.00376334295950835	NA	NA	NA	NA	0.00628612886844045	NA	no	ENSG00000162438	CTRC	chymotrypsin C (caldecrin) [Source:HGNC Symbol;Acc:2523]	protein_coding	1	15764935	15775737	-0.00527707462104253	NA	NA	NA	NA	NA	NA	NA
ENSG00000169991	IFFO2	intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:27006]	protein_coding	1	19230775	19283180	0.000111241119683732	0.00149876044736612	0.0660886953283971	0.166	0.000111241119683732	0.166	0.00149876044736612	0.166	no	ENSG00000169991	IFFO2	intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:27006]	protein_coding	1	19230775	19283180	0.00348792823055044	IFFO2	intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:27006]	protein_coding	1	19230775	19283180	-0.22856375
ENSG00000162482	AKR7A3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase) [Source:HGNC Symbol;Acc:390]	protein_coding	1	19609052	19615744	0.00431392787170216	0.00360261395676283	0.0108234106013849	0.0607	0.00360261395676283	0.0607	0.00431392787170216	0.0607	no	ENSG00000162482	AKR7A3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase) [Source:HGNC Symbol;Acc:390]	protein_coding	1	19609052	19615744	-0.00387185071285945	AKR7A3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase) [Source:HGNC Symbol;Acc:390]	protein_coding	1	19609052	19615744	-1.4141553125
ENSG00000053371	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) [Source:HGNC Symbol;Acc:389]	protein_coding	1	19630459	19638640	0.0075704629143206	0.00723333036283423	0.010776126506231	0.0249	0.00723333036283423	0.0249	0.0075704629143206	0.0249	no	ENSG00000053371	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) [Source:HGNC Symbol;Acc:389]	protein_coding	1	19630459	19638640	-0.00678089537294151	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) [Source:HGNC Symbol;Acc:389]	protein_coding	1	19630459	19638640	-0.947082846153846
ENSG00000040487	PQLC2	PQ loop repeat containing 2 [Source:HGNC Symbol;Acc:26001]	protein_coding	1	19638820	19655794	0.00419115921696896	0.00911080710995089	0.0109329416537358	0.131	0.00419115921696896	0.131	0.00911080710995089	0.131	no	ENSG00000040487	PQLC2	PQ loop repeat containing 2 [Source:HGNC Symbol;Acc:26001]	protein_coding	1	19638820	19655794	-0.0102619657175419	PQLC2	PQ loop repeat containing 2 [Source:HGNC Symbol;Acc:26001]	protein_coding	1	19638820	19655794	-2.11741803333333
ENSG00000157978	LDLRAP1	low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:18640]	protein_coding	1	25870071	25895377	0.00231240477369407	0.00295310988923001	0.0292966031443218	0.00786	0.00231240477369407	0.0292966031443218	0.00295310988923001	0.0292966031443218	no	ENSG00000157978	LDLRAP1	low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:18640]	protein_coding	1	25870071	25895377	0.010093179212638	LDLRAP1	low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:18640]	protein_coding	1	25870071	25895377	2.06633164516129
ENSG00000162430	SEPN1	selenoprotein N, 1 [Source:HGNC Symbol;Acc:15999]	protein_coding	1	26126667	26144713	0.00229460620021385	0.00299224767702242	0.00252691116520831	0.0136	0.00229460620021385	0.0136	0.00299224767702242	0.0136	no	ENSG00000162430	SEPN1	selenoprotein N, 1 [Source:HGNC Symbol;Acc:15999]	protein_coding	1	26126667	26144713	-0.00537089645160122	SEPN1	selenoprotein N, 1 [Source:HGNC Symbol;Acc:15999]	protein_coding	1	26126667	26144713	-2.6760812
ENSG00000117640	MTFR1L	mitochondrial fission regulator 1-like [Source:HGNC Symbol;Acc:28836]	protein_coding	1	26145131	26159432	0.000375987637920421	0.000316878485517571	0.00200641719301572	0.0158	0.000316878485517571	0.0158	0.000375987637920421	0.0158	no	ENSG00000117640	MTFR1L	mitochondrial fission regulator 1-like [Source:HGNC Symbol;Acc:28836]	protein_coding	1	26145131	26159432	0.0129557957000214	MTFR1L	mitochondrial fission regulator 1-like [Source:HGNC Symbol;Acc:28836]	protein_coding	1	26145131	26159432	2.00211559259259
ENSG00000223474	AL020996.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F5H7K9]	protein_coding	1	26145344	26147252	2.1850716692718e-05	0.000133901934449104	0.000849673335841129	0.0247	2.1850716692718e-05	0.0247	0.000133901934449104	0.0247	no	ENSG00000223474	AL020996.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F5H7K9]	protein_coding	1	26145344	26147252	0.0119864206491694	AL020996.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F5H7K9]	protein_coding	1	26145344	26147252	3.01047933333333
ENSG00000127423	AUNIP	aurora kinase A and ninein interacting protein [Source:HGNC Symbol;Acc:28363]	protein_coding	1	26160497	26185903	0.000164647418722339	0.000732811429515662	0.00322082347651687	0.0146	0.000164647418722339	0.0146	0.000732811429515662	0.0146	no	ENSG00000127423	AUNIP	aurora kinase A and ninein interacting protein [Source:HGNC Symbol;Acc:28363]	protein_coding	1	26160497	26185903	0.00620824755990641	AUNIP	aurora kinase A and ninein interacting protein [Source:HGNC Symbol;Acc:28363]	protein_coding	1	26160497	26185903	2.072548
ENSG00000182749	PAQR7	progestin and adipoQ receptor family member VII [Source:HGNC Symbol;Acc:23146]	protein_coding	1	26187701	26197744	0.469591009814309	0.157385800837433	0.00451165868804055	0.000262	0.000262	0.469591009814309	0.469591009814309	0.00451165868804055	no	ENSG00000182749	PAQR7	progestin and adipoQ receptor family member VII [Source:HGNC Symbol;Acc:23146]	protein_coding	1	26187701	26197744	-0.000753285853966883	PAQR7	progestin and adipoQ receptor family member VII [Source:HGNC Symbol;Acc:23146]	protein_coding	1	26187701	26197744	-1.21960428571429
ENSG00000117632	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:6510]	protein_coding	1	26210672	26233482	6.49861971124097e-05	0.00500533424853612	0.020965705615365	0.0909	6.49861971124097e-05	0.0909	0.00500533424853612	0.0909	no	ENSG00000117632	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:6510]	protein_coding	1	26210672	26233482	-0.00303123008164268	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:6510]	protein_coding	1	26210672	26233482	-1.94554125
ENSG00000198492	YTHDF2	YTH domain family, member 2 [Source:HGNC Symbol;Acc:31675]	protein_coding	1	29063133	29096287	0.504195520853667	0.479580806753163	0.00272720166174727	0.00572	0.00272720166174727	0.504195520853667	0.504195520853667	0.00572	no	ENSG00000198492	YTHDF2	YTH domain family, member 2 [Source:HGNC Symbol;Acc:31675]	protein_coding	1	29063133	29096287	0.00104449378341617	YTHDF2	YTH domain family, member 2 [Source:HGNC Symbol;Acc:31675]	protein_coding	1	29063133	29096287	1.926735
ENSG00000116990	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog [Source:HGNC Symbol;Acc:7555]	protein_coding	1	40361098	40367928	0.000322092187563505	0.00385902760810551	0.00146272122266631	0.00499	0.000322092187563505	0.00499	0.00385902760810551	0.00499	no	ENSG00000116990	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog [Source:HGNC Symbol;Acc:7555]	protein_coding	1	40361098	40367928	0.00643508938032607	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog [Source:HGNC Symbol;Acc:7555]	protein_coding	1	40361098	40367928	2.279915
ENSG00000058804	NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:25525]	protein_coding	1	54231133	54304533	0.0035511878010716	0.000125755184211958	0.612647505206208	0.647	0.000125755184211958	0.647	0.0035511878010716	0.647	no	ENSG00000058804	NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:25525]	protein_coding	1	54231133	54304533	0.000522896926806413	NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:25525]	protein_coding	1	54231133	54304533	0.361645
ENSG00000184313	MROH7	maestro heat-like repeat family member 7 [Source:HGNC Symbol;Acc:24802]	protein_coding	1	55107463	55175939	0.00553291792816116	0.00361072699157191	0.0284778626120427	0.166	0.00361072699157191	0.166	0.00553291792816116	0.166	no	ENSG00000184313	MROH7	maestro heat-like repeat family member 7 [Source:HGNC Symbol;Acc:24802]	protein_coding	1	55107463	55175939	0.0107512275851926	MROH7	maestro heat-like repeat family member 7 [Source:HGNC Symbol;Acc:24802]	protein_coding	1	55107463	55175939	1.99163739130435
ENSG00000243725	TTC4	tetratricopeptide repeat domain 4 [Source:HGNC Symbol;Acc:12394]	protein_coding	1	55181495	55208330	0.00747548432659231	0.000185708521331997	0.438866404586493	0.101	0.000185708521331997	0.438866404586493	0.00747548432659231	0.438866404586493	no	ENSG00000243725	TTC4	tetratricopeptide repeat domain 4 [Source:HGNC Symbol;Acc:12394]	protein_coding	1	55181495	55208330	0.00325156898719251	TTC4	tetratricopeptide repeat domain 4 [Source:HGNC Symbol;Acc:12394]	protein_coding	1	55181495	55208330	0.643442454545455
ENSG00000006555	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]	protein_coding	1	55245385	55266940	0.00574540759560884	0.00643765162715998	0.365874466528004	0.458	0.00574540759560884	0.458	0.00643765162715998	0.458	no	ENSG00000006555	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]	protein_coding	1	55245385	55266940	-0.00292407856769135	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]	protein_coding	1	55245385	55266940	-0.812348
ENSG00000162598	C1orf87	chromosome 1 open reading frame 87 [Source:HGNC Symbol;Acc:28547]	protein_coding	1	60452941	60539442	0.000197292987930269	7.89926908665346e-05	0.00627642998368163	0.0141	7.89926908665346e-05	0.0141	0.000197292987930269	0.0141	no	ENSG00000162598	C1orf87	chromosome 1 open reading frame 87 [Source:HGNC Symbol;Acc:28547]	protein_coding	1	60452941	60539442	0.00333174092512003	C1orf87	chromosome 1 open reading frame 87 [Source:HGNC Symbol;Acc:28547]	protein_coding	1	60452941	60539442	0.32553
ENSG00000134215	VAV3	vav 3 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12659]	protein_coding	1	108113782	108507766	0.00643262720320831	0.00795263976108791	0.329241140538574	0.216	0.00643262720320831	0.329241140538574	0.00795263976108791	0.329241140538574	no	ENSG00000134215	VAV3	vav 3 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12659]	protein_coding	1	108113782	108507766	0.00299700657068699	VAV3	vav 3 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12659]	protein_coding	1	108113782	108507766	0.877706
ENSG00000143374	TARS2	threonyl-tRNA synthetase 2, mitochondrial (putative) [Source:HGNC Symbol;Acc:30740]	protein_coding	1	150459887	150480078	0.548881996575497	0.817251091732216	0.00179634621314244	0.000522	0.000522	0.817251091732216	0.817251091732216	0.00179634621314244	no	ENSG00000143374	TARS2	threonyl-tRNA synthetase 2, mitochondrial (putative) [Source:HGNC Symbol;Acc:30740]	protein_coding	1	150459887	150480078	-0.0012870907389528	TARS2	threonyl-tRNA synthetase 2, mitochondrial (putative) [Source:HGNC Symbol;Acc:30740]	protein_coding	1	150459887	150480078	-0.3811658
ENSG00000228126	LINC00568	long intergenic non-protein coding RNA 568 [Source:HGNC Symbol;Acc:43713]	lincRNA	1	150488233	150490508	0.547531993425575	0.721508341029392	0.00600664132564676	0.00191	0.00191	0.721508341029392	0.721508341029392	0.00600664132564676	no	ENSG00000228126	LINC00568	long intergenic non-protein coding RNA 568 [Source:HGNC Symbol;Acc:43713]	lincRNA	1	150488233	150490508	-0.0010940291252143	LINC00568	long intergenic non-protein coding RNA 568 [Source:HGNC Symbol;Acc:43713]	lincRNA	1	150488233	150490508	-1.65138538461538
ENSG00000250734	RP11-404E16.1		antisense	1	151584514	151585839	NA	NA	0.00058159436996283	0.00121	NA	NA	NA	0.00121	no	ENSG00000250734	NA	NA	NA	NA	NA	NA	NA	RP11-404E16.1		antisense	1	151584514	151585839	-2.5383925
ENSG00000182134	TDRKH	tudor and KH domain containing [Source:HGNC Symbol;Acc:11713]	protein_coding	1	151742583	151763892	0.000952405942571393	0.000242664344685249	0.0118650624669974	0.0525	0.000242664344685249	0.0525	0.000952405942571393	0.0525	no	ENSG00000182134	TDRKH	tudor and KH domain containing [Source:HGNC Symbol;Acc:11713]	protein_coding	1	151742583	151763892	-0.0113778702606013	TDRKH	tudor and KH domain containing [Source:HGNC Symbol;Acc:11713]	protein_coding	1	151742583	151763892	-2.16287493548387
ENSG00000143365	RORC	RAR-related orphan receptor C [Source:HGNC Symbol;Acc:10260]	protein_coding	1	151778631	151804348	0.0537840210791605	0.0590281255707855	0.000958484328209571	0.000836	0.000836	0.0590281255707855	0.0590281255707855	0.000958484328209571	no	ENSG00000143365	RORC	RAR-related orphan receptor C [Source:HGNC Symbol;Acc:10260]	protein_coding	1	151778631	151804348	-0.002384147300916	RORC	RAR-related orphan receptor C [Source:HGNC Symbol;Acc:10260]	protein_coding	1	151778631	151804348	-2.710015
ENSG00000203757	OR6K3	olfactory receptor, family 6, subfamily K, member 3 [Source:HGNC Symbol;Acc:15030]	protein_coding	1	158686958	158687953	0.00287488918541931	0.00578740443041142	0.0707074455166903	NA	NA	NA	0.00578740443041142	NA	no	ENSG00000203757	OR6K3	olfactory receptor, family 6, subfamily K, member 3 [Source:HGNC Symbol;Acc:15030]	protein_coding	1	158686958	158687953	0.00776819950076223	OR6K3	olfactory receptor, family 6, subfamily K, member 3 [Source:HGNC Symbol;Acc:15030]	protein_coding	1	158686958	158687953	1.879639
ENSG00000180437	OR6K4P	olfactory receptor, family 6, subfamily K, member 4 pseudogene [Source:HGNC Symbol;Acc:15031]	pseudogene	1	158693903	158694902	0.000336963653349551	0.00236946279477284	0.0133727740010576	0.0293	0.000336963653349551	0.0293	0.00236946279477284	0.0293	no	ENSG00000180437	OR6K4P	olfactory receptor, family 6, subfamily K, member 4 pseudogene [Source:HGNC Symbol;Acc:15031]	pseudogene	1	158693903	158694902	0.0114510601937818	OR6K4P	olfactory receptor, family 6, subfamily K, member 4 pseudogene [Source:HGNC Symbol;Acc:15031]	pseudogene	1	158693903	158694902	2.459315
ENSG00000057252	SOAT1	sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:11177]	protein_coding	1	179262925	179327815	4.3467405878257e-05	6.45278295938911e-05	0.0685749855818968	0.0344	4.3467405878257e-05	0.0685749855818968	6.45278295938911e-05	0.0685749855818968	no	ENSG00000057252	SOAT1	sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:11177]	protein_coding	1	179262925	179327815	-0.000329272166762029	SOAT1	sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:11177]	protein_coding	1	179262925	179327815	0.193884636363636
ENSG00000162779	AXDND1	axonemal dynein light chain domain containing 1 [Source:HGNC Symbol;Acc:26564]	protein_coding	1	179334855	179523870	0.00184623122465491	0.00252013475362908	0.0490925622738908	0.0193	0.00184623122465491	0.0490925622738908	0.00252013475362908	0.0490925622738908	no	ENSG00000162779	AXDND1	axonemal dynein light chain domain containing 1 [Source:HGNC Symbol;Acc:26564]	protein_coding	1	179334855	179523870	-0.0054875982022133	AXDND1	axonemal dynein light chain domain containing 1 [Source:HGNC Symbol;Acc:26564]	protein_coding	1	179334855	179523870	-0.778240555555556
ENSG00000162687	KCNT2	potassium channel, subfamily T, member 2 [Source:HGNC Symbol;Acc:18866]	protein_coding	1	196194909	196578355	0.0200920653963277	0.0166066786984566	0.00129180170434233	0.0057	0.00129180170434233	0.0200920653963277	0.0200920653963277	0.0057	no	ENSG00000162687	KCNT2	potassium channel, subfamily T, member 2 [Source:HGNC Symbol;Acc:18866]	protein_coding	1	196194909	196578355	0.00817340667089744	KCNT2	potassium channel, subfamily T, member 2 [Source:HGNC Symbol;Acc:18866]	protein_coding	1	196194909	196578355	2.487249
ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:4883]	protein_coding	1	196621008	196716634	0.0368639753082895	0.127203824970139	0.0076208196466784	0.00879	0.0076208196466784	0.127203824970139	0.127203824970139	0.00879	no	ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:4883]	protein_coding	1	196621008	196716634	0.00350595336517453	CFH	complement factor H [Source:HGNC Symbol;Acc:4883]	protein_coding	1	196621008	196716634	2.31403591666667
ENSG00000143847	PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4 [Source:HGNC Symbol;Acc:9248]	protein_coding	1	202995626	203047868	0.34506085149598	0.135322121647539	0.00650392856680121	0.00558	0.00558	0.34506085149598	0.34506085149598	0.00650392856680121	no	ENSG00000143847	PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4 [Source:HGNC Symbol;Acc:9248]	protein_coding	1	202995626	203047868	-0.00347292828412321	PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4 [Source:HGNC Symbol;Acc:9248]	protein_coding	1	202995626	203047868	0.178026
